Variable:,tasmin
,Honduras,Atlantida,Choluteca,Colon,Comayagua,Copan,Cortes,"Francisco Morazan","Gracias A Dios",Intibuca,"Islas De Bahia","La Paz",Lempira,"Name Unknown",Ocotepeque,Olancho,Paraiso,"Santa Barbara",Valle,Yoro
1901,18.57,20.05,19.32,21.09,16.11,16.67,19.45,15.91,22.59,15.97,22.76,16.32,15.88,15.88,16.03,18.28,16.65,17.32,19.46,17.39
1902,18.68,20.20,19.36,21.29,16.19,16.75,19.56,15.99,22.77,16.06,23.05,16.39,15.96,15.96,16.10,18.39,16.69,17.40,19.51,17.51
1903,18.68,20.19,19.37,21.26,16.18,16.76,19.57,15.98,22.75,16.05,23.03,16.39,15.97,15.97,16.12,18.38,16.71,17.42,19.51,17.51
1904,18.59,20.08,19.32,21.16,16.12,16.67,19.47,15.92,22.66,15.97,22.88,16.32,15.88,15.88,16.03,18.30,16.65,17.32,19.46,17.42
1905,18.64,20.15,19.32,21.27,16.11,16.67,19.49,15.92,22.77,15.97,23.04,16.32,15.88,15.88,16.03,18.36,16.66,17.33,19.46,17.46
1906,18.44,19.86,19.22,21.02,15.91,16.42,19.22,15.74,22.61,15.79,22.73,16.15,15.68,15.68,15.82,18.17,16.51,17.08,19.33,17.20
1907,18.52,19.97,19.25,21.13,16.00,16.53,19.32,15.82,22.68,15.87,22.87,16.22,15.77,15.77,15.91,18.23,16.57,17.18,19.38,17.29
1908,18.50,19.95,19.26,21.10,16.00,16.51,19.31,15.82,22.66,15.86,22.85,16.22,15.75,15.75,15.89,18.22,16.57,17.16,19.37,17.28
1909,18.60,20.08,19.30,21.19,16.11,16.65,19.45,15.91,22.70,15.98,22.94,16.33,15.89,15.89,16.02,18.30,16.64,17.31,19.45,17.41
1910,18.02,19.25,18.96,20.56,15.44,15.88,18.63,15.36,22.32,15.35,22.19,15.76,15.21,15.21,15.33,17.78,16.19,16.53,19.02,16.66
1911,18.49,19.94,19.23,21.13,15.95,16.46,19.27,15.78,22.69,15.82,22.88,16.18,15.71,15.71,15.85,18.22,16.54,17.11,19.34,17.27
1912,18.60,20.10,19.27,21.27,16.06,16.59,19.43,15.87,22.79,15.91,23.07,16.27,15.81,15.81,15.95,18.34,16.61,17.25,19.40,17.41
