Variable:,tasmin
,Indonesia,"Nangroe Aceh Darussalam",Bali,Bengkulu,"Daerah Istimewa Yogyakarta","Dki Jakarta",Jambi,"Jawa Tengah","Jawa Timur","Kalimantan Barat","Kalimantan Selatan","Kalimantan Tengah","Kalimantan Timur",Lampung,"Nusatenggara Barat","Nusatenggara Timur","Sulawesi Tengah","Sulawesi Tenggara","Sumatera Barat","Sumatera Utara","Bangka Belitung",Banten,Gorontalo,"Papua Barat","Jawa Barat",Kepulauan-riau,Maluku,"Maluku Utara",Papua,Riau,"Sulawesi Barat","Sulawesi Selatan","Sulawesi Utara","Sumatera Selatan"
1901,20.77,19.30,20.11,19.78,20.59,22.05,21.46,20.79,21.30,21.28,22.44,22.01,21.16,20.99,20.39,20.38,19.08,20.34,20.05,19.62,22.07,21.18,19.11,21.02,19.69,22.57,21.79,20.40,20.33,22.00,18.59,19.35,19.68,21.42
1902,20.74,19.35,20.08,19.68,20.47,21.92,21.38,20.67,21.22,21.22,22.43,21.97,21.16,20.85,20.39,20.38,19.08,20.34,20.02,19.62,21.95,21.04,19.11,21.02,19.55,22.53,21.78,20.40,20.33,21.97,18.59,19.35,19.68,21.30
1903,20.75,19.31,20.08,19.70,20.48,21.94,21.39,20.69,21.23,21.23,22.43,21.98,21.15,20.88,20.39,20.45,19.08,20.34,20.03,19.62,21.96,21.07,19.11,21.03,19.58,22.54,21.90,20.40,20.33,21.98,18.59,19.35,19.66,21.32
1904,20.73,19.22,20.09,19.73,20.53,21.99,21.43,20.74,21.27,21.25,22.43,21.99,21.13,20.93,20.39,20.30,19.07,20.34,20.04,19.62,22.01,21.12,19.10,21.02,19.63,22.55,21.66,20.39,20.24,21.99,18.59,19.35,19.62,21.37
1905,20.78,19.32,20.11,19.83,20.65,22.12,21.50,20.85,21.35,21.30,22.45,22.03,21.13,21.05,20.39,20.47,19.08,20.34,20.08,19.62,22.12,21.24,19.11,21.03,19.75,22.59,21.93,20.40,20.30,22.02,18.59,19.35,19.64,21.48
1906,20.79,19.33,20.11,19.79,20.60,22.07,21.47,20.81,21.31,21.28,22.44,22.02,21.15,21.00,20.39,20.57,19.08,20.34,20.06,19.63,22.08,21.19,19.11,21.04,19.70,22.58,22.09,20.40,20.36,22.00,18.59,19.35,19.66,21.43
1907,20.72,19.21,20.07,19.62,20.39,21.83,21.33,20.59,21.17,21.19,22.41,21.95,21.24,20.77,20.39,20.40,19.08,20.34,20.00,19.62,21.88,20.96,19.11,21.02,19.47,22.50,21.81,20.40,20.28,21.95,18.59,19.35,19.64,21.22
1908,20.77,19.18,20.11,19.82,20.64,22.11,21.50,20.85,21.34,21.30,22.45,22.03,21.16,21.05,20.39,20.42,19.08,20.34,20.07,19.62,22.12,21.24,19.11,21.03,19.74,22.59,21.85,20.40,20.28,22.02,18.59,19.35,19.66,21.47
1909,20.77,19.18,20.09,19.74,20.54,21.99,21.42,20.74,21.27,21.25,22.44,22.00,21.18,20.93,20.39,20.45,19.08,20.34,20.04,19.62,22.02,21.12,19.11,21.03,19.63,22.55,21.89,20.40,20.40,21.99,18.59,19.35,19.65,21.37
1910,20.75,19.18,20.07,19.68,20.48,21.93,21.38,20.68,21.22,21.23,22.43,21.98,21.21,20.87,20.39,20.42,19.08,20.34,20.02,19.62,21.95,21.05,19.11,21.03,19.56,22.53,21.86,20.40,20.38,21.97,18.59,19.35,19.65,21.31
1911,20.92,19.39,20.07,20.30,20.45,22.23,22.05,20.66,21.20,21.54,22.42,22.04,21.21,21.44,20.39,20.36,19.08,20.34,20.62,20.21,22.65,21.36,19.11,21.03,19.70,23.18,21.76,20.40,20.31,22.64,18.59,19.35,19.64,22.00
1912,20.98,19.42,20.12,20.41,20.65,22.42,22.16,20.86,21.34,21.61,22.45,22.10,21.23,21.59,20.39,20.42,19.08,20.34,20.71,20.28,22.78,21.54,19.11,21.03,19.91,23.28,21.85,20.40,20.35,22.73,18.59,19.35,19.67,22.13
1913,20.93,19.42,20.11,20.35,20.60,22.36,22.10,20.82,21.31,21.57,22.44,22.08,21.15,21.53,20.39,20.29,19.08,20.34,20.63,20.20,22.71,21.48,19.11,21.01,19.85,23.20,21.64,20.39,20.29,22.65,18.59,19.35,19.66,22.06
1914,21.02,19.51,20.15,20.60,20.74,22.57,22.37,20.96,21.41,21.70,22.47,22.14,21.15,21.77,20.40,20.35,19.08,20.34,20.90,20.44,22.98,21.68,19.11,21.02,20.03,23.48,21.75,20.40,20.27,22.95,18.59,19.35,19.67,22.33
1915,20.99,19.48,19.89,20.54,20.72,22.52,22.30,20.95,21.30,21.62,22.27,22.03,21.12,21.73,20.15,20.43,19.07,20.33,20.80,20.33,22.89,21.67,19.11,21.04,19.98,23.38,21.96,20.40,20.38,22.83,18.52,19.27,19.68,22.26
1916,20.83,19.34,19.59,20.21,20.29,22.11,21.93,20.51,20.91,21.43,22.04,21.81,21.06,21.34,19.92,20.39,19.07,20.32,20.49,20.08,22.51,21.25,19.11,21.04,19.56,23.05,21.97,20.40,20.38,22.49,18.45,19.20,19.65,21.89
1917,20.81,19.20,19.69,20.15,20.59,22.27,21.81,20.81,21.13,21.43,22.10,21.89,21.08,21.38,19.96,20.28,19.07,20.32,20.27,19.77,22.50,21.43,19.11,21.02,19.81,22.81,21.79,20.40,20.36,22.23,18.46,19.21,19.65,21.85
1918,20.72,19.15,19.58,19.99,20.42,22.18,21.60,20.64,20.99,21.32,22.03,21.81,21.08,21.26,19.90,20.25,19.07,20.31,20.07,19.59,22.32,21.33,19.11,21.02,19.67,22.60,21.74,20.40,20.23,22.01,18.44,19.20,19.63,21.67
1919,20.94,19.50,19.83,20.46,20.60,22.40,22.22,20.82,21.19,21.58,22.22,21.98,21.22,21.61,20.12,20.26,19.08,20.33,20.77,20.34,22.79,21.55,19.11,21.02,19.85,23.34,21.70,20.40,20.25,22.81,18.51,19.26,19.67,22.16
1920,20.94,19.37,19.83,20.44,20.63,22.41,22.18,20.86,21.22,21.57,22.22,21.98,21.18,21.58,20.12,20.45,19.08,20.33,20.68,20.19,22.78,21.54,19.11,21.04,19.89,23.25,22.00,20.40,20.33,22.70,18.51,19.26,19.67,22.15
1921,20.83,19.31,19.76,20.09,20.40,22.14,21.81,20.62,21.04,21.41,22.17,21.89,21.22,21.27,20.08,20.38,19.08,20.33,20.39,19.99,22.42,21.27,19.11,21.03,19.63,22.93,21.89,20.40,20.33,22.38,18.50,19.26,19.65,21.77
1922,20.84,19.25,19.64,20.25,20.43,22.23,21.95,20.65,21.01,21.45,22.06,21.85,21.18,21.42,19.93,20.24,19.08,20.32,20.47,20.02,22.57,21.36,19.11,21.02,19.69,23.03,21.71,20.40,20.31,22.46,18.45,19.21,19.67,21.94
1923,20.84,19.25,19.81,20.18,20.55,22.27,21.88,20.76,21.14,21.45,22.20,21.94,21.21,21.37,20.10,20.24,19.08,20.33,20.40,19.96,22.52,21.39,19.11,21.01,19.76,22.95,21.66,20.39,20.25,22.39,18.50,19.26,19.66,21.87
1924,20.91,19.33,20.05,20.17,20.78,22.38,21.90,21.00,21.41,21.47,22.39,22.07,21.26,21.42,20.31,20.45,19.08,20.34,20.47,20.07,22.52,21.51,19.11,20.94,19.95,23.01,21.92,20.33,20.36,22.51,18.57,19.33,19.66,21.86
