Variable:,tasmin
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1901,10.13,5.50,18.11,4.79,4.54,9.43,10.58,7.55,2.86,9.18,17.72,11.30,10.64,16.03,9.87,2.97,12.50,5.47,5.64,8.62,11.40,14.64,7.35,3.79,9.52,2.45,5.14,10.11,4.55,11.07
1902,9.84,5.07,17.47,4.32,3.79,9.11,10.01,7.06,2.43,9.13,17.28,10.90,10.41,15.49,9.33,2.42,12.11,5.07,5.27,8.33,11.20,14.77,7.04,2.99,9.23,1.93,4.48,9.89,4.13,10.75
1903,9.12,4.52,16.53,3.59,3.71,8.39,9.09,6.72,1.87,8.08,16.56,10.30,9.68,14.75,8.53,2.00,11.60,4.48,4.69,7.63,10.32,14.25,6.40,2.95,8.40,1.54,4.36,9.06,3.61,10.14
1904,9.33,4.61,16.93,3.78,3.50,8.56,9.45,6.61,1.93,8.41,16.87,10.46,9.92,14.98,8.79,1.99,11.65,4.60,4.77,7.84,10.62,14.48,6.53,2.77,8.63,1.48,4.12,9.39,3.60,10.25
1905,9.33,4.63,16.80,3.74,3.96,8.56,9.35,6.84,1.96,8.35,16.77,10.44,9.87,14.94,8.74,2.10,11.90,4.59,4.77,8.01,10.71,14.36,6.61,3.22,8.59,1.65,4.56,9.58,3.70,10.25
1906,9.50,4.71,16.78,3.81,3.87,8.69,9.40,6.94,2.02,8.80,16.78,10.49,10.02,14.97,8.79,2.17,12.07,4.64,4.86,8.21,11.03,14.47,6.76,3.13,8.76,1.70,4.51,9.94,3.82,10.38
1907,9.11,4.40,16.64,3.47,3.31,8.31,9.17,6.34,1.68,8.20,16.65,10.24,9.73,14.69,8.47,1.74,11.44,4.36,4.51,7.66,10.49,14.31,6.30,2.58,8.38,1.19,3.94,9.26,3.32,9.99
1908,9.40,4.41,17.24,3.85,3.23,8.61,9.71,6.46,1.76,8.69,17.07,10.36,10.02,15.07,8.96,1.73,11.59,4.50,4.68,7.86,10.81,14.35,6.49,2.49,8.74,1.22,3.89,9.63,3.46,10.19
1909,9.92,5.09,17.50,4.35,4.91,9.12,9.99,7.83,2.53,9.19,17.22,10.87,10.29,15.54,9.37,2.77,12.64,5.05,5.30,8.57,11.38,14.43,7.16,4.02,9.19,2.49,5.56,10.22,4.46,10.76
1910,9.32,4.83,16.43,3.69,4.89,8.53,8.98,7.60,2.24,8.33,16.43,10.49,9.60,14.87,8.56,2.63,12.26,4.67,4.96,8.05,10.63,14.18,6.72,3.98,8.46,2.40,5.55,9.42,4.21,10.38
1911,8.60,3.56,15.78,2.76,2.74,7.72,8.41,5.80,0.81,7.87,16.04,9.50,9.30,13.92,7.73,0.98,10.97,3.57,3.71,7.16,10.10,14.11,5.64,1.93,7.84,0.56,3.39,8.97,2.59,9.26
