Variable:,tasmin
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1901,-1.29,-0.70,-0.50,-1.40,-2.08,-1.08,-0.31,-2.61,1.21,0.62,-0.32,-0.32,-0.65,-1.87,-1.62,-0.31,-2.11,0.27,-1.09,-0.81,-2.77,-0.48,-1.14,-0.43,-0.10
1902,-2.20,-1.59,-1.45,-2.34,-2.93,-1.97,-1.25,-3.57,0.34,-0.25,-1.22,-1.22,-1.60,-2.79,-2.57,-1.18,-3.06,-0.63,-2.04,-1.68,-3.70,-1.41,-2.09,-1.37,-0.94
1903,-2.23,-1.65,-1.51,-2.39,-2.97,-2.04,-1.31,-3.57,0.25,-0.33,-1.29,-1.29,-1.66,-2.78,-2.56,-1.23,-3.09,-0.73,-2.11,-1.69,-3.70,-1.48,-2.14,-1.44,-0.98
1904,-1.55,-0.98,-0.89,-1.70,-2.27,-1.38,-0.66,-2.86,0.84,0.30,-0.65,-0.65,-1.06,-2.07,-1.83,-0.56,-2.39,-0.15,-1.46,-1.00,-2.99,-0.92,-1.47,-0.87,-0.29
1905,-1.55,-0.97,-0.88,-1.70,-2.26,-1.38,-0.66,-2.89,0.88,0.33,-0.64,-0.64,-1.05,-2.08,-1.84,-0.55,-2.40,-0.12,-1.46,-0.98,-3.00,-0.92,-1.46,-0.87,-0.27
1906,-2.14,-1.56,-1.44,-2.29,-2.87,-1.95,-1.22,-3.47,0.32,-0.24,-1.19,-1.19,-1.60,-2.68,-2.45,-1.15,-2.99,-0.65,-2.02,-1.58,-3.61,-1.45,-2.04,-1.40,-0.89
1907,-2.35,-1.76,-1.62,-2.49,-3.08,-2.14,-1.43,-3.70,0.14,-0.44,-1.40,-1.40,-1.76,-2.89,-2.68,-1.35,-3.20,-0.83,-2.21,-1.79,-3.82,-1.60,-2.25,-1.55,-1.10
1908,-1.03,-0.46,-0.27,-1.15,-1.79,-0.83,-0.08,-2.34,1.43,0.86,-0.08,-0.08,-0.43,-1.60,-1.34,-0.05,-1.86,0.47,-0.85,-0.53,-2.49,-0.29,-0.91,-0.24,0.18
1909,-1.57,-0.98,-0.78,-1.67,-2.37,-1.33,-0.59,-2.88,0.94,0.36,-0.58,-0.58,-0.93,-2.18,-1.90,-0.59,-2.39,-0.02,-1.37,-1.12,-3.05,-0.78,-1.41,-0.74,-0.36
1910,-1.95,-1.38,-1.24,-2.11,-2.66,-1.78,-1.04,-3.30,0.49,-0.08,-1.03,-1.03,-1.40,-2.47,-2.26,-0.96,-2.82,-0.47,-1.83,-1.38,-3.42,-1.24,-1.88,-1.19,-0.69
