Variable:,tasmin
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
1901,-0.14,-3.55,0.14,-0.38,3.93,2.20,-1.87,-2.51,3.41,7.11,5.75,-3.47,-4.17,-3.87,3.98,2.19,1.56
1902,-0.21,-4.01,-0.44,0.40,3.16,3.01,-1.59,-3.31,3.71,6.39,5.31,-3.68,-4.84,-3.65,4.77,1.16,2.33
1903,-0.80,-4.31,-0.48,-1.32,3.83,1.40,-2.59,-3.14,2.59,6.70,5.20,-4.34,-4.65,-4.85,3.22,2.40,0.61
1904,-0.15,-3.10,-0.70,0.28,2.78,2.51,-1.43,-2.72,2.99,6.03,4.83,-2.61,-3.58,-3.03,3.98,0.97,1.99
1905,-0.89,-3.92,-0.96,-1.03,2.73,1.79,-2.42,-3.00,2.66,6.02,4.84,-4.46,-4.31,-5.11,3.49,1.43,1.00
1906,-0.13,-3.23,-0.11,-0.10,3.66,2.62,-1.63,-2.29,3.38,6.81,5.50,-3.81,-3.71,-4.50,4.23,2.18,1.93
1907,-1.10,-4.48,-1.50,-0.62,1.79,1.97,-2.38,-3.78,2.63,5.34,4.23,-4.25,-5.14,-4.52,3.58,0.04,1.33
1908,-1.43,-5.04,-2.34,-0.41,1.20,2.31,-2.69,-4.45,2.43,5.07,3.94,-4.76,-5.46,-4.72,3.93,-0.74,1.70
1909,-0.17,-3.38,-0.47,0.36,2.84,3.22,-1.54,-2.48,3.70,6.47,5.39,-4.03,-3.55,-4.58,4.83,1.11,2.63
1910,-0.60,-4.00,-0.59,-0.31,3.05,2.66,-2.00,-3.08,3.26,6.59,5.30,-4.74,-4.50,-5.27,4.28,1.34,1.95
1911,-0.74,-3.78,-1.12,-0.14,1.70,2.30,-1.98,-2.95,2.70,4.63,3.66,-3.65,-4.20,-3.98,3.69,0.29,1.78
1912,-0.48,-4.22,-0.45,0.09,3.04,2.80,-1.89,-3.04,3.44,6.24,5.06,-4.50,-4.77,-4.80,4.26,1.50,2.31
1913,0.21,-2.86,0.28,-0.09,3.45,2.71,-1.21,-1.90,4.00,6.49,5.48,-2.96,-3.40,-3.68,4.79,1.85,1.89
1914,0.49,-3.10,0.32,0.95,3.57,3.83,-0.91,-2.19,4.45,6.75,5.77,-3.01,-3.88,-3.18,5.65,1.78,2.91
1915,0.95,-2.29,0.63,0.92,3.75,4.29,-0.28,-1.44,5.08,7.10,6.10,-2.42,-2.76,-3.00,6.22,1.95,3.10
1916,-0.75,-4.30,-0.93,-0.46,2.57,2.24,-2.32,-3.25,2.81,6.19,4.88,-4.17,-4.55,-4.24,3.88,0.85,1.48
1917,0.09,-3.62,0.04,0.47,3.39,3.44,-1.48,-2.48,3.91,6.81,5.67,-3.67,-3.93,-3.76,5.10,1.61,2.75
1918,-1.02,-4.51,-0.79,-0.57,2.51,1.98,-2.71,-3.25,2.48,6.00,4.64,-4.68,-4.53,-5.21,3.32,0.82,1.47
