Variable:,tasmin
,Cambodia,"Banteay Meanchey",Battambang,"Kampong Cham","Kampong Chhnang","Kampong Speu","Kampong Thom",Kampot,Kandal,"Koh Kong",Kep,Kratie,"Preah Sihanouk","Mondul Kiri","Otdar Meanchey",Pailin,"Phnom Penh","Preah Vihear","Prey Veng",Pursat,"Ratanak Kiri","Siem Reap","Stung Treng","Svay Rieng",Takeo,"Area under National Administration 2","Area under National Administration 1"
1901,22.46,22.79,22.59,23.02,22.78,22.51,22.83,22.92,23.39,22.03,22.92,22.55,23.15,21.61,22.29,22.01,23.27,22.51,23.38,21.86,21.47,22.78,22.17,23.31,23.32,23.02,23.02
1902,22.46,22.75,22.57,23.03,22.78,22.52,22.84,22.94,23.41,22.03,22.94,22.55,23.16,21.62,22.27,21.98,23.27,22.51,23.40,21.85,21.48,22.77,22.18,23.32,23.33,23.02,23.02
1903,22.19,22.38,22.20,22.81,22.49,22.24,22.57,22.69,23.16,21.71,22.70,22.35,22.89,21.46,21.90,21.61,23.01,22.23,23.18,21.51,21.32,22.42,21.97,23.12,23.09,22.68,22.68
1904,22.02,22.24,22.06,22.61,22.30,22.05,22.38,22.49,22.97,21.54,22.50,22.17,22.70,21.30,21.77,21.46,22.82,22.04,22.98,21.35,21.15,22.27,21.78,22.94,22.91,22.53,22.53
1905,23.26,23.62,23.44,23.80,23.63,23.38,23.68,23.77,24.22,22.91,23.76,23.29,24.02,22.22,23.15,22.83,24.12,23.35,24.17,22.74,22.08,23.66,22.92,24.02,24.15,23.91,23.91
1906,23.26,23.64,23.46,23.80,23.65,23.39,23.68,23.76,24.21,22.93,23.75,23.28,24.05,22.21,23.15,22.86,24.12,23.35,24.16,22.75,22.07,23.66,22.91,24.01,24.13,23.91,23.91
1907,22.23,22.48,22.29,22.81,22.53,22.28,22.61,22.70,23.18,21.78,22.70,22.35,22.92,21.46,22.00,21.68,23.04,22.28,23.18,21.59,21.31,22.51,21.97,23.12,23.11,22.76,22.76
1908,22.30,22.56,22.37,22.90,22.62,22.37,22.69,22.79,23.26,21.85,22.79,22.42,23.01,21.51,22.09,21.77,23.13,22.36,23.26,21.66,21.37,22.59,22.04,23.19,23.19,22.84,22.84
1909,22.34,22.62,22.43,22.91,22.65,22.39,22.72,22.80,23.28,21.90,22.80,22.44,23.04,21.53,22.14,21.84,23.14,22.39,23.28,21.72,21.38,22.64,22.07,23.21,23.21,22.89,22.89
1910,22.18,22.39,22.21,22.77,22.48,22.23,22.56,22.66,23.13,21.71,22.65,22.33,22.88,21.43,21.91,21.61,22.98,22.22,23.15,21.51,21.29,22.43,21.95,23.11,23.06,22.69,22.69
