Variable:,tasmin
,Latvia,Aizkraukles,Aluksnes,Balvu,Bauskas,Cesu,Daugavpils,Dobeles,Gulbenes,Jekabpils,Jelgavas,Kraslavas,Kuldigas,Liepajas,Limbazu,Ludzas,Madonas,Ogres,Preilu,Rezeknes,Rigas,Saldus,Talsu,Tukuma,Valkas,Valmieras,Ventspils
1901,1.78,1.52,0.65,0.74,2.21,1.14,1.18,2.50,0.83,1.31,2.39,0.99,3.33,3.70,1.75,0.84,1.06,1.77,1.19,0.99,2.10,2.88,2.83,2.49,1.01,1.46,3.43
1902,0.25,0.08,-0.88,-0.71,0.76,-0.36,-0.18,0.89,-0.69,-0.11,0.84,-0.38,1.57,1.91,0.18,-0.56,-0.36,0.31,-0.16,-0.39,0.61,1.21,1.11,0.87,-0.60,-0.14,1.63
1903,3.01,2.95,2.28,2.41,3.35,2.60,2.71,3.32,2.42,2.82,3.39,2.58,3.81,4.14,2.99,2.49,2.64,3.15,2.78,2.63,3.30,3.49,3.42,3.29,2.55,2.85,3.79
1904,1.31,1.03,0.26,0.36,1.73,0.67,0.76,1.99,0.41,0.85,1.92,0.58,2.74,3.09,1.25,0.46,0.61,1.27,0.80,0.61,1.66,2.35,2.26,1.98,0.54,0.94,2.83
1905,2.23,2.03,1.32,1.40,2.63,1.69,1.73,2.76,1.46,1.84,2.74,1.59,3.41,3.73,2.26,1.48,1.66,2.24,1.77,1.63,2.56,3.03,3.01,2.74,1.62,1.97,3.49
1906,2.77,2.61,1.85,1.95,3.19,2.22,2.34,3.30,1.97,2.45,3.30,2.18,3.91,4.26,2.77,2.04,2.22,2.80,2.36,2.19,3.10,3.54,3.49,3.27,2.14,2.49,3.97
1907,0.86,0.60,-0.36,-0.28,1.42,0.20,0.16,1.74,-0.21,0.28,1.65,-0.04,2.42,2.78,1.01,-0.23,0.06,0.82,0.15,-0.03,1.34,2.05,1.99,1.75,0.02,0.51,2.51
1908,1.51,1.28,0.43,0.50,2.03,0.90,0.90,2.28,0.56,1.02,2.23,0.70,2.92,3.27,1.65,0.54,0.79,1.48,0.91,0.72,1.94,2.56,2.49,2.27,0.76,1.20,3.01
1909,1.38,1.17,0.49,0.58,1.81,0.84,0.91,1.94,0.61,0.98,1.92,0.78,2.53,2.84,1.43,0.66,0.81,1.35,0.94,0.80,1.71,2.19,2.13,1.89,0.80,1.16,2.58
1910,3.11,2.95,2.24,2.34,3.52,2.60,2.67,3.61,2.38,2.78,3.59,2.49,4.21,4.54,3.14,2.37,2.60,3.16,2.72,2.54,3.45,3.84,3.83,3.58,2.51,2.86,4.28
1911,2.15,1.84,0.93,0.93,2.69,1.44,1.40,3.04,1.09,1.55,2.94,1.10,3.83,4.19,2.29,0.95,1.35,2.07,1.43,1.14,2.63,3.41,3.42,3.05,1.33,1.86,3.97
1912,1.45,1.23,0.43,0.51,1.92,0.87,0.85,2.13,0.57,0.98,2.11,0.70,2.76,3.09,1.62,0.55,0.79,1.43,0.89,0.73,1.86,2.37,2.40,2.12,0.75,1.20,2.93
1913,2.72,2.48,1.67,1.80,3.16,2.11,2.19,3.36,1.79,2.29,3.29,2.05,4.05,4.40,2.73,1.89,2.07,2.70,2.20,2.05,3.07,3.66,3.66,3.35,1.97,2.39,4.19
1914,2.80,2.52,1.71,1.78,3.25,2.17,2.18,3.49,1.85,2.29,3.42,2.00,4.26,4.59,2.83,1.86,2.10,2.75,2.20,2.03,3.18,3.86,3.84,3.50,2.06,2.50,4.40
1915,0.80,0.62,-0.32,-0.16,1.30,0.12,0.38,1.48,-0.17,0.46,1.40,0.17,2.20,2.55,0.67,-0.01,0.16,0.81,0.37,0.13,1.14,1.81,1.72,1.46,-0.09,0.30,2.24
1916,2.00,1.81,1.17,1.30,2.44,1.46,1.64,2.48,1.30,1.66,2.51,1.52,3.06,3.41,1.87,1.39,1.49,2.01,1.66,1.53,2.27,2.69,2.64,2.41,1.37,1.63,3.14
1917,0.94,0.67,-0.10,-0.05,1.36,0.41,0.21,1.62,0.06,0.39,1.52,-0.01,2.42,2.74,1.09,-0.09,0.22,0.96,0.25,0.07,1.36,1.97,2.01,1.65,0.27,0.72,2.57
1918,1.86,1.67,0.87,0.96,2.30,1.31,1.34,2.46,1.00,1.47,2.48,1.14,3.15,3.45,1.91,1.00,1.23,1.90,1.36,1.16,2.26,2.75,2.77,2.48,1.15,1.52,3.25
1919,1.01,0.75,0.00,0.08,1.42,0.47,0.37,1.64,0.14,0.54,1.60,0.18,2.36,2.68,1.13,0.09,0.36,1.01,0.41,0.25,1.40,1.94,1.98,1.67,0.37,0.78,2.49
1920,2.67,2.34,1.85,1.96,2.92,2.11,2.03,3.15,1.96,2.16,3.09,2.00,3.90,4.22,2.80,1.95,2.13,2.52,2.14,2.13,2.95,3.48,3.52,3.20,2.16,2.59,4.03
1921,1.92,1.67,0.84,0.93,2.37,1.35,1.15,2.69,0.99,1.38,2.56,0.96,3.44,3.79,2.02,0.90,1.15,1.97,1.18,1.04,2.35,3.00,3.05,2.71,1.21,1.61,3.62
