Variable:,tasmin
,Mali,Bamako,Gao,Kayes,Kidal,Koulikoro,Mopti,Segou,Sikasso,Tombouctou
1901,20.48,21.01,21.29,21.48,19.89,21.02,21.00,21.04,20.41,19.87
1902,20.83,21.34,21.53,21.87,20.11,21.48,21.64,21.69,20.67,20.21
1903,21.02,21.11,22.02,21.65,20.57,21.24,21.71,21.47,20.49,20.50
1904,21.07,21.13,22.12,21.50,20.58,21.30,21.86,21.67,20.54,20.56
1905,20.71,20.99,21.73,21.53,20.15,21.10,21.41,21.29,20.38,20.11
1906,20.67,20.89,21.66,21.50,20.29,20.98,21.45,21.25,20.34,20.01
1907,20.38,20.68,21.14,21.04,20.00,20.78,21.07,21.10,20.21,19.82
1908,20.81,21.25,21.12,21.80,20.23,21.42,21.59,21.69,20.60,20.31
1909,20.90,21.24,21.32,21.62,20.31,21.40,21.64,21.68,20.58,20.49
1910,20.70,21.14,21.45,21.69,20.16,21.26,21.47,21.52,20.56,20.03
1911,20.28,20.74,21.09,21.36,19.69,20.84,20.94,21.03,20.20,19.60
1912,20.85,21.33,21.69,21.82,20.24,21.44,21.65,21.73,20.72,20.16
1913,20.71,21.00,21.46,21.60,20.30,21.12,21.44,21.35,20.42,20.12
1914,20.87,21.03,21.77,21.48,20.53,21.17,21.82,21.60,20.54,20.24
1915,20.21,20.91,20.83,21.59,19.61,20.92,20.66,20.78,20.23,19.55
1916,19.57,20.53,20.10,21.18,18.95,20.42,19.85,20.10,19.84,18.86
1917,19.84,20.64,20.46,21.18,19.25,20.56,20.22,20.37,19.96,19.18
1918,19.65,20.51,20.34,21.25,19.03,20.43,19.94,20.12,19.76,18.94
1919,21.08,21.14,22.07,21.79,20.57,21.32,21.84,21.63,20.47,20.55
1920,21.01,21.02,21.94,21.38,20.57,21.21,21.86,21.64,20.51,20.55
1921,21.01,20.99,21.94,21.39,20.57,21.21,21.84,21.62,20.47,20.55
1922,20.38,20.74,21.12,21.13,19.88,20.85,21.01,20.98,20.20,19.84
1923,20.34,20.76,21.23,21.42,19.87,20.87,21.01,21.01,20.20,19.62
1924,20.86,20.87,21.84,21.28,20.50,21.06,21.67,21.46,20.34,20.35
1925,20.71,20.95,21.41,21.37,20.18,21.10,21.42,21.34,20.24,20.26
1926,20.56,20.64,21.49,21.28,20.17,20.83,21.22,21.08,20.13,20.02
1927,20.01,20.01,21.14,20.75,19.83,20.19,20.45,20.36,19.45,19.41
1928,20.15,20.08,21.22,20.72,20.07,20.23,20.58,20.40,19.49,19.62
1929,20.02,19.94,21.06,20.59,19.83,20.14,20.62,20.43,19.41,19.47
1930,20.43,20.24,21.88,20.72,20.41,20.43,21.09,20.83,19.76,19.78
1931,21.04,21.13,22.22,21.58,20.79,21.34,21.76,21.67,20.55,20.38
1932,20.60,20.81,21.58,21.31,20.10,20.95,21.41,21.29,20.27,19.99
1933,20.46,20.73,21.07,21.38,20.05,20.86,21.26,21.21,20.22,19.86
1934,20.60,20.93,21.52,21.45,20.13,21.09,21.59,21.49,20.45,19.87
1935,21.37,21.22,22.16,21.55,21.08,21.54,22.36,22.13,20.71,20.95
1936,21.03,21.10,21.58,21.62,20.68,21.32,21.68,21.58,20.41,20.64
1937,21.71,21.49,23.06,21.85,21.35,21.72,22.97,22.35,21.03,21.11
1938,21.77,21.71,23.20,21.91,21.45,21.93,23.05,22.52,21.20,21.09
1939,21.51,21.57,22.82,21.75,21.05,21.78,22.62,22.28,21.00,20.86
1940,21.08,21.18,22.02,21.59,20.51,21.35,21.87,21.67,20.61,20.60
1941,21.46,21.43,22.73,21.90,21.09,21.62,22.32,22.04,20.89,20.85
1942,21.39,21.23,22.59,21.62,21.08,21.46,22.25,21.91,20.68,20.87
1943,20.86,20.67,21.94,21.19,20.47,20.90,21.63,21.31,20.17,20.41
1944,21.25,21.35,22.23,21.82,20.69,21.55,22.14,21.92,20.77,20.72
1945,21.01,21.19,21.71,21.87,20.19,21.37,21.81,21.67,20.60,20.57
1946,20.91,20.94,21.80,21.52,20.35,21.13,21.70,21.50,20.37,20.44
1947,21.34,21.38,22.12,21.83,20.71,21.62,22.30,22.07,20.81,20.90
1948,20.79,20.81,21.53,21.41,20.12,21.03,21.61,21.41,20.27,20.40
1949,21.27,21.20,22.19,21.64,20.90,21.43,22.15,21.91,20.66,20.81
1950,20.43,20.97,21.03,21.33,19.63,21.13,21.16,21.26,20.34,19.89
1951,21.06,21.14,21.89,21.51,20.79,21.33,21.64,21.48,20.49,20.62
1952,20.41,20.77,20.91,21.17,19.76,21.04,21.04,21.14,20.16,19.97
1953,20.71,21.13,21.19,21.64,20.00,21.38,21.36,21.42,20.49,20.24
1954,20.49,20.80,21.25,21.26,19.87,20.99,21.17,21.12,20.16,19.98
1955,20.78,20.84,21.41,21.38,20.31,21.12,21.26,21.27,20.24,20.43
1956,20.68,20.85,21.37,21.35,20.21,21.12,21.30,21.26,20.25,20.22
1957,20.48,20.89,21.07,21.46,19.83,21.11,21.13,21.15,20.28,19.95
1958,20.87,21.36,21.58,21.67,20.36,21.41,21.57,21.51,20.69,20.30
1959,20.91,20.95,21.62,21.45,20.49,21.14,21.57,21.40,20.37,20.53
1960,20.69,21.01,21.41,21.58,20.18,21.13,21.26,21.18,20.27,20.20
1961,20.36,20.60,20.78,21.44,19.67,20.81,20.90,20.82,19.84,19.99
1962,20.69,20.79,21.41,21.58,20.17,20.96,21.30,21.03,20.09,20.27
1963,20.87,20.90,21.76,21.56,20.48,21.01,21.52,21.18,20.29,20.41
1964,20.62,20.46,21.43,21.04,20.15,20.70,21.32,20.98,20.01,20.28
