Variable:,tasmin
,"Northern Mariana Islands","Administrative unit not available"
1901,24.58,24.58
1902,24.58,24.58
1903,24.58,24.58
1904,24.58,24.58
1905,24.58,24.58
1906,24.58,24.58
1907,24.58,24.58
1908,24.58,24.58
1909,24.58,24.58
1910,24.58,24.58
1911,24.58,24.58
1912,24.58,24.58
1913,24.58,24.58
1914,24.58,24.58
1915,24.58,24.58
1916,24.58,24.58
1917,24.58,24.58
1918,24.58,24.58
1919,24.58,24.58
1920,24.58,24.58
1921,24.33,24.33
1922,24.21,24.21
1923,24.23,24.23
1924,24.24,24.24
1925,24.42,24.42
1926,24.80,24.80
1927,24.83,24.83
1928,24.78,24.78
1929,24.36,24.36
1930,24.53,24.53
1931,24.72,24.72
1932,24.68,24.68
1933,24.60,24.60
1934,24.60,24.60
1935,24.57,24.57
1936,24.82,24.82
1937,24.78,24.78
1938,24.83,24.83
1939,24.79,24.79
1940,24.72,24.72
1941,24.58,24.58
1942,24.58,24.58
1943,24.58,24.58
1944,24.58,24.58
1945,24.05,24.05
1946,24.70,24.70
1947,24.67,24.67
1948,24.53,24.53
1949,23.99,23.99
1950,23.65,23.65
1951,24.19,24.19
1952,24.01,24.01
1953,24.07,24.07
1954,24.15,24.15
1955,24.36,24.36
1956,24.29,24.29
1957,24.49,24.49
1958,24.73,24.73
1959,24.58,24.58
1960,24.80,24.80
1961,24.55,24.55
1962,24.73,24.73
1963,24.43,24.43
1964,24.41,24.41
1965,24.06,24.06
1966,24.43,24.43
1967,24.13,24.13
1968,24.20,24.20
1969,24.60,24.60
1970,24.80,24.80
1971,24.89,24.89
1972,24.38,24.38
1973,24.51,24.51
1974,24.82,24.82
1975,24.42,24.42
1976,24.70,24.70
1977,24.76,24.76
1978,24.68,24.68
1979,24.66,24.66
1980,24.78,24.78
1981,24.80,24.80
1982,24.45,24.45
1983,24.32,24.32
1984,24.47,24.47
1985,24.62,24.62
1986,24.68,24.68
1987,24.57,24.57
1988,24.80,24.80
1989,24.54,24.54
1990,24.53,24.53
1991,24.67,24.67
1992,24.57,24.57
1993,24.71,24.71
1994,24.64,24.64
1995,24.40,24.40
1996,24.38,24.38
1997,24.41,24.41
1998,24.55,24.55
1999,24.54,24.54
2000,24.51,24.51
2001,24.48,24.48
2002,24.57,24.57
2003,24.72,24.72
2004,24.63,24.63
2005,24.63,24.63
2006,24.62,24.62
2007,24.58,24.58
2008,24.53,24.53
2009,24.83,24.83
2010,25.07,25.07
2011,25.05,25.05
2012,24.96,24.96
2013,25.41,25.41
2014,25.22,25.22
2015,24.92,24.92
2016,25.63,25.63
2017,25.46,25.46
2018,25.72,25.72
2019,25.12,25.12
2020,25.21,25.21
