Variable:,tasmin
,Mozambique,"Cabo Delgado",Gaza,Inhambane,Manica,Nampula,Niassa,Sofala,Tete,Zambezia,Maputo,"Lago niassa"
1901,18.08,19.55,16.40,18.16,17.02,19.62,17.44,19.08,17.67,18.44,16.68,17.77
1902,18.40,19.85,16.60,18.43,17.50,19.81,17.75,19.57,18.08,18.81,16.73,18.08
1903,18.49,19.73,16.73,18.54,17.69,19.79,17.76,19.76,18.27,18.95,16.83,18.09
1904,17.84,19.45,16.18,17.99,16.62,19.56,17.30,18.71,17.19,18.18,16.53,17.63
1905,18.39,19.77,16.58,18.39,17.50,19.78,17.73,19.58,18.09,18.84,16.71,18.04
1906,17.93,19.44,16.16,18.01,16.78,19.63,17.39,18.89,17.39,18.38,16.39,17.71
1907,17.79,19.52,15.95,17.82,16.49,19.61,17.37,18.62,17.12,18.24,16.18,17.64
1908,18.28,19.77,16.45,18.28,17.30,19.78,17.65,19.39,17.90,18.73,16.59,17.95
1909,18.09,19.61,16.19,18.06,16.99,19.71,17.56,19.10,17.62,18.59,16.37,17.86
1910,17.61,19.48,15.19,17.05,16.34,19.60,17.35,18.48,17.20,18.27,15.33,17.64
1911,17.70,19.64,15.52,17.32,16.40,19.61,17.39,18.52,17.17,18.22,15.75,17.66
1912,18.19,19.73,16.01,17.84,17.18,19.82,17.68,19.28,18.01,18.79,16.14,18.00
1913,18.34,19.89,16.31,18.12,17.37,19.84,17.80,19.43,18.15,18.82,16.46,18.11
1914,18.68,19.97,16.62,18.41,17.73,20.03,18.20,19.80,18.64,19.28,16.72,18.61
1915,18.64,20.00,16.33,18.22,17.62,20.24,18.22,19.78,18.40,19.46,16.35,18.51
1916,18.44,19.98,16.07,17.94,17.32,20.12,18.14,19.46,18.28,19.13,16.00,18.43
1917,18.27,19.91,16.06,17.86,17.10,19.86,17.96,19.18,18.12,18.85,16.08,18.31
1918,17.81,19.86,15.74,17.55,16.44,19.70,17.52,18.59,17.13,18.30,15.94,17.72
1919,17.90,19.87,15.88,17.63,16.52,19.75,17.60,18.61,17.35,18.34,16.17,17.84
1920,18.53,19.94,16.38,18.26,17.56,19.95,18.10,19.70,18.26,19.23,16.30,18.45
1921,18.21,19.90,16.01,17.89,17.12,19.83,17.85,19.25,17.85,18.84,15.92,18.14
1922,18.65,19.95,16.73,18.45,17.65,19.93,18.19,19.69,18.62,19.18,16.84,18.61
1923,18.36,19.93,16.31,18.10,17.30,19.94,17.90,19.41,18.00,18.93,16.53,18.20
1924,18.23,19.94,15.91,17.75,17.07,20.03,17.81,19.24,17.87,18.97,16.01,17.95
1925,17.95,19.87,16.01,17.83,16.70,19.77,17.45,18.87,17.18,18.47,16.29,17.57
1926,18.25,20.04,16.16,18.02,17.09,20.10,17.81,19.21,17.67,18.81,16.35,17.96
1927,18.03,19.85,16.01,17.83,16.86,19.83,17.51,18.99,17.51,18.51,16.19,17.61
1928,18.34,20.12,16.26,17.99,17.14,20.11,17.91,19.21,18.07,18.83,16.45,18.06
