Variable:,tasmin
,Mauritius,"Administrative unit not available","Black River",Flacq,"Grand Port",Moka,Pamplemousses,"Plaines Wilhems","Port Louis","Riviere Du Rempart",Savanne
1901,19.69,21.34,18.87,19.83,19.83,19.75,19.83,19.21,19.46,19.83,19.19
1902,19.71,21.34,18.91,19.85,19.85,19.78,19.85,19.24,19.49,19.85,19.22
1903,19.69,21.34,18.88,19.83,19.83,19.75,19.83,19.22,19.47,19.83,19.20
1904,19.69,21.34,18.88,19.83,19.83,19.75,19.83,19.22,19.47,19.83,19.20
1905,19.69,21.34,18.89,19.83,19.83,19.76,19.83,19.22,19.47,19.83,19.21
1906,19.69,21.34,18.90,19.83,19.83,19.76,19.83,19.23,19.47,19.83,19.21
1907,19.69,21.34,18.88,19.83,19.83,19.75,19.83,19.22,19.47,19.83,19.20
1908,19.70,21.34,18.92,19.84,19.84,19.77,19.84,19.25,19.49,19.84,19.23
1909,19.70,21.34,18.88,19.84,19.84,19.76,19.84,19.22,19.47,19.84,19.21
1910,19.69,21.34,18.88,19.83,19.83,19.75,19.83,19.22,19.47,19.83,19.20
1911,19.69,21.34,18.87,19.83,19.83,19.75,19.83,19.21,19.46,19.83,19.19
1912,19.72,21.34,18.93,19.86,19.86,19.79,19.86,19.26,19.50,19.86,19.24
1913,19.70,21.34,18.89,19.84,19.84,19.76,19.84,19.23,19.48,19.84,19.21
1914,19.70,21.34,18.90,19.84,19.84,19.77,19.84,19.23,19.48,19.84,19.22
1915,19.70,21.34,18.92,19.83,19.83,19.76,19.83,19.24,19.48,19.83,19.22
1916,19.68,21.34,18.86,19.82,19.82,19.74,19.82,19.20,19.45,19.82,19.19
1917,19.68,21.34,18.86,19.82,19.82,19.74,19.82,19.20,19.45,19.82,19.18
1918,19.68,21.34,18.88,19.82,19.82,19.75,19.82,19.21,19.46,19.82,19.20
1919,19.71,21.34,18.90,19.85,19.85,19.77,19.85,19.24,19.49,19.85,19.22
1920,19.69,21.34,18.88,19.83,19.83,19.75,19.83,19.22,19.47,19.83,19.20
1921,19.69,21.34,18.87,19.83,19.83,19.75,19.83,19.21,19.46,19.83,19.19
1922,19.66,21.34,18.83,19.81,19.81,19.73,19.81,19.18,19.44,19.81,19.17
1923,19.70,21.34,18.92,19.84,19.84,19.77,19.84,19.25,19.49,19.84,19.23
1924,19.68,21.34,18.90,19.82,19.82,19.75,19.82,19.23,19.47,19.82,19.21
1925,19.69,21.34,18.89,19.83,19.83,19.76,19.83,19.22,19.47,19.83,19.21
