Variable:,tasmin
,Malaysia,Johor,Kedah,Kelantan,"Kuala Lumpur",Melaka,"Negeri Sembilan",Pahang,Perak,Perlis,"Pulau Pinang",Sabah,Sarawak,Selangor,Terengganu,Labuan
1901,20.90,22.06,21.83,20.24,20.73,22.06,21.53,20.84,20.65,22.86,22.23,20.99,20.63,21.68,21.15,23.43
1902,20.90,22.04,21.84,20.25,20.73,22.04,21.53,20.84,20.65,22.87,22.24,20.98,20.63,21.68,21.15,23.43
1903,20.85,22.04,21.75,20.19,20.73,22.04,21.53,20.84,20.62,22.76,22.18,20.80,20.63,21.68,21.12,23.37
1904,20.78,22.05,21.66,20.14,20.73,22.06,21.53,20.83,20.57,22.64,22.11,20.54,20.63,21.68,21.09,23.27
1905,20.87,22.07,22.11,20.44,20.73,22.07,21.53,20.87,20.79,23.16,22.41,20.68,20.63,21.68,21.27,23.31
1906,20.90,22.05,22.12,20.45,20.73,22.06,21.53,20.87,20.79,23.17,22.41,20.80,20.63,21.68,21.27,23.38
1907,20.90,22.03,21.73,20.19,20.73,22.04,21.53,20.83,20.61,22.72,22.16,20.95,20.69,21.68,21.11,23.57
1908,20.85,22.07,21.76,20.21,20.73,22.07,21.53,20.84,20.62,22.73,22.18,20.77,20.64,21.68,21.13,23.39
1909,20.88,22.05,21.77,20.22,20.73,22.06,21.53,20.84,20.63,22.74,22.17,20.86,20.65,21.68,21.14,23.45
1910,20.89,22.04,21.72,20.19,20.73,22.05,21.53,20.83,20.61,22.68,22.13,20.91,20.67,21.68,21.12,23.48
1911,21.18,22.73,22.24,20.84,21.48,22.77,22.26,21.56,21.25,23.08,22.70,20.85,20.76,22.41,21.81,23.49
1912,21.25,22.82,22.24,20.87,21.56,22.85,22.34,21.63,21.29,23.07,22.70,21.05,20.78,22.48,21.85,23.56
1913,21.13,22.73,22.09,20.71,21.46,22.75,22.25,21.52,21.16,22.95,22.58,20.78,20.72,22.38,21.72,23.36
1914,21.27,23.03,22.32,21.00,21.77,23.06,22.55,21.83,21.44,23.14,22.82,20.85,20.76,22.68,22.01,23.39
1915,21.23,22.91,22.18,20.84,21.63,22.94,22.42,21.68,21.29,23.03,22.68,21.00,20.73,22.55,21.86,23.44
1916,21.03,22.57,21.95,20.56,21.31,22.61,22.09,21.38,21.01,22.83,22.44,20.69,20.68,22.24,21.56,23.32
1917,20.89,22.25,21.74,20.27,20.91,22.25,21.71,21.00,20.71,22.67,22.20,20.70,20.65,21.85,21.23,23.33
1918,20.81,22.03,21.73,20.19,20.68,22.03,21.49,20.80,20.60,22.71,22.15,20.64,20.63,21.64,21.10,23.35
1919,21.31,22.89,22.25,20.90,21.64,22.93,22.42,21.71,21.34,23.10,22.74,21.15,20.79,22.56,21.91,23.64
1920,21.19,22.75,22.11,20.73,21.45,22.77,22.24,21.52,21.17,22.97,22.58,21.00,20.75,22.38,21.73,23.56
1921,21.10,22.46,21.87,20.47,21.20,22.49,21.99,21.27,20.92,22.76,22.35,21.08,20.75,22.13,21.46,23.64
1922,21.12,22.53,21.95,20.55,21.23,22.56,22.03,21.31,20.98,22.82,22.42,21.08,20.74,22.17,21.54,23.63
1923,21.07,22.45,21.82,20.43,21.16,22.47,21.96,21.23,20.87,22.72,22.31,21.03,20.74,22.10,21.42,23.60
1924,21.17,22.58,22.00,20.59,21.27,22.61,22.08,21.36,21.03,22.88,22.49,21.18,20.75,22.21,21.56,23.68
