Variable:,tasmin
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
1901,4.70,10.03,6.60,2.75,7.09,6.10,3.78,9.25,2.09,3.02,7.15,7.29,5.98,6.68,3.30
1902,4.17,9.48,6.07,2.22,6.62,5.56,3.18,8.76,1.64,2.60,6.51,6.70,5.38,6.15,2.73
1903,4.70,9.99,6.52,2.77,7.00,6.05,3.79,9.27,2.13,3.04,7.13,7.23,5.96,6.69,3.33
1904,4.47,9.65,6.25,2.58,6.73,5.77,3.51,8.89,2.02,2.98,6.80,6.92,5.65,6.42,3.08
1905,4.60,9.93,6.50,2.68,6.96,6.02,3.69,9.23,1.95,2.85,7.01,7.17,5.86,6.55,3.24
1906,4.31,9.63,6.20,2.39,6.66,5.69,3.39,8.94,1.73,2.64,6.70,6.88,5.54,6.27,2.92
1907,5.24,10.61,7.10,3.31,7.53,6.56,4.31,9.99,2.66,3.54,7.66,7.80,6.46,7.15,3.85
1908,4.76,10.08,6.53,2.87,6.96,6.01,3.83,9.50,2.24,3.18,7.13,7.25,5.91,6.62,3.41
1909,5.33,10.71,7.23,3.41,7.66,6.68,4.35,10.06,2.75,3.66,7.73,7.91,6.55,7.23,3.92
1910,5.26,10.66,7.19,3.33,7.63,6.66,4.38,9.91,2.59,3.48,7.73,7.89,6.55,7.25,3.89
1911,4.93,10.31,6.86,3.01,7.34,6.34,4.06,9.53,2.26,3.11,7.37,7.53,6.21,6.93,3.57
1912,4.39,9.74,6.32,2.51,6.80,5.79,3.55,8.96,1.72,2.57,6.78,6.98,5.65,6.40,3.03
1913,4.71,9.99,6.54,2.88,7.02,6.01,3.83,9.22,2.15,3.03,7.04,7.22,5.88,6.64,3.39
1914,4.57,9.86,6.39,2.73,6.87,5.87,3.71,9.12,1.98,2.87,6.92,7.07,5.75,6.51,3.27
1915,5.26,10.69,7.22,3.35,7.70,6.71,4.48,10.01,2.46,3.29,7.75,7.92,6.59,7.27,3.96
1916,5.97,11.43,7.97,4.01,8.42,7.46,5.14,10.69,3.16,4.02,8.46,8.67,7.34,8.03,4.61
1917,5.64,10.88,7.45,3.80,7.88,6.96,4.73,10.13,3.07,3.96,7.96,8.15,6.85,7.59,4.32
1918,4.84,10.19,6.75,2.91,7.21,6.22,3.93,9.42,2.23,3.14,7.22,7.43,6.11,6.84,3.46
1919,4.16,9.43,5.96,2.29,6.43,5.44,3.25,8.75,1.62,2.55,6.52,6.64,5.35,6.08,2.85
1920,4.68,10.27,6.77,2.63,7.23,6.22,3.79,9.60,1.82,2.68,7.28,7.45,6.10,6.75,3.26
1921,4.97,10.40,6.92,3.03,7.37,6.37,4.05,9.73,2.27,3.15,7.41,7.61,6.25,6.93,3.61
1922,4.97,10.38,6.93,3.04,7.40,6.38,4.05,9.66,2.29,3.18,7.39,7.61,6.26,7.00,3.56
1923,4.64,9.99,6.58,2.71,7.05,6.03,3.69,9.23,2.01,2.93,7.03,7.24,5.89,6.63,3.23
1924,5.60,10.80,7.39,3.76,7.86,6.89,4.74,9.94,3.09,4.03,7.95,8.08,6.77,7.52,4.29
1925,4.43,9.67,6.28,2.59,6.74,5.73,3.62,8.82,1.86,2.76,6.77,6.95,5.61,6.44,3.14
1926,4.54,9.80,6.39,2.64,6.86,5.85,3.58,9.00,2.03,2.98,6.89,7.08,5.72,6.44,3.17
1927,4.32,9.85,6.41,2.27,6.87,5.84,3.40,9.19,1.52,2.45,6.85,7.08,5.69,6.38,2.86
1928,5.46,10.81,7.39,3.52,7.86,6.87,4.63,9.99,2.76,3.67,7.92,8.09,6.74,7.47,4.10
1929,4.67,10.03,6.58,2.73,7.04,6.05,3.83,9.32,2.01,2.93,7.10,7.27,5.92,6.66,3.32
1930,3.95,9.21,5.75,2.08,6.22,5.21,3.06,8.53,1.42,2.36,6.27,6.44,5.08,5.87,2.63
1931,4.20,9.55,6.10,2.28,6.54,5.54,3.33,8.92,1.56,2.49,6.58,6.78,5.41,6.13,2.88
1932,4.41,9.69,6.24,2.52,6.71,5.72,3.61,8.94,1.82,2.75,6.79,6.92,5.59,6.42,3.10
1933,4.83,10.25,6.79,2.85,7.25,6.24,3.95,9.55,2.13,3.05,7.29,7.47,6.10,6.79,3.45
1934,4.96,10.14,6.69,3.15,7.14,6.19,4.11,9.37,2.46,3.39,7.29,7.40,6.08,6.85,3.71
1935,5.28,10.59,7.16,3.38,7.63,6.63,4.46,9.80,2.64,3.56,7.69,7.85,6.49,7.26,3.93
1936,4.78,10.03,6.56,2.92,7.02,6.05,3.89,9.31,2.26,3.18,7.12,7.26,5.94,6.70,3.47
1937,4.49,9.73,6.27,2.64,6.72,5.71,3.53,9.05,2.02,2.96,6.78,6.96,5.57,6.33,3.18
1938,5.74,11.19,7.77,3.74,8.24,7.21,4.86,10.47,2.99,3.88,8.22,8.44,7.06,7.70,4.34
1939,4.59,9.76,6.28,2.78,6.74,5.73,3.64,9.06,2.18,3.12,6.84,6.98,5.63,6.38,3.33
1940,4.56,9.72,6.32,2.73,6.77,5.80,3.65,8.90,2.11,3.07,6.85,6.99,5.67,6.44,3.26
1941,4.57,9.81,6.39,2.68,6.85,5.85,3.71,9.05,2.02,2.96,6.98,7.08,5.74,6.50,3.25
1942,4.98,10.30,6.87,3.04,7.34,6.36,4.13,9.54,2.35,3.28,7.39,7.54,6.22,6.93,3.63
1943,4.61,10.07,6.64,2.59,7.13,6.08,3.67,9.30,1.93,2.88,7.01,7.29,5.89,6.59,3.16
1944,4.80,10.18,6.77,2.83,7.23,6.21,3.85,9.47,2.17,3.10,7.25,7.44,6.05,6.73,3.38
1945,4.45,9.81,6.34,2.51,6.81,5.76,3.45,9.13,1.91,2.85,6.82,7.02,5.62,6.28,3.04
1946,4.73,10.33,6.87,2.62,7.31,6.25,3.71,9.69,1.99,2.96,7.27,7.52,6.08,6.64,3.20
1947,4.76,10.06,6.63,2.82,7.08,6.10,3.78,9.30,2.23,3.18,7.13,7.31,5.96,6.64,3.36
1948,5.08,10.55,7.10,3.08,7.55,6.53,4.14,9.81,2.38,3.30,7.55,7.77,6.37,7.02,3.64
1949,4.83,10.20,6.78,2.86,7.24,6.21,3.87,9.46,2.23,3.17,7.24,7.45,6.06,6.72,3.42
1950,4.86,10.41,6.95,2.81,7.40,6.37,3.93,9.63,2.12,3.02,7.33,7.61,6.20,6.83,3.41
1951,4.70,10.10,6.66,2.70,7.14,6.11,3.72,9.30,2.12,3.08,7.09,7.34,5.95,6.64,3.23
1952,4.94,10.36,6.96,2.93,7.43,6.41,4.04,9.58,2.24,3.17,7.44,7.63,6.27,6.95,3.51
1953,4.98,10.51,7.05,2.94,7.51,6.50,4.11,9.79,2.17,3.09,7.58,7.75,6.36,7.00,3.55
1954,5.23,10.63,7.20,3.23,7.67,6.66,4.24,9.88,2.61,3.56,7.67,7.88,6.50,7.14,3.80
1955,5.54,11.12,7.67,3.44,8.11,7.10,4.57,10.37,2.73,3.66,8.12,8.34,6.94,7.51,4.06
1956,5.85,11.37,7.96,3.79,8.42,7.45,4.94,10.58,3.04,3.94,8.42,8.63,7.29,7.89,4.37
1957,5.29,10.64,7.25,3.30,7.73,6.72,4.33,9.84,2.67,3.62,7.74,7.92,6.58,7.27,3.85
1958,5.25,10.84,7.39,3.16,7.86,6.82,4.22,10.10,2.47,3.42,7.83,8.06,6.65,7.20,3.74
1959,5.00,10.49,7.05,2.96,7.51,6.49,4.00,9.72,2.33,3.27,7.48,7.72,6.32,6.94,3.51
1960,5.21,10.65,7.23,3.21,7.70,6.68,4.28,9.83,2.54,3.48,7.65,7.89,6.51,7.21,3.73
1961,5.10,10.50,7.08,3.12,7.53,6.52,4.13,9.70,2.50,3.43,7.50,7.75,6.36,7.03,3.66
