Variable:,tasmin
,"French Polynesia","Administrative unit not available"
1901,18.19,20.67
1902,18.39,20.78
1903,19.24,21.28
1904,17.52,20.27
1905,18.15,20.64
1906,18.16,20.65
1907,18.13,20.63
1908,18.10,20.61
1909,18.10,20.61
1910,18.10,20.61
1911,18.10,20.61
1912,18.10,20.61
1913,18.10,20.61
1914,18.10,20.61
1915,18.10,20.61
1916,18.10,20.61
1917,18.10,20.61
1918,18.10,20.60
1919,18.10,20.61
1920,18.10,20.61
1921,18.10,20.61
1922,18.10,20.61
1923,18.10,20.61
1924,18.10,20.61
1925,18.10,20.61
1926,18.10,20.61
1927,18.10,20.62
1928,18.10,20.61
1929,18.10,20.61
1930,18.10,20.61
1931,18.10,20.61
1932,18.10,20.61
1933,18.10,20.61
1934,18.10,20.61
1935,18.27,20.71
1936,18.04,20.58
1937,18.61,20.91
1938,18.56,20.88
1939,18.56,20.88
1940,19.15,21.22
1941,18.93,21.09
1942,18.87,21.07
1943,18.67,20.95
1944,18.45,20.81
1945,18.95,21.10
1946,18.67,20.94
1947,19.08,21.17
1948,18.20,20.67
1949,17.96,20.53
1950,17.52,20.29
1951,17.88,20.48
1952,18.33,20.75
1953,18.03,20.58
1954,17.96,20.53
1955,17.73,20.35
1956,17.52,20.22
1957,18.01,20.54
1958,18.28,20.69
1959,18.22,20.65
1960,17.81,20.37
1961,17.70,20.13
1962,17.78,20.28
1963,17.84,20.46
1964,17.61,20.08
1965,17.93,20.44
1966,17.98,20.54
1967,17.61,20.16
1968,17.44,19.97
1969,18.24,20.76
1970,18.26,20.74
1971,17.53,19.95
1972,18.00,20.48
1973,18.43,20.90
1974,17.52,20.18
1975,17.50,20.21
1976,17.72,20.45
1977,18.23,20.99
1978,18.31,20.83
1979,18.29,20.72
1980,18.62,20.99
1981,18.32,20.85
1982,18.21,20.83
1983,18.37,21.05
1984,18.39,20.82
1985,18.42,20.80
1986,18.50,20.89
1987,18.58,21.04
1988,18.39,20.69
1989,18.13,20.38
1990,18.24,20.65
1991,18.25,20.75
1992,18.46,20.97
1993,18.43,20.83
1994,18.67,21.02
1995,18.68,21.15
1996,18.49,20.98
1997,18.55,21.00
1998,18.88,21.29
1999,18.66,20.90
2000,18.61,20.86
2001,18.76,21.05
2002,19.09,21.30
2003,18.98,21.20
2004,18.77,21.11
2005,19.00,21.16
2006,19.07,21.23
2007,19.03,21.14
2008,18.65,20.83
2009,19.23,21.36
2010,19.14,21.27
2011,18.61,20.88
2012,18.98,21.14
2013,18.68,20.94
2014,18.85,21.07
2015,18.88,21.16
2016,19.30,21.58
2017,19.30,21.44
2018,18.91,21.11
2019,19.26,21.43
2020,19.24,21.46
