Variable:,tasmin
,Rwanda,East/Iburasirazuba,"Kigali City/Umujyi wa Kigali",North/Amajyaruguru,South/Amajyepfo,West/Iburengerazuba
1901,13.05,13.85,13.25,11.50,13.22,12.35
1902,13.30,14.13,13.51,11.73,13.48,12.56
1903,13.02,13.83,13.24,11.47,13.20,12.32
1904,12.78,13.50,12.93,11.20,12.99,12.16
1905,12.97,13.77,13.16,11.36,13.17,12.26
1906,12.61,13.38,12.79,11.01,12.82,11.92
1907,12.31,13.07,12.49,10.77,12.49,11.67
1908,12.96,13.77,13.16,11.39,13.15,12.25
1909,12.09,12.73,12.18,10.49,12.36,11.58
1910,12.10,12.73,12.19,10.51,12.36,11.58
1911,12.28,13.00,12.40,10.70,12.49,11.68
1912,12.15,12.79,12.25,10.55,12.41,11.61
1913,12.11,12.72,12.19,10.52,12.38,11.60
1914,12.36,13.04,12.48,10.78,12.60,11.79
1915,12.30,12.96,12.42,10.72,12.54,11.74
1916,12.04,12.64,12.11,10.45,12.32,11.55
1917,11.75,12.29,11.80,10.16,12.07,11.33
1918,11.99,12.58,12.06,10.41,12.27,11.51
1919,12.14,12.77,12.24,10.56,12.40,11.63
1920,12.12,12.74,12.20,10.53,12.39,11.61
1921,12.89,13.70,13.08,11.31,13.06,12.18
1922,12.83,13.62,13.02,11.25,13.01,12.14
1923,12.26,12.97,12.39,10.70,12.47,11.67
1924,12.97,13.79,13.18,11.39,13.14,12.25
1925,12.90,13.72,13.11,11.33,13.07,12.19
1926,12.97,13.82,13.20,11.40,13.12,12.23
1927,12.38,13.12,12.53,10.82,12.57,11.75
1928,12.83,13.66,13.04,11.27,13.00,12.12
1929,11.34,11.84,11.34,9.76,11.66,10.97
1930,11.83,12.42,11.90,10.25,12.10,11.37
1931,12.63,13.40,12.81,11.06,12.83,11.98
1932,12.36,13.08,12.51,10.79,12.58,11.75
1933,12.46,13.23,12.64,10.88,12.66,11.80
1934,12.46,13.24,12.64,10.88,12.66,11.79
1935,12.61,13.37,12.77,11.01,12.85,11.96
1936,12.50,13.24,12.66,10.89,12.74,11.85
1937,12.33,13.07,12.47,10.71,12.55,11.69
1938,12.40,13.14,12.55,10.79,12.63,11.75
