Variable:,tasmin
,"Sao Tome and Principe",Principe,"Sao Tome"
1901,19.37,19.33,19.56
1902,19.59,19.58,19.78
1903,19.73,19.72,19.92
1904,19.43,19.42,19.62
1905,19.87,19.85,20.05
1906,19.81,19.79,19.99
1907,19.85,19.84,20.03
1908,19.42,19.40,19.61
1909,19.99,20.00,20.17
1910,19.35,19.33,19.53
1911,19.81,19.78,19.99
1912,19.88,19.86,20.07
1913,19.42,19.41,19.61
1914,19.89,19.88,20.07
1915,19.70,19.68,19.89
1916,19.70,19.68,19.89
1917,19.70,19.68,19.89
1918,19.70,19.68,19.89
1919,19.70,19.68,19.89
1920,19.70,19.68,19.89
1921,19.70,19.68,19.89
1922,19.70,19.68,19.89
1923,19.70,19.68,19.89
1924,19.70,19.68,19.89
1925,19.70,19.68,19.89
1926,19.70,19.68,19.89
1927,19.70,19.68,19.89
1928,19.70,19.68,19.89
1929,19.70,19.68,19.89
1930,19.70,19.68,19.89
1931,19.70,19.68,19.89
1932,19.70,19.68,19.89
1933,19.70,19.68,19.89
1934,19.70,19.68,19.89
1935,19.70,19.68,19.89
1936,19.70,19.68,19.89
1937,19.70,19.68,19.89
1938,19.70,19.68,19.89
1939,19.70,19.68,19.89
1940,19.70,19.68,19.89
1941,20.22,20.21,20.41
1942,20.09,20.08,20.28
1943,19.51,19.50,19.70
1944,20.20,20.16,20.39
1945,20.31,20.30,20.50
1946,19.93,19.89,20.12
1947,20.29,20.25,20.48
1948,19.88,19.85,20.07
1949,20.29,20.26,20.48
1950,20.17,20.17,20.36
1951,20.07,20.02,20.26
1952,19.94,19.88,20.12
1953,19.83,19.79,20.02
1954,19.44,19.38,19.62
1955,19.64,19.58,19.83
1956,19.50,19.42,19.68
1957,19.86,19.79,20.04
1958,19.72,19.70,19.91
1959,19.82,19.81,20.00
1960,19.92,19.88,20.10
1961,19.68,19.56,19.86
1962,19.74,19.72,19.92
1963,20.07,20.00,20.26
1964,19.67,19.57,19.85
1965,19.68,19.59,19.87
1966,20.06,20.01,20.24
1967,19.79,19.78,19.98
1968,19.74,19.75,19.93
1969,19.88,19.84,20.07
1970,19.92,19.92,20.10
1971,19.46,19.36,19.65
1972,19.43,19.38,19.61
1973,19.91,19.87,20.10
1974,19.38,19.33,19.57
1975,19.34,19.30,19.52
1976,19.24,19.33,19.43
1977,19.80,19.93,19.99
1978,19.60,19.58,19.78
1979,19.98,20.08,20.16
1980,19.95,19.99,20.13
1981,19.58,19.53,19.77
1982,19.43,19.39,19.62
1983,19.75,19.74,19.94
1984,19.79,19.60,19.97
1985,19.55,19.51,19.73
1986,19.53,19.53,19.71
1987,20.08,19.98,20.26
1988,19.89,19.83,20.07
1989,19.69,19.46,19.87
1990,19.87,19.91,20.05
1991,19.78,19.68,19.97
1992,19.58,19.51,19.77
1993,19.78,19.69,19.97
1994,19.72,19.67,19.91
1995,19.99,19.88,20.17
1996,19.80,19.77,19.98
1997,19.66,19.63,19.85
1998,20.33,20.24,20.51
1999,19.97,19.88,20.15
2000,20.02,19.94,20.21
2001,20.03,19.98,20.21
2002,20.24,20.13,20.42
2003,20.28,20.24,20.47
2004,20.04,20.03,20.22
2005,20.12,20.07,20.31
2006,20.17,20.14,20.36
2007,20.17,20.13,20.36
2008,20.02,19.99,20.21
2009,20.10,20.12,20.29
2010,20.29,20.32,20.48
2011,19.98,19.95,20.16
2012,20.05,20.02,20.23
2013,20.08,20.08,20.27
2014,20.17,20.16,20.36
2015,20.23,20.25,20.41
2016,20.33,20.38,20.51
2017,20.24,20.28,20.42
2018,20.40,20.36,20.58
2019,20.23,20.23,20.41
2020,20.28,20.32,20.47
