Variable:,tasmin
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
1901,13.43,12.72,15.05,12.29,12.79
1902,13.42,12.73,15.05,12.29,12.75
1903,13.52,12.84,15.15,12.39,12.85
1904,13.31,12.58,14.95,12.17,12.69
1905,13.44,12.75,15.05,12.31,12.79
1906,13.11,12.40,14.73,11.97,12.48
1907,12.88,12.18,14.50,11.74,12.24
1908,13.29,12.61,14.91,12.16,12.63
1909,13.08,12.38,14.70,11.95,12.43
1910,12.13,11.42,13.73,11.02,11.53
1911,12.59,11.85,14.19,11.47,12.01
1912,12.92,12.21,14.53,11.80,12.30
1913,13.22,12.50,14.81,12.10,12.61
1914,13.44,12.75,15.04,12.32,12.81
1915,13.06,12.35,14.67,11.94,12.44
1916,12.71,12.01,14.30,11.58,12.09
1917,12.74,12.06,14.34,11.61,12.09
1918,12.77,12.00,14.39,11.64,12.19
1919,13.04,12.29,14.62,11.93,12.46
1920,13.00,12.28,14.61,11.88,12.40
1921,12.61,11.89,14.21,11.49,12.00
1922,13.55,12.86,15.14,12.43,12.91
1923,13.31,12.59,14.91,12.19,12.72
1924,12.74,12.05,14.33,11.61,12.11
1925,13.11,12.36,14.74,11.97,12.52
1926,13.14,12.41,14.74,12.02,12.52
1927,13.06,12.30,14.65,11.95,12.50
1928,13.20,12.52,14.80,12.09,12.56
1929,13.40,12.69,15.00,12.28,12.79
1930,12.98,12.25,14.58,11.86,12.39
1931,13.66,12.92,15.27,12.53,13.07
1932,13.60,12.84,15.19,12.49,13.04
1933,13.15,12.37,14.74,12.04,12.59
1934,13.66,12.91,15.26,12.55,13.09
1935,12.59,11.84,14.18,11.47,12.00
1936,12.90,12.13,14.50,11.78,12.33
1937,13.08,12.32,14.69,11.96,12.51
1938,13.71,12.94,15.31,12.60,13.14
1939,13.15,12.37,14.77,12.01,12.58
1940,13.55,12.76,15.14,12.43,13.01
1941,13.78,13.01,15.38,12.66,13.21
1942,13.78,13.03,15.37,12.66,13.21
1943,13.41,12.66,15.02,12.27,12.84
1944,13.58,12.85,15.19,12.44,12.98
1945,13.19,12.40,14.78,12.07,12.69
1946,13.81,13.06,15.41,12.69,13.24
1947,13.86,13.12,15.45,12.75,13.26
1948,13.45,12.70,15.05,12.31,12.88
1949,13.68,12.90,15.29,12.56,13.12
1950,13.84,13.08,15.45,12.70,13.26
1951,13.36,12.62,14.96,12.23,12.78
1952,14.11,13.37,15.72,12.99,13.53
1953,13.39,12.64,15.01,12.25,12.79
1954,13.45,12.69,15.07,12.31,12.86
1955,13.29,12.55,14.92,12.16,12.68
1956,13.83,13.09,15.45,12.69,13.22
1957,14.38,13.63,16.00,13.24,13.78
1958,14.24,13.50,15.87,13.11,13.64
1959,13.85,13.09,15.47,12.71,13.25
1960,13.93,13.31,15.56,12.81,13.16
1961,14.36,13.66,15.98,13.25,13.70
1962,14.11,13.38,15.73,12.95,13.53
1963,13.79,12.97,15.42,12.63,13.26
1964,13.67,12.89,15.31,12.51,13.10
1965,13.57,12.81,15.20,12.42,12.99
1966,13.82,13.08,15.44,12.68,13.24
1967,13.69,12.87,15.31,12.56,13.16
1968,13.66,12.92,15.26,12.54,13.05
1969,14.43,13.65,16.03,13.32,13.84
1970,14.08,13.33,15.68,12.95,13.53
1971,13.92,13.13,15.54,12.77,13.37
1972,13.90,13.04,15.53,12.74,13.43
1973,14.10,13.39,15.73,12.97,13.44
1974,13.87,13.02,15.49,12.73,13.39
1975,13.86,13.01,15.47,12.75,13.36
