Variable:,tasmin
,Seychelles,Aldabra,Alphonse,"Anse Aux Pins","Anse Boileau","Anse Etoile","Anse Royale",Aride,Assumption,Astove,"Au Cap","Baie Lazare","Beau Vallon","Bel Air",Belombre,Bijoutier,Bird,Cascade,"Cerf Island",Conception,Cosmoledo,Cousin,Cousine,Curieuse,Darros,Denis,Desnoeufs,Desroches,"English River",Farquhar,Felicite,Fregate,Glacis,"Grand Anse Mahe","Grande Soeur","Ile du Sud","La Digue","Les Mamelles",Marie-Louise,"Mont Buxton","Mont Fleuri","North Island","Petite Soeur",Plaisance,Platte,"Pointe Larue",Poivre,"Port Glaud",Praslin,Providence,Remire,"Roche Caiman",Silhouette,"St Louis","St. Francois","St. Joseph Atoll","St. Pierre","Ste Anne",Takamaka,Therese,Coetivy
1901,23.76,23.88,23.79,23.79,23.74,23.74,23.79,23.79,23.79,23.79,23.79,23.75,23.74,23.74,23.74,23.74,23.74,23.75,23.74,23.74,23.75,23.74,23.74,23.75,23.74,23.74,23.74,23.79,23.74,23.79,23.74,23.79,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.79,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.74,23.78,23.74,23.78
1902,23.70,24.06,23.73,23.73,23.68,23.68,23.73,23.73,23.73,23.73,23.73,23.69,23.68,23.68,23.68,23.68,23.68,23.69,23.68,23.68,23.69,23.68,23.68,23.69,23.68,23.68,23.68,23.73,23.68,23.73,23.68,23.73,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.73,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.72,23.68,23.72
1903,23.93,23.95,23.96,23.96,23.91,23.91,23.96,23.96,23.96,23.96,23.96,23.92,23.91,23.91,23.91,23.91,23.91,23.92,23.91,23.91,23.92,23.91,23.91,23.92,23.91,23.91,23.91,23.96,23.91,23.96,23.91,23.96,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.96,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.91,23.95,23.91,23.95
1904,24.24,23.86,24.27,24.27,24.22,24.22,24.27,24.27,24.27,24.27,24.27,24.23,24.22,24.22,24.22,24.22,24.22,24.23,24.22,24.22,24.23,24.22,24.22,24.23,24.22,24.22,24.22,24.27,24.22,24.27,24.22,24.27,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.27,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.22,24.26,24.22,24.26
1905,24.66,24.00,24.69,24.69,24.64,24.64,24.69,24.69,24.69,24.69,24.69,24.65,24.64,24.64,24.64,24.64,24.64,24.65,24.64,24.64,24.65,24.64,24.64,24.65,24.64,24.64,24.64,24.69,24.64,24.69,24.64,24.69,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.69,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.64,24.68,24.64,24.68
1906,24.28,23.83,24.31,24.31,24.26,24.26,24.31,24.31,24.31,24.31,24.31,24.27,24.26,24.26,24.26,24.26,24.26,24.27,24.26,24.26,24.27,24.26,24.26,24.27,24.26,24.26,24.26,24.31,24.26,24.31,24.26,24.31,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.31,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.26,24.30,24.26,24.30
1907,24.07,23.88,24.10,24.10,24.05,24.05,24.10,24.10,24.10,24.10,24.10,24.06,24.05,24.05,24.05,24.05,24.05,24.06,24.05,24.05,24.06,24.05,24.05,24.06,24.05,24.05,24.05,24.10,24.05,24.10,24.05,24.10,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.10,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.09,24.05,24.09
1908,24.36,24.03,24.39,24.39,24.34,24.34,24.39,24.39,24.39,24.39,24.39,24.35,24.34,24.34,24.34,24.34,24.34,24.35,24.34,24.34,24.35,24.34,24.34,24.35,24.34,24.34,24.34,24.39,24.34,24.39,24.34,24.39,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.39,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.34,24.38,24.34,24.38
1909,24.11,23.93,24.14,24.14,24.09,24.09,24.14,24.14,24.14,24.14,24.14,24.10,24.09,24.09,24.09,24.09,24.09,24.10,24.09,24.09,24.10,24.09,24.09,24.10,24.09,24.09,24.09,24.14,24.09,24.14,24.09,24.14,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.14,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.13,24.09,24.13
1910,24.07,23.87,24.10,24.10,24.05,24.05,24.10,24.10,24.10,24.10,24.10,24.06,24.05,24.05,24.05,24.05,24.05,24.06,24.05,24.05,24.06,24.05,24.05,24.06,24.05,24.05,24.05,24.10,24.05,24.10,24.05,24.10,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.10,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.05,24.09,24.05,24.09
