Variable:,tasmin
,Chad,Biltine,Guera,Lac,"Logone Occidental",Salamat,"Batha Est","Batha Ouest",Borkou,Ennedi,Tibesti,Baguirmi,Daraba,"Hadjer Lamis","Barl El Gazal",Kanem,"Logone Oriental","Mont De Lam",Kabia,Mayo-Boneye,Mayo-Dala,"Barh Koh","Lac Iro",Mandoul,Assongha,Ouaddai,Sila,"Tandjile Est","Tandjile Ouest"
1901,18.78,18.54,20.40,20.57,19.78,19.39,20.97,20.82,18.30,17.65,14.74,20.50,20.58,20.18,20.32,19.56,19.66,19.13,20.63,20.48,20.62,20.44,20.20,20.05,18.50,19.86,18.46,20.43,20.30
1902,18.79,18.53,20.40,20.57,19.91,19.39,20.97,20.82,18.30,17.61,14.74,20.51,20.58,20.19,20.32,19.56,19.76,19.30,20.76,20.55,20.79,20.44,20.20,20.09,18.50,19.86,18.46,20.49,20.42
1903,18.78,18.52,20.40,20.57,19.92,19.39,20.97,20.82,18.30,17.58,14.74,20.51,20.58,20.19,20.32,19.56,19.76,19.31,20.76,20.55,20.80,20.44,20.20,20.09,18.50,19.86,18.46,20.49,20.42
1904,18.81,18.53,20.41,20.65,20.12,19.39,20.97,20.82,18.30,17.61,14.74,20.62,20.63,20.32,20.33,19.58,19.89,19.46,20.97,20.74,21.04,20.48,20.21,20.16,18.50,19.86,18.46,20.62,20.62
1905,18.72,18.53,20.36,20.30,19.34,19.39,20.97,20.82,18.30,17.60,14.74,20.15,20.43,19.81,20.30,19.51,19.38,18.80,20.10,19.98,20.08,20.35,20.20,19.89,18.50,19.86,18.46,20.09,19.84
1906,18.75,18.54,20.38,20.43,19.62,19.39,20.97,20.82,18.30,17.62,14.74,20.32,20.50,19.99,20.31,19.54,19.56,19.04,20.41,20.25,20.42,20.40,20.20,19.98,18.50,19.86,18.46,20.28,20.11
1907,18.83,18.53,20.42,20.73,20.29,19.39,20.97,20.82,18.30,17.60,14.74,20.73,20.67,20.43,20.33,19.59,20.01,19.67,21.19,20.91,21.27,20.50,20.21,20.22,18.50,19.86,18.46,20.75,20.78
1908,18.73,18.53,20.37,20.35,19.43,19.39,20.97,20.81,18.30,17.59,14.74,20.21,20.45,19.87,20.30,19.52,19.43,18.83,20.20,20.07,20.18,20.37,20.20,19.92,18.50,19.86,18.46,20.15,19.93
1909,18.79,18.53,20.40,20.57,19.93,19.39,20.97,20.82,18.30,17.62,14.74,20.51,20.58,20.19,20.32,19.56,19.77,19.34,20.76,20.55,20.81,20.44,20.20,20.09,18.50,19.86,18.46,20.49,20.42
1910,18.74,18.37,20.34,20.45,20.16,19.33,20.96,20.74,18.30,17.50,14.74,20.56,20.47,20.19,20.15,19.34,19.94,19.56,21.02,20.75,21.07,20.48,20.20,20.18,18.27,19.76,18.22,20.64,20.65
1911,18.78,18.41,20.39,20.65,20.31,19.34,20.97,20.78,18.30,17.54,14.74,20.69,20.59,20.36,20.24,19.47,20.05,19.73,21.16,20.88,21.24,20.50,20.21,20.24,18.34,19.78,18.28,20.72,20.78
1912,18.71,18.37,20.32,20.28,20.01,19.33,20.96,20.71,18.30,17.51,14.74,20.41,20.35,20.02,20.08,19.24,19.86,19.48,20.79,20.54,20.84,20.44,20.20,20.13,18.28,19.76,18.22,20.50,20.45
1913,18.64,18.32,20.26,20.00,19.72,19.31,20.95,20.67,18.30,17.47,14.74,20.16,20.16,19.71,19.98,19.08,19.67,19.16,20.48,20.24,20.51,20.38,20.19,20.03,18.20,19.73,18.16,20.30,20.19
1914,18.74,18.54,20.31,20.26,19.99,19.39,20.97,20.71,18.30,17.62,14.74,20.38,20.34,19.98,20.08,19.24,19.84,19.46,20.77,20.51,20.84,20.44,20.20,20.13,18.51,19.86,18.47,20.48,20.43
1915,18.77,18.50,20.36,20.44,20.03,19.37,20.97,20.77,18.30,17.61,14.74,20.50,20.47,20.14,20.20,19.40,19.85,19.45,20.86,20.61,20.92,20.46,20.20,20.14,18.46,19.84,18.41,20.54,20.51
1916,18.70,18.29,20.34,20.34,19.93,19.30,20.96,20.75,18.30,17.46,14.74,20.40,20.41,20.02,20.16,19.34,19.79,19.37,20.73,20.49,20.77,20.43,20.20,20.10,18.17,19.70,18.10,20.46,20.39
1917,18.62,18.29,20.25,19.91,19.68,19.29,20.95,20.67,18.30,17.46,14.74,20.09,20.11,19.62,19.96,19.05,19.65,19.18,20.40,20.14,20.44,20.37,20.19,20.02,18.15,19.70,18.10,20.25,20.12
1918,18.96,18.76,20.69,20.48,20.14,19.74,21.40,21.10,18.48,17.84,14.74,20.64,20.65,20.23,20.35,19.41,19.95,19.58,20.96,20.72,21.04,20.64,20.50,20.27,18.63,20.19,18.59,20.67,20.62
1919,19.03,19.17,20.77,20.06,19.76,20.02,21.63,21.21,18.57,18.17,14.75,20.29,20.45,19.78,20.30,19.23,19.73,19.26,20.44,20.21,20.50,20.64,20.62,20.17,19.12,20.53,19.07,20.37,20.17
1920,18.28,17.36,19.82,20.14,19.66,18.56,20.21,20.24,18.03,16.78,14.74,20.05,20.06,19.73,19.90,19.25,19.61,19.15,20.40,20.15,20.42,20.13,19.76,19.90,17.21,18.81,17.19,20.16,20.11
1921,18.61,17.89,20.27,20.46,19.86,19.08,20.73,20.70,18.24,17.25,14.74,20.40,20.47,20.08,20.23,19.49,19.72,19.27,20.68,20.46,20.71,20.38,20.12,20.05,17.72,19.34,17.72,20.41,20.34
1922,18.19,17.21,19.71,19.97,19.57,18.44,20.05,20.12,17.98,16.73,14.74,19.92,19.92,19.57,19.79,19.14,19.55,19.08,20.26,20.01,20.30,20.06,19.69,19.84,17.05,18.62,17.08,20.07,20.00
1923,18.66,18.10,20.21,20.75,19.85,19.10,20.72,20.68,18.26,17.31,14.78,20.41,20.49,20.23,20.33,19.74,19.70,19.27,20.72,20.49,20.78,20.34,20.05,20.01,18.03,19.47,18.00,20.38,20.33
1924,18.92,18.76,20.59,20.62,19.84,19.69,21.30,21.03,18.45,17.85,14.76,20.44,20.55,20.16,20.37,19.64,19.71,19.26,20.67,20.47,20.73,20.54,20.43,20.11,18.66,20.13,18.65,20.42,20.32
1925,18.73,18.39,20.44,19.84,19.96,19.48,21.12,20.82,18.36,17.63,14.72,20.33,20.31,19.75,20.02,18.93,19.87,19.45,20.65,20.39,20.68,20.52,20.35,20.18,18.24,19.83,18.24,20.49,20.38
1926,18.97,18.69,20.64,20.75,20.18,19.72,21.38,21.06,18.50,17.85,14.82,20.62,20.57,20.38,20.34,19.63,19.92,19.57,21.08,20.82,21.18,20.61,20.49,20.21,18.58,20.11,18.55,20.63,20.68
1927,19.01,18.82,20.63,21.00,20.08,19.72,21.34,21.07,18.49,17.90,14.84,20.65,20.67,20.49,20.45,19.86,19.85,19.46,21.02,20.80,21.11,20.58,20.45,20.17,18.77,20.18,18.74,20.59,20.59
