Variable:,tasmin
,Togo,Centrale,Kara,Maritime,Plateaux,Savanes
1901,21.34,20.87,21.09,22.44,21.42,21.50
1902,21.54,21.04,21.29,22.67,21.63,21.72
1903,21.49,20.96,21.32,22.51,21.47,21.90
1904,21.67,21.14,21.50,22.69,21.65,22.06
1905,21.13,20.57,20.95,22.23,21.11,21.56
1906,21.60,21.11,21.38,22.66,21.67,21.78
1907,21.18,20.65,20.84,22.49,21.38,21.20
1908,21.23,20.72,20.86,22.53,21.46,21.22
1909,20.85,20.30,20.59,22.05,20.93,21.10
1910,21.31,20.83,21.03,22.47,21.45,21.41
1911,21.20,20.69,20.87,22.49,21.39,21.21
1912,21.74,21.24,21.44,22.93,21.90,21.82
1913,21.83,21.38,21.43,23.09,22.11,21.71
1914,21.89,21.44,21.56,23.02,22.08,21.88
1915,21.38,20.92,21.00,22.69,21.63,21.27
1916,21.02,20.56,20.58,22.41,21.33,20.76
1917,21.02,20.55,20.65,22.31,21.24,20.95
1918,21.14,20.69,20.75,22.47,21.40,20.95
1919,21.42,20.89,21.28,22.40,21.37,21.89
1920,21.42,20.88,21.24,22.43,21.39,21.84
1921,21.34,20.80,21.18,22.34,21.31,21.77
1922,21.26,20.76,20.96,22.45,21.40,21.38
1923,21.05,20.56,20.82,22.13,21.11,21.29
1924,21.21,20.70,21.07,22.18,21.17,21.63
1925,20.76,20.23,20.63,21.71,20.71,21.21
1926,21.25,20.73,20.98,22.42,21.35,21.45
1927,20.41,19.88,20.19,21.54,20.43,20.71
1928,20.46,19.93,20.25,21.57,20.49,20.76
1929,20.20,19.65,20.00,21.32,20.20,20.58
1930,21.21,20.67,20.97,22.38,21.26,21.50
1931,21.56,21.05,21.43,22.53,21.52,21.95
1932,21.40,20.86,21.21,22.53,21.43,21.71
1933,21.19,20.66,20.74,22.63,21.47,21.08
1934,21.50,21.04,21.29,22.55,21.56,21.70
1935,21.47,20.99,21.43,22.25,21.36,21.95
1936,21.02,20.53,20.82,22.08,21.07,21.27
1937,22.13,21.61,22.11,22.82,21.95,22.83
1938,22.65,22.20,22.60,23.32,22.52,23.22
1939,22.05,21.55,21.97,22.84,21.93,22.61
1940,21.43,20.89,21.28,22.42,21.38,21.88
1941,22.02,21.50,21.86,23.00,21.99,22.43
1942,21.74,21.22,21.62,22.64,21.66,22.24
1943,21.43,20.90,21.25,22.46,21.41,21.81
1944,21.64,21.11,21.48,22.61,21.59,22.10
1945,21.30,20.76,21.12,22.38,21.29,21.69
1946,21.29,20.76,21.09,22.35,21.29,21.67
1947,21.68,21.15,21.50,22.68,21.66,22.08
1948,21.17,20.63,20.97,22.24,21.18,21.54
1949,21.80,21.27,21.61,22.83,21.81,22.14
1950,21.04,20.54,20.77,22.25,21.14,21.18
1951,21.59,21.07,21.28,22.81,21.70,21.76
1952,21.27,20.75,21.08,22.41,21.29,21.50
1953,21.16,20.63,21.02,22.26,21.15,21.49
1954,20.92,20.34,20.82,21.95,20.85,21.42
1955,20.86,20.31,20.65,22.04,20.88,21.14
1956,20.92,20.39,20.73,22.02,20.94,21.26
1957,21.06,20.52,20.82,22.22,21.12,21.34
1958,21.29,20.70,21.08,22.37,21.30,21.71
1959,21.22,20.63,20.98,22.37,21.26,21.59
1960,21.14,20.60,20.89,22.31,21.20,21.43
1961,21.01,20.52,20.81,22.11,21.08,21.19
1962,21.12,20.60,20.97,22.11,21.12,21.50
1963,21.43,20.88,21.22,22.49,21.46,21.76
1964,21.18,20.67,21.11,22.05,21.08,21.68
1965,21.24,20.78,21.05,22.26,21.26,21.53
1966,21.44,20.96,21.21,22.53,21.49,21.68
1967,21.20,20.68,21.08,22.14,21.12,21.69
1968,21.46,20.97,21.22,22.53,21.50,21.73
1969,21.69,21.19,21.45,22.76,21.73,22.01
1970,21.44,20.92,21.22,22.47,21.45,21.80
1971,20.64,20.05,20.48,21.60,20.58,21.24
1972,21.01,20.43,20.78,22.07,21.00,21.52
1973,21.27,20.64,21.04,22.34,21.27,21.81
1974,20.72,20.11,20.51,21.77,20.71,21.24
1975,20.50,19.91,20.35,21.52,20.45,21.04
1976,20.73,20.18,20.59,21.72,20.66,21.25
1977,21.31,20.77,21.06,22.48,21.35,21.59
1978,21.09,20.51,20.95,22.06,21.01,21.70
1979,21.47,20.91,21.26,22.59,21.48,21.82
1980,21.49,20.89,21.30,22.52,21.44,22.06
1981,21.88,21.37,21.70,22.96,21.88,22.17
1982,21.88,21.38,21.72,22.90,21.88,22.21
1983,22.17,21.68,22.09,23.09,22.08,22.60
1984,22.01,21.48,21.91,22.96,21.92,22.52
1985,22.00,21.49,21.96,22.83,21.84,22.60
1986,21.77,21.26,21.70,22.70,21.67,22.23
1987,21.93,21.33,21.75,23.00,21.92,22.41
1988,21.56,20.97,21.48,22.48,21.45,22.17
1989,21.00,20.38,20.87,22.00,20.94,21.55
1990,21.61,21.05,21.54,22.50,21.47,22.24
1991,21.62,21.00,21.46,22.60,21.55,22.24
1992,21.36,20.80,21.25,22.26,21.26,21.93
1993,21.26,20.69,21.20,22.10,21.10,21.98
1994,21.52,20.97,21.42,22.42,21.42,22.12
1995,21.46,20.86,21.39,22.33,21.30,22.16
1996,21.58,20.99,21.42,22.59,21.51,22.14
1997,21.55,20.96,21.49,22.39,21.37,22.29
1998,22.09,21.50,22.01,22.98,21.97,22.75
1999,21.53,20.96,21.43,22.42,21.40,22.21
2000,21.59,21.04,21.42,22.56,21.56,22.09
2001,21.86,21.33,21.66,22.88,21.85,22.27
2002,21.99,21.42,21.88,22.90,21.89,22.57
2003,22.08,21.52,21.93,23.07,22.03,22.58
2004,22.07,21.50,21.89,23.11,22.03,22.56
2005,22.42,21.85,22.31,23.34,22.31,23.07
2006,22.17,21.60,22.00,23.22,22.13,22.64
2007,22.09,21.53,21.92,23.08,22.02,22.65
2008,21.77,21.24,21.62,22.80,21.75,22.16
2009,22.22,21.64,22.13,23.15,22.09,22.86
2010,22.47,21.92,22.25,23.57,22.48,22.87
2011,22.10,21.52,21.94,23.08,22.02,22.66
2012,22.01,21.48,21.95,22.84,21.85,22.67
2013,22.04,21.49,21.87,23.04,22.01,22.49
2014,22.38,21.86,22.25,23.35,22.32,22.85
2015,22.32,21.80,22.20,23.29,22.25,22.77
2016,22.61,22.08,22.49,23.54,22.52,23.12
2017,22.32,21.76,22.16,23.35,22.28,22.79
2018,22.43,21.91,22.35,23.29,22.31,23.00
2019,22.21,21.69,22.08,23.17,22.15,22.65
2020,22.55,22.02,22.44,23.44,22.45,23.06
