Variable:,tasmin
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1901,4.04,3.51,3.22,3.41,4.48,4.86,1.52,3.85,5.02,4.58,3.70,7.05,3.75,2.98,4.30,4.44,5.69,3.80,3.21,2.88,3.40,3.88,3.19,1.81,5.46,3.26
1902,2.39,1.86,1.44,2.01,2.84,3.25,0.14,2.09,3.46,2.85,2.06,5.65,1.96,1.44,2.65,2.85,4.29,2.04,1.27,1.07,1.73,2.25,1.30,0.61,3.88,1.40
1903,4.00,3.52,3.62,3.45,4.22,4.35,1.64,3.64,4.69,4.69,3.60,6.68,3.90,3.21,3.94,4.25,5.59,3.75,3.48,3.11,3.57,3.91,3.51,1.96,5.05,3.51
1904,3.03,2.48,2.29,2.78,3.33,3.56,1.07,2.67,3.81,3.72,2.59,5.92,2.72,2.46,2.93,3.31,4.79,2.74,2.25,1.82,2.68,2.93,2.29,1.52,4.24,2.25
1905,3.77,3.23,3.08,3.26,4.16,4.45,1.44,3.61,4.63,4.32,3.36,6.69,3.47,2.85,3.94,4.10,5.46,3.52,2.94,2.69,3.21,3.60,2.92,1.78,5.08,3.01
1906,4.10,3.54,3.49,3.59,4.50,4.82,1.69,4.04,4.90,4.65,3.69,6.91,3.80,3.14,4.33,4.38,5.74,3.90,3.25,3.17,3.52,3.95,3.23,2.04,5.36,3.34
1907,2.37,1.86,1.51,2.39,2.48,2.66,0.66,1.70,3.11,3.29,1.92,5.29,2.10,2.06,1.95,2.68,4.32,1.88,1.83,0.92,2.25,2.50,1.89,1.11,3.41,1.78
1908,2.56,2.03,1.74,2.59,2.62,2.78,0.83,1.74,3.30,3.59,2.10,5.56,2.37,2.23,1.96,2.86,4.57,1.98,2.18,0.94,2.50,2.76,2.28,1.18,3.60,2.14
1909,3.46,2.89,2.54,3.22,3.80,4.14,1.35,3.06,4.40,4.19,3.04,6.67,3.14,2.70,3.39,3.86,5.34,3.05,2.61,2.07,3.08,3.42,2.67,1.61,4.82,2.67
1910,4.47,4.07,3.81,4.21,4.71,4.78,2.34,4.05,5.21,5.28,4.13,7.18,4.34,3.75,4.11,4.84,6.32,4.23,3.84,3.33,4.15,4.55,3.82,2.68,5.47,3.89
