Variable:,tasmin
,Zambia,Central,Copperbelt,Eastern,Luapula,Lusaka,North-Western,Northern,Southern,Western
1901,14.66,14.31,13.12,15.35,15.60,16.03,13.65,14.86,14.85,14.95
1902,14.92,14.64,13.40,15.71,15.83,16.38,13.79,15.17,15.16,15.11
1903,14.98,14.77,13.50,15.78,15.82,16.57,13.85,15.10,15.32,15.20
1904,14.39,13.88,12.77,15.07,15.50,15.49,13.45,14.81,14.34,14.62
1905,14.89,14.61,13.36,15.67,15.75,16.39,13.78,15.13,15.14,15.09
1906,14.44,14.01,12.89,15.17,15.46,15.67,13.50,14.77,14.46,14.67
1907,14.24,13.75,12.67,14.98,15.29,15.36,13.39,14.55,14.17,14.48
1908,14.76,14.46,13.25,15.53,15.68,16.18,13.71,14.97,14.95,14.97
1909,14.58,14.20,13.04,15.35,15.60,15.87,13.58,14.88,14.64,14.76
1910,14.33,13.84,12.75,15.04,15.42,15.44,13.43,14.71,14.25,14.54
1911,14.31,13.83,12.74,15.04,15.38,15.44,13.43,14.66,14.26,14.55
1912,14.83,14.57,13.34,15.62,15.73,16.31,13.75,15.00,15.06,15.04
1913,14.93,14.70,13.44,15.73,15.74,16.49,13.82,15.03,15.27,15.17
1914,15.22,15.10,13.78,16.22,16.04,16.89,13.98,15.34,15.59,15.33
1915,14.96,14.72,13.49,15.96,15.92,16.44,13.81,15.24,15.14,15.03
1916,14.98,14.75,13.50,15.92,15.88,16.50,13.83,15.19,15.22,15.10
1917,14.92,14.67,13.43,15.82,15.83,16.41,13.79,15.12,15.13,15.06
1918,14.11,13.67,12.54,15.00,15.35,15.33,12.97,14.71,14.06,14.08
1919,14.35,13.96,12.80,15.21,15.47,15.64,13.25,14.80,14.39,14.43
1920,14.90,14.63,13.39,15.86,15.80,16.35,13.79,15.16,15.07,15.02
1921,14.71,14.34,13.17,15.55,15.68,16.01,13.69,15.03,14.78,14.86
1922,15.36,15.15,13.86,16.22,16.01,16.92,14.33,15.34,15.70,15.69
1923,14.80,14.46,13.24,15.66,15.70,16.17,13.77,15.04,14.95,14.99
1924,14.78,14.50,13.29,15.49,15.67,16.22,13.73,14.93,15.03,15.02
1925,14.29,13.83,12.68,14.95,15.35,15.48,13.26,14.63,14.44,14.53
1926,14.62,14.23,13.01,15.33,15.50,15.94,13.56,14.86,14.91,14.91
1927,14.48,14.14,13.03,15.17,15.49,15.82,13.51,14.73,14.64,14.64
1928,15.08,14.83,13.62,15.72,15.82,16.52,14.16,15.04,15.44,15.46
1929,14.91,14.59,13.36,15.54,15.67,16.32,13.96,14.90,15.26,15.34
1930,14.50,14.11,12.95,15.23,15.52,15.78,13.48,14.82,14.60,14.68
1931,15.06,14.80,13.60,15.84,15.82,16.56,14.13,15.13,15.24,15.34
1932,14.68,14.37,13.21,15.60,15.71,16.05,13.65,15.01,14.70,14.75
1933,14.74,14.41,13.26,15.45,15.59,16.10,13.78,14.88,14.92,15.01
1934,15.25,15.05,13.70,16.01,15.79,16.79,14.16,15.12,15.75,15.73
1935,14.58,14.22,13.06,15.34,15.54,15.89,13.59,14.88,14.62,14.77
1936,14.57,14.26,13.04,15.56,15.57,15.96,13.44,15.01,14.55,14.58
1937,14.32,14.02,12.83,15.35,15.35,15.72,13.20,14.81,14.32,14.25
1938,15.01,14.76,13.59,15.73,15.82,16.46,14.01,15.09,15.31,15.26
1939,15.04,14.90,13.79,15.85,15.81,16.54,14.01,15.12,15.30,15.20
1940,15.40,15.20,14.03,16.12,16.10,16.89,14.41,15.35,15.78,15.73
1941,15.50,15.27,14.07,16.22,16.25,16.96,14.48,15.52,15.85,15.80
1942,15.64,15.41,14.23,16.18,16.25,17.09,14.74,15.43,16.09,16.18
1943,15.24,15.01,13.88,15.65,15.88,16.65,14.41,14.97,15.76,15.80
1944,15.30,15.07,13.90,15.99,16.03,16.74,14.31,15.30,15.65,15.61
1945,14.86,14.57,13.48,15.43,15.72,16.18,13.97,14.93,15.12,15.17
1946,15.00,14.74,13.60,15.68,15.82,16.42,14.03,15.07,15.30,15.26
1947,14.89,14.62,13.41,15.65,15.69,16.35,13.85,15.01,15.19,15.12
1948,14.99,14.75,13.54,15.93,15.83,16.46,13.81,15.27,15.22,15.06
