Variable:,pr
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1901,648.65,60.84,1508.60,66.42,1214.58,1344.89,216.44,751.86,666.04,954.57,488.27,1739.48,37.00,88.47,2031.68,419.82
1902,643.06,64.89,1360.61,68.68,1255.22,1171.50,234.16,888.64,580.06,1034.77,576.54,1839.16,37.52,109.10,1928.23,488.88
1903,485.49,77.38,735.71,50.90,1175.79,590.34,130.28,523.91,663.66,548.26,373.80,1273.34,39.21,106.65,1117.17,301.85
1904,704.48,44.81,1596.16,72.43,1212.35,1603.76,279.91,1095.06,747.88,1343.22,710.73,1694.00,22.37,70.61,1969.78,589.26
1905,633.63,45.26,1379.96,61.68,1142.55,1289.78,263.39,1204.37,609.42,1236.57,869.59,1445.48,24.12,79.06,1776.69,684.94
1906,555.43,48.79,1273.19,51.26,1084.68,1253.57,169.19,688.67,685.19,905.41,465.50,1141.32,21.75,67.53,1535.02,377.95
1907,548.53,50.09,1108.07,62.93,1121.25,951.06,210.35,733.24,623.01,824.37,528.33,1375.54,25.04,124.46,1544.08,418.10
1908,452.94,48.34,924.27,53.61,1010.24,828.24,118.92,543.02,623.73,665.06,350.88,919.76,21.92,82.52,1137.87,270.87
1909,449.59,45.99,886.13,45.48,1041.16,725.09,119.82,462.16,620.66,559.83,326.83,1012.87,22.59,77.41,1208.20,269.06
1910,526.56,56.15,1061.69,50.34,1170.95,987.24,126.09,600.99,524.28,766.61,369.69,1441.90,22.46,71.29,1515.12,296.35
1911,526.19,67.69,1072.08,49.61,1168.44,968.22,113.77,530.42,691.23,688.28,362.09,1213.83,40.30,121.91,1356.26,264.72
1912,544.85,67.28,978.98,56.97,1121.26,863.76,178.02,690.62,774.23,773.00,475.04,1303.48,37.84,101.82,1392.03,387.65
1913,603.42,64.71,1256.94,49.74,1211.72,1071.48,118.34,579.70,794.45,762.35,391.24,1638.10,38.77,112.88,1776.95,296.65
1914,730.48,60.49,1444.81,60.27,1348.85,1388.40,318.56,1435.98,808.82,1353.75,1058.27,1591.25,37.94,108.90,1948.37,817.30
1915,644.12,61.78,1337.56,58.94,1130.20,1089.28,180.21,661.18,753.28,824.12,443.02,2137.12,37.47,105.38,2155.80,358.17
