Variable:,pr
,"Congo (Republic of the)",Bouenza,Cuvette,Cuvette-Ouest,Lekoumou,Likouala,Niari,Plateaux,Sangha,Pool,Brazzaville,Kouilou,Point-Noire
1901,1599.60,1259.76,1659.68,1720.53,1526.29,1663.89,1272.54,1827.84,1659.01,1576.45,1434.00,1001.04,905.77
1902,1619.74,1343.78,1659.68,1713.29,1578.94,1663.89,1404.28,1823.20,1647.61,1579.46,1434.00,1176.88,1118.10
1903,1671.21,1474.72,1659.68,1719.10,1724.51,1663.89,1690.24,1827.63,1646.37,1584.89,1434.00,1563.36,1522.17
1904,1587.72,1306.68,1649.23,1699.04,1528.20,1663.89,1381.93,1703.59,1646.05,1496.13,1381.00,1164.53,1101.50
1905,1617.24,1341.41,1659.68,1714.60,1549.27,1663.89,1397.48,1823.11,1641.25,1578.70,1434.00,1203.63,1158.63
1906,1624.04,1401.55,1654.89,1709.57,1591.85,1663.89,1364.07,1803.29,1645.49,1666.67,1559.70,1154.14,1090.40
1907,1629.85,1203.02,1767.78,1789.56,1468.56,1788.37,1306.76,1753.77,1733.12,1424.69,1275.80,1053.70,984.95
1908,1525.27,1362.15,1416.03,1659.59,1618.34,1476.62,1525.75,1695.41,1536.25,1506.52,1369.70,1313.38,1235.72
1909,1797.78,1721.38,1668.91,1772.90,1911.37,1817.77,1879.93,1958.18,1696.94,1845.35,1691.20,1762.24,1693.66
1910,1617.37,1366.67,1699.77,1712.73,1565.60,1630.99,1325.29,1858.46,1630.93,1605.95,1477.20,1183.91,1159.29
1911,1656.50,1345.67,1833.56,1746.04,1607.61,1635.22,1506.72,1842.62,1674.02,1543.12,1413.90,1279.88,1170.96
1912,1736.97,1604.65,1684.60,1752.54,1815.71,1703.50,1696.27,1933.16,1690.55,1793.56,1652.20,1575.48,1498.79
1913,1413.31,993.33,1520.74,1688.23,1289.28,1417.56,1116.16,1592.06,1576.52,1218.66,1094.40,834.49,764.82
1914,1637.06,1123.53,1919.89,1726.03,1396.15,1877.61,1215.70,1720.82,1760.26,1361.47,1235.40,964.01,892.17
1915,1536.94,1176.07,1578.43,1711.77,1443.32,1550.75,1329.42,1785.52,1584.13,1461.11,1326.00,1074.13,990.50
1916,1732.34,1718.19,1659.68,1724.81,1967.97,1646.32,1830.06,1871.65,1646.23,1797.56,1656.20,1630.51,1526.66
1917,1598.01,1043.11,1905.08,1709.89,1325.89,1860.28,1267.04,1597.60,1761.59,1172.08,1052.20,1079.68,1014.74
1918,1521.30,1076.46,1606.15,1711.54,1290.70,1640.99,1179.46,1750.92,1619.76,1375.01,1256.60,953.76,900.53
1919,1537.21,993.35,1708.55,1708.62,1257.99,1713.35,1170.69,1709.56,1666.74,1308.01,1196.10,930.49,833.44
1920,1583.55,1508.56,1452.88,1703.57,1719.21,1500.45,1578.97,1782.36,1554.21,1642.29,1514.00,1383.23,1306.14
1921,1577.07,1171.95,1593.62,1716.87,1535.96,1611.31,1428.40,1809.12,1619.65,1482.28,1314.00,1141.84,1033.53
1922,1615.06,1220.75,1680.99,1725.70,1549.39,1676.41,1449.66,1829.56,1657.25,1487.39,1320.20,1153.27,1045.36
1923,1624.28,1692.57,1480.74,1706.36,1836.37,1477.71,1756.55,1799.48,1546.45,1663.08,1495.90,1667.01,1611.17
1924,1587.38,1150.53,1653.50,1721.08,1534.46,1644.61,1363.67,1828.81,1619.97,1531.80,1396.00,996.04,885.12
1925,1702.04,1406.19,1771.02,1749.62,1715.22,1692.91,1545.22,1966.36,1680.02,1686.89,1512.90,1303.46,1211.38
1926,1680.45,1371.74,1708.71,1724.83,1653.32,1792.47,1529.94,1830.21,1700.47,1581.27,1434.00,1299.91,1208.33
1927,1555.66,1322.79,1599.95,1695.75,1604.76,1445.89,1475.75,1737.53,1610.93,1520.20,1396.80,1208.25,1112.21
1928,1607.62,1251.99,1753.45,1718.43,1499.43,1687.92,1374.28,1744.75,1685.96,1443.50,1327.80,1123.55,1039.79
1929,1642.98,1573.14,1584.07,1679.10,1756.90,1631.84,1613.05,1746.85,1614.69,1676.98,1590.60,1473.41,1391.33
1930,1457.75,1139.12,1394.87,1644.14,1419.63,1584.16,1330.63,1525.24,1553.21,1286.69,1186.30,1087.74,999.74
1931,1533.98,1325.51,1547.09,1744.81,1567.06,1497.52,1487.33,1601.94,1590.19,1393.14,1316.50,1341.89,1268.67
1932,1559.48,1280.26,1628.87,1700.91,1495.91,1677.77,1436.50,1545.06,1640.72,1360.21,1265.90,1268.50,1174.83
1933,1706.27,1317.21,1778.10,1932.18,1565.57,1835.34,1502.82,1680.11,1889.47,1435.09,1314.60,1327.40,1259.48
1934,1559.68,1307.47,1528.05,1714.21,1605.52,1565.64,1475.66,1730.49,1579.92,1496.72,1382.50,1175.84,1098.27
1935,1600.52,1328.48,1604.84,1693.83,1586.07,1653.61,1462.54,1764.90,1642.91,1520.30,1399.40,1200.69,1119.67
1936,1582.82,1181.99,1619.77,1675.82,1480.82,1740.23,1330.97,1779.25,1623.97,1459.32,1282.70,1083.53,1000.36
1937,1651.47,1500.36,1655.36,1815.34,1737.89,1541.85,1560.50,1946.80,1564.98,1687.30,1533.30,1359.01,1294.25
1938,1489.73,1207.17,1471.90,1505.61,1453.57,1684.68,1371.37,1507.08,1586.49,1319.90,1200.90,1113.96,1029.86
1939,1720.58,1461.38,1790.46,1912.94,1781.64,1615.53,1681.15,1982.86,1672.02,1610.69,1410.90,1482.09,1407.71
1940,1527.00,1178.89,1615.08,1642.16,1468.05,1556.44,1378.21,1685.76,1572.14,1410.57,1269.90,1172.58,1087.50
1941,1432.89,1117.76,1461.12,1479.49,1386.61,1567.41,1288.92,1624.47,1380.44,1362.78,1227.00,1081.56,998.24
1942,1495.28,1083.83,1516.91,1593.83,1359.65,1697.26,1149.20,1616.93,1616.41,1386.51,1255.10,906.02,837.71
1943,1458.05,1151.21,1519.56,1554.89,1376.22,1590.18,1292.99,1514.60,1536.10,1295.26,1166.70,1064.19,983.31
1944,1795.00,1774.89,1708.72,1807.23,1976.71,1713.02,1958.97,1899.36,1743.27,1779.30,1607.50,1811.39,1707.02
1945,1669.18,1566.02,1588.42,1741.54,1814.98,1615.78,1672.67,1853.06,1637.23,1662.79,1513.60,1487.75,1415.13
1946,1575.80,1315.52,1581.79,1644.23,1615.89,1603.98,1435.63,1782.25,1552.75,1583.75,1429.50,1177.30,1101.29
1947,1704.17,1502.98,1669.05,1763.38,1817.63,1615.46,1806.68,1959.75,1622.38,1676.39,1479.00,1580.49,1459.52
1948,1640.83,1365.65,1565.69,1738.81,1617.61,1778.16,1452.84,1722.12,1759.96,1531.55,1356.30,1203.01,1128.53
