Variable:,pr
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
1901,660.97,731.37,629.56,813.21,636.41,623.12,953.56,584.90,557.29,751.32,788.40,516.83,627.06,936.94,514.33,583.30,496.35,798.73,989.77,680.90
1902,660.49,653.91,633.91,837.45,642.47,292.17,960.72,636.91,552.15,722.26,659.40,473.55,686.18,1012.11,567.41,428.50,407.34,829.30,1002.80,715.10
1903,556.15,452.08,481.78,903.15,627.99,539.16,909.01,588.50,410.55,621.75,436.60,367.09,543.91,1129.73,418.97,354.80,315.84,700.47,900.41,632.56
1904,582.28,614.13,485.96,767.75,562.99,534.67,834.29,549.63,526.19,530.22,595.40,445.67,579.38,936.89,473.35,548.50,466.85,647.25,820.22,587.00
1905,530.70,471.13,522.26,761.79,519.78,390.46,798.84,510.66,417.18,634.58,481.90,402.84,476.58,962.48,408.98,395.70,366.93,718.56,855.62,595.60
1906,592.99,497.52,552.69,844.04,686.08,509.26,989.48,580.77,521.01,665.09,391.80,517.05,546.33,989.58,473.02,406.90,487.33,705.94,896.42,592.62
1907,584.54,486.96,553.06,880.71,591.08,475.02,945.99,580.36,407.83,734.98,446.80,400.68,627.66,1172.84,401.23,378.20,338.70,716.11,890.26,582.89
1908,570.73,486.78,619.40,824.68,701.06,341.69,1050.43,553.89,446.84,695.20,440.90,503.46,457.23,897.89,393.29,371.70,451.49,818.53,1011.17,677.05
1909,581.94,618.28,478.13,856.99,500.61,296.42,857.31,575.19,434.55,567.45,681.70,370.59,610.10,1108.53,458.32,439.80,359.22,664.37,840.00,588.94
1910,621.43,557.87,534.64,966.55,513.58,359.27,1038.96,627.37,458.83,664.83,498.60,352.83,661.78,1264.65,473.78,373.40,341.00,819.83,1040.31,682.39
1911,620.26,567.13,595.99,892.46,511.78,286.20,967.63,641.94,486.47,633.80,559.40,396.87,652.01,1104.99,497.70,416.60,340.13,770.94,927.53,655.10
1912,501.58,480.05,391.59,805.54,415.99,364.39,745.51,515.15,358.97,510.94,540.80,294.43,500.59,1137.36,392.80,369.40,289.87,557.84,713.70,477.74
1913,588.53,464.29,608.70,889.55,436.58,322.75,968.79,616.54,426.04,712.54,501.80,349.42,588.21,1123.28,478.58,302.20,232.69,844.37,1033.90,714.93
1914,601.78,485.03,559.92,914.60,691.22,350.68,934.38,611.06,467.83,748.96,554.50,425.41,566.12,1207.72,482.98,369.20,363.06,713.28,894.20,599.54
1915,694.18,534.04,742.70,1040.65,778.93,351.76,1080.57,701.50,509.50,885.08,557.10,506.00,589.79,1382.06,549.66,409.40,398.73,967.63,1158.94,808.58
1916,613.49,574.82,493.44,1006.31,561.49,246.42,946.48,629.19,438.21,617.45,577.80,344.87,596.66,1449.91,476.69,415.20,348.60,701.93,870.65,594.77
1917,565.65,476.88,598.19,896.16,664.83,294.36,990.15,560.56,409.38,751.31,535.20,389.40,429.93,1065.23,413.99,440.10,332.75,809.98,1001.26,656.78
1918,569.22,472.72,501.54,941.77,726.93,495.71,989.70,599.57,404.37,688.78,509.30,398.45,480.53,1179.14,435.44,432.30,366.66,690.71,907.80,577.89
1919,727.91,565.70,713.09,1205.70,559.43,291.38,1272.56,789.14,540.92,731.81,566.20,480.93,611.10,1591.62,618.41,364.40,375.94,1006.82,1237.21,841.68
1920,559.18,490.12,592.42,666.51,666.15,537.24,682.44,490.58,471.72,788.83,462.00,436.94,531.49,927.39,487.80,347.00,350.19,709.17,831.53,588.99
1921,526.70,500.00,553.89,698.30,669.42,365.83,705.40,487.86,440.89,699.12,512.70,436.59,439.04,781.87,438.31,418.00,393.40,646.06,770.99,544.69
1922,563.88,434.02,566.47,905.50,503.27,400.81,885.63,560.06,430.12,651.08,451.00,380.22,486.06,1229.67,454.76,368.10,301.91,796.33,984.18,644.32
1923,567.33,498.69,532.27,869.52,563.59,255.20,1045.75,578.16,430.31,574.98,507.90,362.63,484.91,1110.66,460.08,427.50,341.35,851.69,1090.99,727.68
1924,537.73,563.37,418.22,810.13,502.65,502.83,792.97,513.50,410.52,483.70,593.40,308.42,557.82,1161.40,424.23,404.50,299.61,628.90,785.47,531.84
1925,577.68,514.67,466.74,984.30,541.75,240.69,956.15,600.58,447.17,546.27,540.20,328.71,545.78,1301.34,476.29,405.30,318.57,703.73,914.48,616.05
1926,613.09,488.69,609.61,896.98,623.43,402.34,929.60,622.74,473.53,748.81,513.60,397.48,564.23,1211.02,533.98,335.60,342.45,814.64,985.59,686.82
1927,640.08,524.11,605.81,1092.81,536.93,440.63,1162.46,686.15,444.84,611.59,576.30,350.82,580.25,1400.28,500.86,416.50,306.36,965.45,1190.82,806.33
1928,585.02,526.97,508.30,923.12,614.33,242.76,939.64,587.41,462.68,548.86,484.80,356.50,559.51,1230.22,489.56,453.60,336.35,780.12,977.52,666.46
1929,560.24,424.04,542.80,918.88,537.85,312.84,946.06,591.50,468.26,549.03,400.00,453.96,449.03,1144.15,488.21,400.60,377.17,702.82,907.73,629.43
1930,621.90,505.39,654.74,946.90,577.32,536.84,1078.16,611.11,468.33,762.41,539.70,378.56,508.16,1166.31,512.78,398.10,316.85,1005.23,1247.96,864.73
1931,521.52,419.47,492.30,897.78,534.61,202.26,924.15,520.85,356.49,628.26,453.10,320.24,446.70,1134.31,392.09,309.50,297.05,828.40,1030.71,679.46
1932,691.68,588.58,812.82,1020.84,790.54,249.45,1046.87,619.62,489.42,1028.56,621.20,557.32,548.47,1276.68,461.57,410.40,401.72,994.88,1174.34,806.86
1933,631.65,518.33,731.04,965.70,766.78,273.48,1058.91,568.63,486.31,813.64,594.30,560.20,462.89,1184.14,469.44,498.50,416.23,915.12,1136.17,751.41
1934,543.55,432.16,567.27,904.19,606.42,217.36,1005.74,544.30,390.32,573.49,487.10,350.28,438.67,1148.84,415.16,436.80,344.71,865.87,1065.29,716.38
1935,573.72,415.08,599.96,955.41,522.95,234.12,1120.43,618.88,419.17,614.25,392.60,346.17,482.16,1178.94,451.97,359.80,294.90,907.65,1126.35,758.61
1936,849.93,762.20,943.29,1228.88,741.21,526.84,1349.88,835.35,649.19,902.95,855.30,612.39,738.32,1497.11,680.15,591.00,478.84,1242.82,1468.25,1017.86
1937,715.18,586.43,567.09,1198.94,444.98,195.53,1217.86,822.38,544.81,575.69,609.30,336.22,773.34,1607.52,663.99,403.90,335.34,900.71,1141.27,789.32
1938,493.73,367.26,608.20,712.54,650.04,219.25,913.83,480.27,330.33,701.10,456.40,396.95,371.90,859.53,345.62,366.30,271.74,851.79,1033.19,689.21
1939,663.85,590.95,686.98,982.68,618.28,285.02,1101.41,663.77,477.00,810.71,621.60,408.94,650.40,1187.05,505.87,358.40,302.80,934.04,1151.84,769.53
1940,652.41,512.22,642.23,1057.06,515.71,380.84,1221.16,705.35,484.85,594.90,553.20,362.09,614.11,1348.61,540.07,383.30,302.83,998.77,1248.44,844.92
1941,735.54,673.75,667.78,1096.63,551.70,322.85,1167.94,749.90,590.72,747.67,645.10,430.77,752.15,1367.23,626.86,421.90,380.89,974.01,1195.32,836.15
1942,641.28,636.82,594.30,956.04,574.09,239.79,994.22,612.45,495.74,650.31,680.00,412.77,632.82,1235.45,499.95,422.60,367.17,827.63,1019.98,680.77
1943,605.03,465.25,652.27,907.93,755.61,401.14,924.78,593.21,440.72,820.42,458.40,488.27,519.74,1188.21,464.28,480.80,362.45,792.24,947.88,627.62
1944,477.24,404.95,464.13,765.84,620.66,317.46,814.20,457.34,378.37,603.80,404.10,326.97,380.58,902.63,376.20,300.10,307.71,668.58,822.29,538.92
1945,471.28,344.20,552.56,812.80,329.68,271.37,828.26,467.01,313.55,510.93,441.60,309.59,387.15,1091.84,341.93,267.20,204.83,775.00,929.95,602.37
1946,617.86,551.87,643.36,976.11,640.56,411.89,942.68,559.95,471.90,718.33,613.30,502.21,472.96,1325.11,441.22,492.10,437.46,777.54,936.61,637.82
1947,697.04,672.13,604.85,1044.04,540.97,173.40,1001.51,684.60,579.95,573.45,607.20,455.98,689.86,1473.84,605.09,374.30,430.14,851.69,1046.79,734.94
1948,559.65,535.04,435.60,872.53,579.07,235.76,788.37,535.60,443.25,579.15,477.30,414.52,548.99,1227.81,420.50,455.00,431.19,601.68,765.43,504.53
1949,541.72,466.94,552.72,800.15,503.28,496.69,926.99,511.22,445.28,590.17,467.60,511.58,436.07,917.07,406.56,454.50,460.16,757.62,974.29,649.23
1950,476.19,383.33,470.15,829.59,492.39,449.30,879.83,467.07,318.77,495.55,358.10,348.07,400.52,1068.21,311.57,445.70,283.19,735.64,942.91,623.11
1951,757.45,597.52,767.36,1118.54,775.10,441.75,1124.28,743.53,621.86,920.97,545.00,565.22,649.12,1498.33,666.74,411.30,460.85,977.52,1206.53,823.63
1952,600.35,522.36,513.98,1057.23,474.83,338.51,1112.64,629.47,454.95,539.41,434.80,319.50,559.83,1275.61,470.08,391.70,331.38,859.85,1131.33,734.23
1953,505.98,414.48,535.59,762.30,518.34,678.91,816.36,491.66,357.52,633.06,486.50,393.65,425.27,944.85,387.28,350.50,299.37,746.09,922.12,630.96
1954,471.17,347.60,495.34,854.10,567.53,450.09,909.35,466.85,305.22,604.63,380.10,340.47,308.81,1054.16,302.61,473.20,340.47,746.09,946.85,616.37
1955,727.91,639.48,606.94,1197.08,585.71,167.85,1092.11,787.60,537.47,743.82,740.00,392.16,732.15,1642.09,606.24,422.10,323.10,831.69,1067.13,733.86
1956,615.37,504.21,637.84,970.83,551.42,580.03,954.12,611.53,473.80,669.75,640.90,429.64,536.03,1263.91,509.63,436.20,327.43,818.87,979.10,672.53
1957,547.29,511.19,568.07,728.21,708.27,473.66,726.48,468.74,465.22,724.05,517.70,504.91,446.93,936.25,429.10,504.10,450.13,632.73,758.43,527.97
1958,591.47,451.54,503.97,1035.74,538.97,379.92,1010.53,651.15,426.17,564.80,450.10,370.63,525.55,1386.61,475.24,416.30,324.58,814.96,1070.02,710.21
1959,772.04,500.79,839.11,1271.38,716.70,319.69,1267.19,829.39,599.80,912.63,483.40,599.76,563.46,1654.12,628.02,376.10,483.81,1100.46,1325.18,931.96
1960,828.64,754.26,776.64,1349.76,605.68,325.30,1238.51,825.03,607.25,884.41,739.10,509.12,800.17,1818.89,631.95,470.70,423.98,996.62,1235.37,833.41
1961,652.05,567.53,593.13,1097.72,388.96,169.08,1070.83,724.20,485.62,557.96,554.20,339.72,616.13,1400.96,535.14,273.60,281.95,905.69,1114.06,766.43
1962,674.18,690.20,629.91,892.60,862.48,396.12,940.38,598.09,569.82,830.63,644.20,506.99,615.36,1111.33,556.06,502.90,449.12,820.21,1003.14,678.40
1963,817.81,848.74,665.62,1152.74,689.86,198.84,1036.08,793.38,653.30,889.62,846.30,438.03,866.55,1653.90,688.22,642.70,427.51,897.16,1101.77,747.73
1964,523.81,450.78,538.62,845.00,515.44,284.05,883.95,498.81,367.42,692.41,488.10,335.20,461.53,1055.28,377.76,412.60,271.89,730.72,910.59,594.41
1965,635.50,525.56,585.08,1007.34,461.62,329.70,1069.99,635.57,488.96,697.44,558.20,407.07,595.46,1320.80,496.12,469.70,373.48,908.39,1162.46,762.58
1966,649.82,431.71,568.50,1194.06,498.11,254.55,1168.22,756.54,475.31,576.68,371.10,328.61,611.00,1591.11,555.69,265.30,286.12,937.91,1204.93,806.89
1967,534.39,469.92,521.70,826.99,514.78,549.39,952.35,512.58,402.37,617.73,488.70,402.68,473.53,954.27,405.85,453.80,347.43,762.82,1012.57,655.48
1968,599.23,520.54,592.97,995.70,510.00,462.72,983.46,558.25,424.46,695.86,508.80,410.76,536.19,1316.76,385.26,458.00,363.18,835.09,1029.49,674.17
1969,823.17,834.30,858.04,1119.34,731.09,364.68,1064.88,715.30,652.97,970.64,850.40,630.67,768.40,1515.31,608.37,591.90,527.68,1027.74,1160.27,814.49
1970,528.46,564.36,474.81,849.78,538.36,356.69,867.19,501.56,331.57,581.95,658.30,321.12,509.26,1069.90,332.43,322.80,289.91,698.06,888.82,572.59
1971,713.91,557.48,834.11,1099.96,685.81,508.05,1141.53,679.21,554.43,942.30,598.50,650.34,514.67,1254.51,514.33,571.30,523.75,1044.85,1198.79,856.70
1972,772.78,640.43,814.87,1108.95,812.91,441.69,1148.49,750.84,609.46,953.24,622.50,652.00,658.19,1416.96,646.91,464.70,541.16,989.84,1206.84,810.35
1973,495.53,386.71,466.40,880.59,553.52,234.79,932.25,533.61,368.39,507.79,389.60,347.55,393.06,1015.42,400.01,510.10,320.35,703.33,928.68,594.71
1974,554.87,365.52,627.43,941.27,580.18,237.99,1005.73,553.45,410.78,665.42,350.00,479.76,372.92,1193.81,385.64,377.30,395.68,906.11,1107.20,729.05
1975,597.36,477.93,638.70,948.33,653.32,218.83,1043.29,572.41,477.32,723.27,496.60,519.63,478.53,1090.82,469.18,460.00,396.64,827.42,1058.07,688.02
1976,671.57,660.25,584.16,958.52,592.92,303.58,974.37,646.60,558.78,728.00,737.20,457.12,634.95,1232.11,586.46,563.00,441.14,817.28,1036.36,676.71
1977,735.82,521.89,754.30,1215.34,689.71,327.31,1154.74,760.64,531.59,926.55,496.70,535.42,662.33,1613.23,575.56,361.70,401.16,963.57,1161.55,823.05
1978,633.16,476.83,451.54,1169.06,565.46,318.37,1085.11,731.43,467.83,542.23,496.50,282.80,646.81,1625.97,573.32,343.70,276.70,770.72,1029.50,661.50
