Variable:,pr
,Vietnam,"An Giang","Ba Ria-Vung Tau","Bac Kan","Bac Giang","Bac Lieu","Bac Ninh","Ben Tre","Binh Dinh","Binh Duong","Binh Phuoc","Binh Thuan","Cao Bang","Ca Mau","Da Nang City","Dong Nai","Dong Thap","Gia Lai","Ha Giang","Ha Nam","Ha Noi City","Ha Tay","Ha Tinh","Hai Duong","Hai Phong City","Ho Chi Minh City","Hoa Binh","Hung Yen","Khanh Hoa","Kien Giang","Kon Tum","Lam Dong","Lang Son","Long An","Nam Dinh","Nghe An","Ninh Binh","Ninh Thuan","Phu Tho","Phu Yen","Quang Binh","Quang Nam","Quang Ngai","Quang Ninh","Quang Tri","Soc Trang","Son La","Tay Ninh","Thai Binh","Thai Nguyen","Thanh Hoa","Thua Thien - Hue","Tien Giang","Tra Vinh","Tuyen Quang","Vinh Long","Vinh Phuc","Yen Bai","Can Tho city","Dak Lak","Dak Nong","Dien Bien","Hau Giang","Lai Chau","Lao Cai"
1901,1689.52,1955.28,1904.46,1040.58,1275.29,2164.92,1244.10,1952.49,1844.53,1824.37,1759.26,1844.45,983.00,2057.05,2131.50,1880.55,1868.39,1822.37,1052.22,1389.24,1184.24,1264.12,2179.25,1361.40,1426.76,1929.07,1337.56,1380.39,1779.37,2092.81,2009.22,1804.04,1168.70,1866.07,1485.62,1895.98,1453.08,1844.19,1179.84,1704.57,2309.61,2162.19,1991.56,1357.90,2376.58,2045.98,1417.03,1700.33,1424.70,1122.31,1531.11,2322.04,1949.85,2006.86,1061.22,1967.49,1153.80,1238.23,1991.15,1755.23,1767.28,1475.06,2069.42,1379.46,1297.84
1902,1696.83,1993.98,1946.12,1004.54,1313.26,2224.49,1257.34,1997.24,1845.34,1842.33,1778.59,1884.18,953.86,2103.01,2131.50,1908.64,1903.59,1829.45,1021.27,1406.63,1159.91,1232.36,2230.74,1403.07,1524.47,1954.21,1289.65,1409.20,1798.39,2138.91,2010.24,1834.21,1196.70,1893.11,1571.68,1883.81,1494.53,1875.30,1102.45,1712.73,2332.75,2162.19,1991.56,1441.23,2376.77,2106.54,1360.95,1716.10,1497.97,1096.00,1529.44,2322.04,1988.70,2064.56,994.71,2011.12,1113.96,1173.90,2035.94,1775.25,1792.34,1474.76,2125.14,1382.43,1289.45
1903,1746.00,1964.13,1916.61,1191.33,1408.71,2182.90,1419.61,1965.50,1844.78,1828.10,1762.75,1855.97,1099.76,2070.36,2131.50,1888.15,1876.70,1824.10,1224.21,1571.12,1423.10,1486.45,2154.09,1510.32,1527.72,1935.77,1551.91,1544.67,1784.26,2105.17,2009.46,1811.25,1273.59,1872.43,1625.59,1896.84,1624.46,1852.75,1411.06,1706.70,2304.46,2162.19,1991.56,1425.38,2376.56,2064.01,1543.63,1702.27,1553.04,1308.99,1686.31,2322.04,1960.82,2024.35,1260.81,1979.68,1396.23,1428.96,2002.89,1759.85,1772.38,1513.45,2085.54,1456.20,1444.12
1904,1964.38,1992.12,1935.78,1697.01,1940.64,2205.92,1968.78,1984.78,1845.38,1840.80,1780.95,1875.18,1570.32,2096.45,2131.50,1901.41,1899.49,1830.18,1616.04,2165.08,1985.12,2061.76,2464.01,2077.99,2092.50,1945.52,2155.77,2124.80,1798.34,2132.31,2010.31,1834.07,1777.99,1888.10,2237.44,2413.49,2240.17,1872.37,1968.06,1713.33,2375.02,2162.19,1991.56,1935.20,2376.80,2089.59,2025.91,1720.00,2140.28,1842.98,2301.81,2322.04,1976.78,2045.89,1754.23,1999.01,1952.35,1923.81,2027.16,1777.80,1796.30,1733.50,2109.95,1637.70,1772.17
1905,1742.54,2000.29,1943.33,1309.98,1582.69,2216.82,1550.99,1993.27,1845.54,1845.31,1785.32,1882.15,1232.36,2103.37,2131.50,1907.35,1907.21,1831.19,1259.88,1656.41,1498.91,1547.40,1961.49,1663.68,1757.36,1951.64,1540.89,1674.43,1801.31,2140.69,2010.47,1839.63,1458.41,1894.55,1744.35,1611.69,1665.98,1877.34,1423.72,1714.39,2263.94,2162.19,1991.56,1697.92,2376.47,2100.40,1417.10,1724.41,1714.08,1419.69,1560.64,2322.04,1984.89,2056.55,1321.68,2007.91,1459.24,1403.14,2036.32,1780.89,1800.95,1376.08,2120.42,1369.10,1391.60
1906,1718.50,2057.78,2031.38,1151.00,1379.20,2350.60,1371.59,2088.72,1846.80,1869.47,1804.84,1965.35,1063.99,2197.04,2131.50,1962.57,1963.47,1841.83,1090.31,1493.03,1354.36,1411.89,2021.80,1462.37,1506.32,2001.74,1455.33,1485.75,1833.47,2226.29,2012.01,1885.88,1264.80,1939.18,1551.38,1730.57,1523.71,1935.59,1339.46,1728.10,2269.95,2162.19,1991.56,1442.32,2376.42,2233.23,1427.55,1731.05,1506.20,1263.87,1537.93,2322.04,2066.22,2186.89,1193.96,2097.43,1329.20,1333.02,2119.51,1808.84,1829.79,1258.53,2238.68,1116.78,1211.31
1907,1748.90,2003.41,1956.40,1208.76,1368.32,2233.05,1357.96,2003.85,1846.13,1840.58,1785.05,1896.40,1137.17,2130.57,2131.50,1908.60,1907.16,1836.18,1254.69,1515.79,1351.74,1423.74,2158.38,1464.37,1543.21,1945.50,1496.19,1491.95,1812.30,2154.83,2011.02,1849.41,1263.92,1889.69,1633.84,1787.00,1590.87,1893.25,1393.52,1721.29,2325.90,2162.19,1991.56,1455.32,2376.84,2119.29,1538.63,1717.75,1557.70,1280.06,1616.41,2322.04,1987.39,2071.38,1280.86,2012.59,1338.53,1452.23,2040.89,1793.18,1809.82,1489.93,2133.06,1432.83,1430.17
1908,1973.45,2169.83,2138.93,1587.03,1865.79,2491.90,1890.58,2197.44,1849.94,1913.89,1867.97,2071.83,1449.04,2340.45,2131.50,2027.28,2056.34,1869.32,1521.83,2110.32,1913.13,1987.50,2403.29,2017.15,2047.23,2046.91,2064.53,2067.17,1899.69,2357.74,2015.72,1983.59,1691.43,2001.04,2216.65,2234.62,2202.74,2034.18,1866.08,1760.28,2378.99,2162.19,1991.56,1880.49,2377.01,2384.29,1870.63,1781.63,2101.92,1750.41,2213.15,2322.04,2151.41,2321.07,1651.33,2198.30,1872.66,1803.91,2232.45,1886.30,1922.54,1628.92,2374.28,1570.83,1689.07
1909,1975.21,2145.09,2096.27,1545.99,1657.27,2429.59,1727.03,2153.57,1849.01,1907.34,1860.31,2030.31,1397.53,2286.67,2131.50,2004.85,2034.16,1861.99,1587.02,1914.64,1828.33,1888.01,2403.28,1784.63,1747.66,2031.22,2035.10,1843.07,1880.05,2315.25,2014.76,1959.17,1515.82,1986.53,1948.83,2330.65,2007.23,2001.26,1920.36,1750.50,2357.91,2162.19,1991.56,1585.87,2376.71,2320.58,2060.89,1782.99,1835.44,1675.16,2190.54,2322.04,2118.13,2260.85,1690.52,2160.41,1831.49,1944.54,2196.97,1867.44,1905.38,1887.19,2320.16,1801.72,1845.27
1910,1887.55,2162.61,2074.82,1390.24,1498.80,2393.22,1545.18,2133.37,1848.58,1924.99,1881.47,2009.04,1269.44,2253.02,2131.50,2003.35,2048.78,1860.21,1446.05,1719.27,1617.83,1675.08,2308.42,1614.25,1618.93,2036.92,1791.28,1662.09,1873.90,2305.34,2014.71,1963.22,1372.03,2001.38,1786.08,2077.99,1809.67,1987.10,1687.72,1745.59,2353.67,2162.19,1991.56,1479.65,2376.88,2284.66,1818.82,1817.44,1686.67,1494.09,1931.09,2322.04,2109.72,2225.34,1510.99,2151.08,1616.19,1722.99,2197.54,1866.88,1918.59,1699.46,2296.86,1643.37,1661.28
