Variable:,pr
,Zimbabwe,Bulawayo,Harare,Manicaland,"Mashonaland Central","Mashonaland West",Masvingo,"Matabeleland South",Midlands,"Matabeleland North","Mashonaland East"
1901,836.85,764.92,1046.73,1130.99,923.54,875.89,780.81,619.33,854.60,768.60,962.31
1902,655.70,563.65,871.66,882.83,756.03,741.48,589.51,451.48,646.89,600.45,764.34
1903,549.50,507.72,647.02,758.28,543.86,528.94,543.03,412.80,559.37,536.68,615.67
1904,694.97,553.72,908.61,1042.12,789.66,753.54,648.01,454.84,675.70,614.76,827.20
1905,508.35,360.80,702.62,703.47,602.73,605.45,467.72,302.99,526.72,426.28,617.83
1906,682.03,727.26,723.41,907.20,609.70,605.89,664.53,583.21,711.92,709.96,717.25
1907,849.11,666.71,1080.42,1328.61,940.20,876.18,823.43,551.56,822.20,730.98,1055.51
1908,592.99,478.01,785.96,720.46,702.67,656.11,484.92,379.68,576.57,646.33,688.60
1909,671.27,676.70,743.73,813.37,623.56,684.68,595.89,533.65,721.53,731.07,677.97
1910,646.99,555.16,798.72,859.11,687.00,716.00,573.47,457.79,650.88,648.60,690.15
1911,720.15,618.96,812.17,1055.85,745.99,714.27,712.55,513.65,717.74,682.78,790.87
1912,482.53,288.73,733.36,633.24,719.38,619.35,403.72,243.98,460.60,394.60,642.49
1913,559.26,448.74,713.47,799.96,609.82,618.64,557.87,385.59,574.45,466.81,631.07
1914,741.13,660.99,804.39,965.27,742.89,734.25,752.15,549.36,776.23,745.78,744.70
1915,732.43,668.11,905.87,940.66,746.04,710.49,734.50,560.49,761.71,705.91,830.51
1916,576.50,446.34,803.52,785.05,741.04,657.66,523.74,349.19,583.51,500.09,698.98
1917,665.98,531.67,789.20,1088.74,730.10,634.29,662.08,436.56,617.17,624.87,764.42
1918,912.45,761.39,1062.18,1362.16,933.32,917.39,973.16,621.34,941.88,776.28,1049.37
1919,731.82,643.14,870.09,946.77,806.68,785.43,600.68,499.53,766.27,764.83,822.89
1920,701.09,631.26,856.46,919.73,805.23,756.81,608.50,501.03,690.57,697.46,790.67
1921,822.24,779.23,1028.52,921.37,864.62,895.54,724.45,599.52,937.55,810.37,940.42
1922,398.12,306.04,590.69,518.61,498.12,474.18,317.86,255.39,342.57,408.20,480.26
1923,823.92,664.01,1086.70,1208.28,952.27,869.63,774.91,565.88,801.96,729.39,978.42
1924,653.54,736.51,628.51,873.69,503.02,582.83,687.98,579.29,704.30,651.57,660.48
1925,957.01,784.68,1210.27,1414.32,1004.70,955.80,873.97,656.30,945.18,939.67,1121.15
1926,829.74,673.64,1048.13,1113.04,1073.16,1007.31,676.17,539.63,794.96,757.72,966.56
1927,557.72,396.75,698.16,844.98,624.28,623.07,511.05,333.93,566.86,492.39,664.44
1928,614.58,544.61,722.87,974.62,666.85,611.05,600.61,428.72,596.69,546.06,703.21
1929,848.95,767.58,988.09,1293.06,872.62,848.19,792.19,616.53,860.58,778.14,978.58
1930,651.68,630.41,737.59,796.83,619.49,628.80,628.08,507.37,678.30,706.67,674.32
1931,556.13,431.48,833.61,813.89,713.05,646.42,461.86,342.51,524.26,489.08,700.50
1932,774.62,649.41,957.98,1045.38,819.57,796.80,683.43,540.55,777.31,797.77,892.35
1933,582.57,473.21,776.15,752.40,662.04,653.30,580.87,397.12,580.63,507.16,693.41
