Variable:,tas
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1901,9.38,10.86,10.65,9.28,6.81,11.28,9.35,10.88,6.78,11.62,9.48,9.08,12.58,10.41,9.97,10.53
1902,8.84,10.55,10.15,8.87,5.92,10.80,8.99,10.50,5.96,11.17,9.10,8.27,12.42,10.28,9.36,10.18
1903,8.66,10.12,10.09,8.43,6.09,10.67,8.53,10.15,6.03,10.92,8.68,8.43,12.04,9.86,9.37,9.75
1904,8.89,10.02,10.52,8.52,6.59,11.10,8.77,10.37,6.32,11.28,8.98,8.98,11.95,9.80,9.88,10.08
1905,8.49,9.88,10.21,8.22,5.97,10.77,8.46,10.08,5.21,10.96,8.64,8.56,12.16,10.20,9.52,9.74
1906,8.70,10.33,10.27,8.67,6.14,10.87,8.84,10.40,5.07,11.20,9.01,8.79,12.23,10.10,9.64,10.09
1907,8.17,9.67,9.66,7.97,5.62,10.23,8.10,9.61,5.13,10.47,8.27,8.02,11.87,9.84,8.94,9.36
1908,8.45,9.91,10.11,8.32,5.88,10.70,8.53,10.05,5.13,10.98,8.71,8.45,11.92,9.82,9.40,9.80
1909,8.32,9.84,9.95,8.24,5.80,10.50,8.39,9.80,5.01,10.75,8.46,8.35,11.74,9.58,9.27,9.58
1910,8.51,9.68,10.06,8.13,6.16,10.69,8.29,10.05,5.96,10.96,8.57,8.49,11.74,9.69,9.38,9.66
1911,8.41,9.56,9.93,7.96,6.11,10.56,8.16,9.84,5.93,10.79,8.37,8.38,11.68,9.72,9.24,9.48
1912,8.97,10.27,10.49,8.74,6.46,11.15,8.97,10.77,6.07,11.59,9.23,8.95,12.20,10.20,9.80,10.25
1913,9.16,10.48,10.87,9.25,6.50,11.60,9.63,11.35,5.62,12.14,9.88,9.23,12.10,10.01,10.14,10.89
1914,8.64,10.26,10.02,8.65,5.93,10.69,8.80,10.24,5.40,11.00,8.86,8.39,12.20,10.23,9.31,10.01
1915,8.79,10.41,10.15,8.77,6.01,10.83,8.93,10.45,5.60,11.18,9.10,8.45,12.50,10.61,9.41,10.22
1916,8.80,9.99,10.23,8.60,6.43,10.86,8.71,10.36,6.34,11.13,8.94,8.79,11.66,9.57,9.57,9.98
1917,8.86,9.43,10.78,8.33,6.96,11.37,8.64,10.71,6.52,11.60,9.05,9.43,11.13,9.01,10.18,10.02
1918,8.60,9.71,10.21,8.24,6.19,10.90,8.42,10.42,5.87,11.25,8.84,8.65,11.88,9.94,9.51,9.82
1919,9.09,10.48,10.49,8.86,6.52,11.18,8.92,10.72,6.28,11.52,9.25,8.95,12.57,10.64,9.80,10.26
1920,8.98,10.31,10.32,8.83,6.40,11.04,8.98,10.70,6.27,11.45,9.28,8.80,12.27,10.33,9.64,10.31
1921,8.51,9.68,9.93,7.94,6.15,10.57,8.10,10.00,6.20,10.83,8.46,8.41,12.05,10.18,9.26,9.52
1922,8.62,9.70,10.15,7.95,6.44,10.77,8.00,10.11,6.24,11.00,8.44,8.78,12.07,10.21,9.53,9.45
1923,8.41,9.93,9.81,8.20,5.82,10.51,8.24,10.02,5.33,10.81,8.53,8.26,12.15,10.29,9.12,9.55
1924,8.73,9.90,10.18,8.12,6.47,10.79,8.27,10.16,6.37,11.01,8.63,8.76,12.18,10.31,9.53,9.67
1925,8.72,10.24,10.03,8.83,5.83,10.77,9.01,10.43,5.71,11.14,9.19,8.16,12.34,10.41,9.21,10.35
1926,8.89,10.58,10.20,9.03,5.83,10.99,9.19,10.73,5.56,11.42,9.42,8.29,12.87,11.05,9.35,10.53
1927,8.80,9.94,10.29,8.55,6.22,11.00,8.81,10.64,6.01,11.38,9.18,8.58,12.37,10.57,9.53,10.22
1928,8.45,9.78,9.79,7.85,5.99,10.40,7.93,9.85,5.96,10.61,8.37,8.25,12.52,10.81,9.12,9.37
1929,8.86,10.18,10.20,8.77,6.19,10.88,9.03,10.58,5.99,11.25,9.24,8.56,12.41,10.54,9.47,10.33
1930,8.86,10.30,10.37,8.68,6.21,11.05,8.92,10.59,5.75,11.32,9.18,8.71,12.43,10.55,9.64,10.27
1931,8.33,9.50,10.02,7.49,6.07,10.58,7.98,9.86,5.64,10.70,8.37,8.39,12.09,10.36,9.33,9.46
1932,8.77,10.18,10.43,8.59,6.21,11.03,8.88,10.64,5.30,11.35,9.27,8.79,12.36,10.53,9.73,10.34
1933,8.51,9.89,9.93,8.50,5.78,10.59,8.79,10.36,5.35,11.02,9.02,8.27,12.09,10.25,9.22,10.15
