Variable:,tas
,"New Caledonia","Administrative unit not available"
1901,22.31,22.45
1902,21.59,21.73
1903,22.34,22.48
1904,21.32,21.46
1905,21.55,21.69
1906,21.95,22.09
1907,22.43,22.57
1908,21.93,22.07
1909,22.59,22.73
1910,23.30,23.44
1911,21.85,21.99
1912,21.85,21.99
1913,21.85,21.99
1914,21.85,21.99
1915,22.16,22.30
1916,22.16,22.30
1917,21.98,22.12
1918,21.86,21.99
1919,21.84,21.97
1920,21.93,22.07
1921,21.96,22.10
1922,21.94,22.08
1923,21.85,21.99
1924,21.85,21.99
1925,21.85,21.99
1926,21.85,21.99
1927,21.95,22.09
1928,21.85,21.99
1929,22.02,22.16
1930,21.85,21.99
1931,22.01,22.15
1932,21.97,22.11
1933,22.05,22.19
1934,21.88,22.01
1935,21.93,22.07
1936,21.85,21.99
1937,21.85,21.99
1938,22.02,22.16
1939,21.82,21.96
1940,21.56,21.70
1941,22.14,22.28
1942,22.72,22.86
1943,22.16,22.29
1944,22.01,22.15
1945,21.66,21.79
1946,22.42,22.56
1947,22.29,22.43
1948,22.34,22.48
1949,22.26,22.40
1950,22.39,22.53
1951,21.61,21.75
1952,21.95,22.09
1953,21.65,21.79
1954,21.57,21.70
1955,21.74,21.88
1956,21.79,21.93
1957,21.43,21.57
1958,21.86,21.99
1959,21.61,21.75
1960,21.57,21.71
1961,21.84,21.98
1962,21.94,22.07
1963,21.67,21.81
1964,22.07,22.21
1965,21.11,21.25
1966,21.18,21.32
1967,21.87,22.01
1968,21.37,21.51
1969,21.68,21.81
1970,22.16,22.30
1971,21.80,21.93
1972,21.52,21.66
1973,22.50,22.63
1974,21.88,22.02
1975,22.04,22.18
1976,21.88,22.02
1977,21.64,21.78
1978,21.78,21.92
1979,21.75,21.89
1980,21.91,22.05
1981,21.98,22.12
1982,21.57,21.71
1983,22.03,22.16
1984,22.03,22.17
1985,21.96,22.10
1986,21.86,22.00
1987,21.85,21.99
1988,22.63,22.76
1989,22.13,22.27
1990,22.28,22.42
1991,21.85,21.98
1992,21.82,21.96
1993,21.70,21.83
1994,21.61,21.75
1995,22.49,22.62
1996,22.44,22.57
1997,21.88,22.02
1998,22.94,23.08
1999,22.44,22.58
2000,22.14,22.28
2001,22.34,22.48
2002,22.28,22.41
2003,22.14,22.27
2004,22.26,22.40
2005,22.24,22.38
2006,21.98,22.12
2007,22.47,22.61
2008,22.34,22.47
2009,22.26,22.40
2010,22.60,22.74
2011,22.30,22.44
2012,22.02,22.16
2013,22.02,22.16
2014,22.03,22.17
2015,22.15,22.29
2016,22.84,22.98
2017,22.70,22.84
2018,22.31,22.45
2019,22.23,22.37
2020,22.74,22.87
