Variable:,tas
,Vietnam,"An Giang","Ba Ria-Vung Tau","Bac Kan","Bac Giang","Bac Lieu","Bac Ninh","Ben Tre","Binh Dinh","Binh Duong","Binh Phuoc","Binh Thuan","Cao Bang","Ca Mau","Da Nang City","Dong Nai","Dong Thap","Gia Lai","Ha Giang","Ha Nam","Ha Noi City","Ha Tay","Ha Tinh","Hai Duong","Hai Phong City","Ho Chi Minh City","Hoa Binh","Hung Yen","Khanh Hoa","Kien Giang","Kon Tum","Lam Dong","Lang Son","Long An","Nam Dinh","Nghe An","Ninh Binh","Ninh Thuan","Phu Tho","Phu Yen","Quang Binh","Quang Nam","Quang Ngai","Quang Ninh","Quang Tri","Soc Trang","Son La","Tay Ninh","Thai Binh","Thai Nguyen","Thanh Hoa","Thua Thien - Hue","Tien Giang","Tra Vinh","Tuyen Quang","Vinh Long","Vinh Phuc","Yen Bai","Can Tho city","Dak Lak","Dak Nong","Dien Bien","Hau Giang","Lai Chau","Lao Cai"
1901,24.17,27.54,26.74,22.10,23.22,27.50,23.82,27.55,24.76,27.13,26.34,25.60,21.06,27.36,24.66,26.70,27.58,23.89,21.73,23.93,24.29,24.15,24.46,23.77,23.91,27.35,23.23,23.83,24.32,27.44,22.11,23.26,22.04,27.56,24.29,23.61,24.19,24.18,24.39,25.30,24.08,23.13,24.36,22.83,23.99,27.51,22.79,27.36,24.10,23.56,24.09,23.82,27.60,27.51,23.94,27.62,24.45,23.58,27.53,24.15,23.99,22.15,27.57,21.67,23.55
1902,24.23,27.55,26.76,22.31,23.48,27.50,24.03,27.55,24.80,27.13,26.35,25.60,21.32,27.37,24.75,26.71,27.59,23.91,21.83,24.06,24.44,24.28,24.55,23.96,24.17,27.37,23.31,23.98,24.33,27.45,22.13,23.27,22.35,27.57,24.43,23.68,24.29,24.17,24.48,25.32,24.18,23.20,24.42,23.21,24.08,27.52,22.82,27.37,24.27,23.76,24.19,23.91,27.60,27.51,24.07,27.62,24.59,23.64,27.54,24.16,24.00,22.09,27.58,21.62,23.57
1903,24.06,27.35,26.63,21.99,23.08,27.36,23.71,27.41,24.70,26.98,26.20,25.51,20.94,27.21,24.55,26.58,27.40,23.79,21.67,23.83,24.20,24.07,24.29,23.65,23.76,27.22,23.15,23.71,24.27,27.25,21.99,23.17,21.89,27.40,24.17,23.43,24.09,24.11,24.33,25.23,23.93,23.02,24.28,22.66,23.85,27.38,22.68,27.18,23.97,23.46,23.99,23.69,27.45,27.39,23.87,27.46,24.37,23.53,27.36,24.06,23.86,22.03,27.43,21.60,23.52
1904,23.99,27.15,26.53,21.99,23.07,27.20,23.69,27.28,24.65,26.82,26.05,25.44,20.95,27.05,24.51,26.45,27.21,23.70,21.68,23.81,24.17,24.04,24.23,23.63,23.76,27.08,23.13,23.69,24.21,27.07,21.89,23.08,21.89,27.25,24.15,23.39,24.07,24.04,24.30,25.19,23.85,22.94,24.22,22.66,23.77,27.24,22.67,27.00,23.95,23.45,23.96,23.63,27.30,27.25,23.85,27.30,24.34,23.51,27.18,23.96,23.76,21.98,27.26,21.56,23.51
1905,24.43,28.28,27.17,22.03,23.17,28.08,23.81,28.07,24.95,27.71,26.92,25.94,20.95,27.96,24.83,27.18,28.27,24.26,21.69,23.97,24.31,24.19,24.82,23.77,23.88,27.89,23.31,23.84,24.54,28.16,22.50,23.63,21.93,28.19,24.34,23.93,24.26,24.40,24.44,25.52,24.46,23.40,24.53,22.71,24.34,28.06,22.92,28.03,24.12,23.54,24.24,24.10,28.15,28.01,23.93,28.22,24.47,23.64,28.20,24.54,24.46,22.22,28.17,21.67,23.56
1906,24.44,28.28,27.16,22.06,23.23,28.07,23.86,28.08,24.96,27.72,26.92,25.93,20.99,27.96,24.85,27.18,28.27,24.26,21.72,24.01,24.34,24.23,24.81,23.81,23.93,27.89,23.33,23.88,24.55,28.16,22.49,23.61,21.99,28.19,24.37,23.95,24.29,24.39,24.47,25.52,24.46,23.41,24.54,22.78,24.35,28.05,22.93,28.03,24.15,23.58,24.26,24.11,28.16,28.00,23.96,28.22,24.50,23.65,28.20,24.54,24.45,22.24,28.18,21.70,23.58
1907,24.10,27.35,26.64,22.10,23.23,27.36,23.83,27.43,24.71,26.98,26.20,25.52,21.06,27.21,24.61,26.59,27.40,23.81,21.73,23.91,24.28,24.14,24.36,23.77,23.91,27.23,23.21,23.81,24.27,27.25,22.00,23.18,22.06,27.41,24.25,23.51,24.15,24.11,24.37,25.25,23.99,23.05,24.31,22.86,23.91,27.39,22.73,27.18,24.08,23.56,24.05,23.76,27.46,27.41,23.93,27.47,24.44,23.56,27.36,24.07,23.88,22.04,27.42,21.60,23.54
1908,24.11,27.42,26.67,22.04,23.14,27.41,23.76,27.47,24.72,27.04,26.25,25.55,20.99,27.27,24.59,26.63,27.47,23.83,21.70,23.87,24.23,24.11,24.37,23.69,23.81,27.27,23.19,23.75,24.28,27.32,22.03,23.20,21.96,27.46,24.21,23.52,24.13,24.13,24.36,25.26,24.00,23.06,24.31,22.74,23.92,27.44,22.74,27.24,24.01,23.51,24.05,23.75,27.51,27.44,23.91,27.52,24.40,23.56,27.43,24.09,23.91,22.07,27.48,21.62,23.54
1909,24.16,27.43,26.69,22.19,23.32,27.42,23.90,27.49,24.75,27.04,26.27,25.56,21.16,27.28,24.66,26.64,27.48,23.86,21.78,23.97,24.34,24.18,24.44,23.84,24.01,27.28,23.25,23.88,24.31,27.34,22.07,23.22,22.16,27.48,24.33,23.58,24.22,24.15,24.42,25.28,24.07,23.12,24.35,22.99,23.98,27.45,22.77,27.26,24.16,23.64,24.10,23.82,27.52,27.46,23.98,27.53,24.50,23.61,27.43,24.11,23.94,22.10,27.48,21.65,23.56
1910,24.07,27.33,26.62,22.07,23.18,27.32,23.79,27.40,24.70,26.96,26.17,25.50,21.02,27.18,24.59,26.56,27.38,23.78,21.71,23.88,24.25,24.11,24.32,23.72,23.86,27.19,23.18,23.77,24.28,27.23,21.98,23.16,22.00,27.38,24.23,23.47,24.13,24.12,24.35,25.24,23.95,23.03,24.30,22.79,23.87,27.35,22.71,27.16,24.04,23.52,24.03,23.73,27.43,27.36,23.91,27.44,24.42,23.54,27.34,24.04,23.86,22.03,27.38,21.60,23.53
