Variable:,tasmax
,Angola,Bengo,Benguela,Bie,Cabinda,"Cuando Cubango","Cuanza Sul",Cunene,Huambo,Huila,"Kuanza Norte",Luanda,"Lunda Norte","Lunda Sul",Malanje,Moxico,Namibe,Uige,Zaire
1901,28.23,28.05,25.74,27.17,28.39,29.45,25.78,28.91,25.31,26.75,27.43,28.33,29.43,29.58,28.79,29.37,24.30,27.80,27.90
1902,28.27,28.12,25.79,27.22,28.45,29.47,25.84,28.93,25.36,26.79,27.49,28.39,29.47,29.61,28.85,29.39,24.34,27.86,27.96
1903,28.28,28.13,25.80,27.22,28.57,29.49,25.85,28.93,25.37,26.79,27.50,28.40,29.48,29.61,28.86,29.39,24.34,27.88,28.02
1904,28.18,28.01,25.69,27.13,28.33,29.34,25.73,28.90,25.26,26.72,27.37,28.28,29.40,29.56,28.75,29.33,24.28,27.75,27.85
1905,28.24,28.06,25.73,27.16,28.60,29.45,25.77,28.91,25.30,26.74,27.42,28.33,29.43,29.58,28.78,29.37,24.30,27.83,28.01
1906,28.12,27.88,25.56,27.03,28.48,29.32,25.59,28.86,25.14,26.63,27.24,28.14,29.32,29.51,28.62,29.31,24.20,27.67,27.87
1907,28.13,27.92,25.60,27.06,28.53,29.27,25.63,28.87,25.18,26.65,27.28,28.18,29.35,29.52,28.66,29.30,24.23,27.71,27.91
1908,28.20,28.01,25.70,27.14,28.28,29.42,25.73,28.90,25.27,26.72,27.38,28.28,29.41,29.57,28.75,29.36,24.28,27.75,27.83
1909,28.22,28.06,25.73,27.16,28.67,29.36,25.77,28.91,25.30,26.74,27.42,28.32,29.43,29.58,28.78,29.35,24.30,27.84,28.04
1910,28.26,28.16,25.83,27.25,28.42,29.33,25.88,28.94,25.40,26.82,27.53,28.43,29.50,29.62,28.89,29.35,24.36,27.88,27.96
1911,28.32,28.28,25.93,27.33,28.67,29.35,26.00,28.98,25.50,26.88,27.65,28.54,29.57,29.67,28.99,29.38,24.42,28.01,28.14
1912,28.27,28.12,25.78,27.20,28.76,29.45,25.82,28.93,25.35,26.78,27.47,28.38,29.46,29.60,28.84,29.38,24.33,27.91,28.13
1913,28.28,28.13,25.81,27.23,28.40,29.49,25.86,28.93,25.38,26.80,27.51,28.40,29.48,29.61,28.87,29.40,24.35,27.87,27.94
1914,28.20,27.98,25.65,27.10,28.58,29.48,25.69,28.89,25.23,26.69,27.34,28.24,29.38,29.55,28.71,29.37,24.26,27.76,27.96
1915,28.22,28.04,25.73,27.16,28.40,29.40,25.77,28.91,25.30,26.74,27.42,28.31,29.43,29.58,28.78,29.36,24.30,27.78,27.88
1916,28.19,27.97,25.67,27.11,28.34,29.43,25.71,28.89,25.24,26.70,27.35,28.24,29.39,29.55,28.72,29.36,24.26,27.72,27.82
1917,28.24,28.07,25.76,27.19,28.43,29.43,25.80,28.92,25.33,26.76,27.45,28.34,29.45,29.59,28.81,29.37,24.32,27.82,27.92
1918,28.04,28.04,25.73,27.12,28.41,28.85,25.77,28.85,25.30,26.74,27.42,28.31,29.43,29.48,28.78,28.89,24.30,27.78,27.89
1919,28.10,28.02,25.71,27.13,28.39,29.06,25.75,28.87,25.28,26.73,27.40,28.29,29.42,29.52,28.77,29.06,24.29,27.77,27.87
