Variable:,tasmax
,Armenia,Aragatsotn,Ararat,Armavir,Gergharkunik,Kotayk,Lori,Shirak,Syunik,Tavush,"Vayots Dzor",Yerevan
1901,12.99,13.68,15.58,15.14,11.20,12.39,12.08,11.51,13.71,13.50,14.05,14.07
1902,12.07,12.66,14.65,14.10,10.34,11.46,11.10,10.45,12.87,12.61,13.20,13.10
1903,12.11,12.70,14.70,14.14,10.37,11.51,11.17,10.47,12.91,12.66,13.23,13.15
1904,11.57,12.21,14.15,13.64,9.79,11.03,10.69,10.00,12.29,12.15,12.63,12.66
1905,11.77,12.48,14.34,13.91,9.94,11.23,10.98,10.30,12.40,12.39,12.72,12.88
1906,12.39,13.06,14.99,14.50,10.59,11.83,11.52,10.86,13.07,13.00,13.40,13.48
1907,11.25,11.87,13.82,13.31,9.48,10.68,10.37,9.70,11.99,11.82,12.32,12.30
1908,11.07,11.80,13.71,13.25,9.22,10.55,10.25,9.64,11.70,11.60,12.08,12.20
1909,11.69,12.44,14.23,13.86,9.86,11.14,10.97,10.34,12.19,12.35,12.60,12.78
1910,11.76,12.53,14.32,13.98,9.92,11.22,11.01,10.39,12.27,12.38,12.67,12.87
1911,10.14,10.90,12.70,12.35,8.30,9.59,9.36,8.75,10.71,10.74,11.09,11.25
1912,12.36,13.05,14.95,14.50,10.56,11.83,11.50,10.89,13.02,12.91,13.35,13.48
1913,12.19,12.84,14.78,14.28,10.41,11.59,11.29,10.65,12.94,12.75,13.27,13.24
1914,12.45,13.05,15.05,14.47,10.69,11.89,11.57,10.84,13.17,13.05,13.52,13.51
1915,12.79,13.41,15.37,14.84,11.01,12.22,11.92,11.24,13.50,13.39,13.83,13.85
1916,12.47,13.15,15.07,14.58,10.68,11.93,11.63,10.96,13.12,13.10,13.47,13.58
1917,13.14,13.71,15.73,15.13,11.42,12.58,12.21,11.49,13.92,13.75,14.25,14.20
1918,12.20,12.89,14.73,14.31,10.40,11.67,11.41,10.75,12.80,12.84,13.16,13.30
1919,12.15,12.78,14.69,14.21,10.37,11.56,11.30,10.61,12.87,12.76,13.17,13.18
1920,10.77,11.38,13.32,12.82,9.01,10.19,9.90,9.24,11.49,11.39,11.82,11.80
1921,11.30,11.88,13.86,13.30,9.55,10.69,10.43,9.72,12.06,11.93,12.37,12.30
1922,12.96,13.56,15.55,14.98,11.21,12.39,12.08,11.37,13.70,13.59,14.01,14.01
1923,12.80,13.50,15.38,14.93,10.97,12.26,12.01,11.33,13.41,13.45,13.73,13.90
1924,12.47,13.11,15.04,14.54,10.69,11.95,11.64,10.92,13.12,13.13,13.47,13.56
1925,13.12,13.66,15.70,15.09,11.39,12.56,12.20,11.45,13.91,13.73,14.22,14.15
1926,12.37,13.04,14.98,14.47,10.58,11.85,11.55,10.85,12.99,12.97,13.36,13.47
1927,12.14,12.81,14.71,14.24,10.36,11.58,11.33,10.65,12.78,12.76,13.15,13.22
1928,10.99,11.67,13.57,13.10,9.20,10.41,10.19,9.53,11.61,11.60,12.02,12.05
1929,11.60,12.25,14.18,13.70,9.82,11.01,10.74,10.07,12.33,12.18,12.64,12.64
1930,12.95,13.66,15.54,15.12,11.12,12.35,12.09,11.51,13.65,13.50,13.96,14.03
1931,11.39,12.08,13.99,13.53,9.60,10.82,10.52,9.90,12.08,11.93,12.40,12.46
1932,11.69,12.35,14.28,13.82,9.91,11.07,10.80,10.17,12.43,12.26,12.74,12.70
1933,11.20,11.74,13.84,13.15,9.46,10.57,10.27,9.56,12.05,11.77,12.34,12.18
1934,11.76,12.34,14.34,13.75,9.97,11.19,10.94,10.23,12.50,12.37,12.80,12.79
1935,13.04,13.64,15.55,15.06,11.27,12.44,12.18,11.49,13.80,13.66,14.08,14.05
1936,12.47,13.11,15.03,14.54,10.69,11.88,11.61,10.93,13.23,13.03,13.51,13.54
1937,13.10,13.81,15.67,15.25,11.28,12.54,12.27,11.67,13.77,13.67,14.07,14.21
