Variable:,tasmax
,Burundi,Bubanza,"Bujumbura Mairie","Bujumbura Rural",Bururi,Cankuzo,Cibitoke,Gitega,Karuzi,Kayanza,Kirundo,Makamba,Muramvya,Muyinga,Mwaro,Ngozi,Rutana,Ruyigi
1901,26.37,27.65,28.36,26.95,25.67,26.88,25.74,25.01,26.27,25.26,26.89,27.14,25.10,26.92,24.60,25.84,26.96,26.87
1902,26.36,27.65,28.37,26.96,25.67,26.88,25.75,25.00,26.22,25.27,26.87,27.13,25.08,26.89,24.59,25.85,26.95,26.84
1903,26.38,27.64,28.35,26.96,25.69,26.91,25.72,25.03,26.28,25.27,26.89,27.17,25.12,26.92,24.62,25.84,26.99,26.89
1904,26.09,27.45,28.18,26.77,25.47,26.51,25.52,24.75,25.93,24.99,26.51,26.95,24.83,26.54,24.34,25.54,26.70,26.55
1905,25.60,26.99,27.72,26.29,24.95,26.02,25.12,24.24,25.44,24.53,26.11,26.39,24.35,26.12,23.84,25.10,26.16,26.03
1906,25.26,26.67,27.40,25.97,24.63,25.66,24.81,23.89,25.08,24.18,25.73,26.06,23.99,25.73,23.50,24.73,25.80,25.67
1907,25.63,26.94,27.66,26.25,24.97,26.13,25.05,24.27,25.49,24.53,26.11,26.46,24.35,26.13,23.86,25.10,26.25,26.12
1908,26.10,27.39,28.11,26.70,25.40,26.61,25.49,24.74,25.98,25.00,26.61,26.87,24.83,26.64,24.33,25.58,26.69,26.59
1909,25.35,26.76,27.50,26.11,24.81,25.66,24.87,24.02,25.12,24.25,25.69,26.28,24.09,25.72,23.62,24.76,25.97,25.74
1910,25.35,26.79,27.53,26.12,24.81,25.64,24.88,24.02,25.10,24.25,25.69,26.27,24.10,25.71,23.63,24.76,25.94,25.72
1911,25.42,26.81,27.54,26.12,24.80,25.81,24.92,24.07,25.23,24.34,25.86,26.26,24.17,25.87,23.67,24.89,26.00,25.84
1912,25.41,26.82,27.56,26.15,24.85,25.75,24.92,24.07,25.19,24.30,25.75,26.34,24.14,25.78,23.67,24.82,26.03,25.82
1913,25.33,26.79,27.53,26.13,24.81,25.58,24.90,24.00,25.08,24.25,25.69,26.27,24.09,25.70,23.62,24.76,25.92,25.69
1914,25.56,26.97,27.70,26.29,24.97,25.89,25.07,24.21,25.35,24.48,25.95,26.45,24.31,25.97,23.82,25.00,26.13,25.95
1915,25.50,26.93,27.67,26.26,24.93,25.82,25.02,24.16,25.30,24.42,25.88,26.40,24.26,25.90,23.77,24.93,26.09,25.90
1916,25.27,26.76,27.51,26.08,24.74,25.51,24.84,23.94,25.01,24.19,25.61,26.21,24.03,25.62,23.55,24.70,25.85,25.62
