Variable:,tasmax
,Bangladesh,Barisal,Chittagong,Dhaka,Khulna,Sylhet,Rajshahi,Rangpur
1901,29.71,29.65,29.29,29.65,30.79,28.33,30.61,29.48
1902,29.63,29.56,29.18,29.56,30.74,28.21,30.54,29.40
1903,29.63,29.56,29.21,29.58,30.70,28.25,30.52,29.39
1904,29.55,29.47,29.12,29.50,30.62,28.16,30.44,29.32
1905,29.02,28.98,28.62,28.94,30.12,27.61,29.92,28.76
1906,29.56,29.52,29.16,29.49,30.64,28.16,30.45,29.33
1907,29.67,29.62,29.26,29.62,30.75,28.27,30.56,29.40
1908,30.12,30.03,29.68,30.08,31.17,28.74,31.02,29.87
1909,29.90,29.81,29.50,29.84,30.92,28.55,30.76,29.65
1910,29.53,29.46,29.12,29.47,30.59,28.17,30.42,29.27
1911,29.41,29.34,28.99,29.36,30.50,28.02,30.31,29.16
1912,29.56,29.51,29.15,29.50,30.65,28.17,30.46,29.29
1913,29.26,29.21,28.86,29.19,30.33,27.88,30.13,29.00
1914,29.62,29.55,29.19,29.57,30.70,28.21,30.53,29.36
1915,29.94,29.87,29.53,29.89,31.00,28.58,30.83,29.69
1916,29.68,29.60,29.30,29.64,30.68,28.37,30.52,29.40
1917,29.40,29.36,29.07,29.34,30.40,28.10,30.21,29.07
1918,29.38,29.31,29.00,29.32,30.41,28.04,30.26,29.12
1919,29.88,29.82,29.53,29.83,30.90,28.59,30.72,29.57
1920,29.96,29.91,29.55,29.90,31.03,28.59,30.83,29.67
1921,29.84,29.75,29.41,29.79,30.89,28.45,30.73,29.60
1922,30.05,29.99,29.67,30.01,31.08,28.72,30.91,29.76
1923,30.02,29.91,29.56,29.98,31.09,28.63,30.94,29.82
1924,30.15,30.05,29.70,30.10,31.22,28.76,31.07,29.93
1925,29.29,29.25,28.93,29.23,30.33,27.94,30.13,28.98
1926,29.81,29.77,29.45,29.75,30.84,28.45,30.67,29.51
1927,29.72,29.65,29.31,29.67,30.80,28.34,30.62,29.45
1928,30.10,30.01,29.70,30.06,31.12,28.75,30.99,29.83
1929,29.79,29.71,29.41,29.74,30.79,28.45,30.63,29.51
1930,29.77,29.70,29.41,29.72,30.78,28.41,30.63,29.49
1931,30.07,29.98,29.70,30.03,31.08,28.74,30.92,29.78
1932,30.06,29.98,29.66,30.03,31.06,28.71,30.93,29.80
1933,30.00,29.94,29.66,29.96,30.98,28.71,30.82,29.64
1934,29.96,29.88,29.58,29.93,30.96,28.64,30.81,29.65
1935,30.37,30.28,29.96,30.34,31.38,29.05,31.25,30.11
1936,29.91,29.83,29.50,29.87,30.96,28.56,30.79,29.63
1937,30.04,29.98,29.71,29.99,31.03,28.72,30.87,29.68
1938,29.91,29.78,29.46,29.88,30.90,28.59,30.80,29.71
1939,30.02,29.93,29.57,29.99,31.05,28.69,30.90,29.77
1940,29.85,29.75,29.35,29.82,30.88,28.49,30.77,29.66
1941,30.14,30.01,29.68,30.09,31.19,28.78,31.05,29.96
1942,30.26,30.08,29.77,30.23,31.24,28.98,31.18,30.16
1943,30.00,29.82,29.50,29.97,30.99,28.67,30.95,29.89
1944,30.44,30.31,30.00,30.40,31.43,29.10,31.33,30.22
1945,29.96,29.88,29.56,29.91,31.00,28.62,30.82,29.66
1946,30.35,30.21,29.91,30.30,31.35,29.04,31.24,30.14
1947,30.40,30.24,29.93,30.36,31.40,29.06,31.34,30.26
1948,29.86,29.78,29.42,29.79,30.97,28.41,30.81,29.62
1949,29.56,29.49,29.11,29.49,30.63,28.19,30.47,29.33
1950,29.98,29.90,29.51,29.92,31.05,28.58,30.92,29.76
1951,30.26,30.24,29.83,30.18,31.37,28.78,31.19,30.06
1952,30.06,30.03,29.68,29.98,31.11,28.70,30.92,29.83
1953,30.28,30.26,29.88,30.21,31.38,28.86,31.16,29.99
1954,30.25,30.21,29.75,30.22,31.39,28.78,31.20,29.97
1955,30.12,30.01,29.65,30.08,31.18,28.76,31.04,29.91
1956,29.99,29.87,29.58,29.96,30.97,28.72,30.82,29.80
1957,30.52,30.49,30.06,30.50,31.69,29.06,31.46,30.19
1958,30.90,30.79,30.41,30.84,32.08,29.47,31.84,30.66
1959,29.88,29.75,29.45,29.81,30.97,28.58,30.70,29.73
1960,30.57,30.32,30.10,30.60,31.54,29.41,31.43,30.36
1961,29.96,29.78,29.52,29.96,30.94,28.79,30.78,29.75
1962,30.32,30.15,29.86,30.34,31.34,29.12,31.21,29.99
1963,30.34,30.25,29.86,30.39,31.48,28.99,31.28,29.84
1964,30.20,30.18,29.70,30.16,31.35,28.79,31.13,29.92
1965,30.07,29.93,29.54,30.06,31.19,28.72,31.05,29.78
1966,30.36,30.21,29.78,30.33,31.51,28.99,31.40,30.15
1967,29.92,29.80,29.44,29.87,31.07,28.47,30.94,29.62
1968,29.90,29.88,29.49,29.87,31.05,28.51,30.85,29.39
1969,30.36,30.28,29.91,30.34,31.38,28.96,31.32,30.06
1970,29.98,29.91,29.42,29.96,31.10,28.52,30.99,29.82
1971,29.43,29.34,29.08,29.39,30.35,28.15,30.27,29.17
1972,30.32,30.31,29.83,30.28,31.43,28.80,31.29,30.10
1973,29.93,29.96,29.58,29.85,30.99,28.61,30.71,29.67
1974,29.72,29.62,29.20,29.66,30.73,28.33,30.62,29.72
1975,29.99,29.84,29.39,29.97,31.05,28.61,30.95,29.96
1976,30.11,30.10,29.60,29.99,31.31,28.53,31.12,30.00
1977,29.55,29.60,29.11,29.43,30.72,28.01,30.48,29.40
1978,29.88,29.90,29.58,29.82,30.95,28.50,30.68,29.46
1979,30.52,30.38,30.02,30.50,31.68,29.10,31.44,30.26
1980,30.05,29.90,29.68,29.98,31.06,28.70,30.87,29.91
1981,29.58,29.41,29.25,29.49,30.48,28.28,30.34,29.56
1982,29.99,29.89,29.55,29.90,31.09,28.54,30.90,29.85
1983,29.85,29.84,29.43,29.74,30.98,28.29,30.79,29.71
1984,30.10,30.12,29.78,29.96,31.15,28.67,30.92,29.89
1985,30.31,30.37,29.90,30.23,31.52,28.81,31.21,29.94
1986,30.27,30.48,29.98,30.16,31.47,28.84,31.09,29.76
1987,30.47,30.62,30.13,30.36,31.73,29.05,31.33,29.94
1988,30.38,30.43,30.06,30.23,31.51,28.95,31.21,30.12
1989,30.20,30.23,29.80,30.15,31.44,28.74,31.05,29.75
1990,29.80,29.66,29.40,29.72,30.84,28.49,30.68,29.58
1991,29.68,29.60,29.18,29.60,30.85,28.17,30.65,29.56
1992,29.69,29.68,29.23,29.63,30.81,28.23,30.57,29.47
1993,29.61,29.47,29.11,29.53,30.60,28.20,30.57,29.64
1994,30.03,29.94,29.58,29.98,31.10,28.64,30.94,29.86
1995,30.25,30.15,29.80,30.19,31.32,28.86,31.15,30.07
1996,30.36,30.33,29.89,30.32,31.50,28.98,31.26,30.11
1997,29.64,29.72,29.30,29.58,30.82,28.16,30.47,29.23
1998,30.42,30.34,29.98,30.34,31.47,29.03,31.32,30.30
1999,30.70,30.61,30.23,30.65,31.76,29.28,31.63,30.53
2000,29.87,29.86,29.48,29.79,30.96,28.42,30.75,29.60
2001,30.67,30.60,30.17,30.63,31.75,29.29,31.60,30.48
2002,30.32,30.31,29.88,30.24,31.48,28.82,31.26,30.08
2003,30.26,30.24,29.77,30.19,31.42,28.79,31.21,30.05
2004,30.40,30.36,29.87,30.36,31.58,28.90,31.39,30.20
2005,30.55,30.55,30.13,30.47,31.71,29.12,31.42,30.28
2006,30.99,30.88,30.41,30.96,32.10,29.60,31.96,30.88
2007,30.73,30.53,30.03,30.73,31.80,29.35,31.81,30.76
2008,30.29,30.26,29.83,30.20,31.43,28.80,31.22,30.11
2009,31.37,31.14,30.68,31.41,32.38,30.07,32.40,31.38
2010,31.11,30.96,30.54,31.07,32.20,29.68,32.13,31.05
2011,30.47,30.37,30.03,30.42,31.50,29.21,31.35,30.25
2012,30.10,29.96,29.60,30.05,31.13,28.69,31.04,30.01
2013,29.91,29.68,29.41,29.86,30.91,28.53,30.89,29.87
2014,30.18,30.10,29.81,30.08,31.20,28.84,31.02,30.04
2015,29.93,29.85,29.48,29.85,31.01,28.51,30.81,29.86
2016,30.36,30.23,29.87,30.30,31.41,28.94,31.31,30.25
2017,30.07,29.97,29.63,30.00,31.13,28.68,30.97,29.95
2018,29.87,29.77,29.42,29.81,30.93,28.45,30.77,29.70
2019,30.13,30.08,29.77,30.06,31.18,28.77,30.98,29.86
2020,29.87,29.79,29.50,29.79,30.90,28.55,30.72,29.66
