Variable:,tasmax
,"Bahamas, The","Administrative unit not available"
1901,27.97,28.66
1902,28.78,29.32
1903,28.51,29.11
1904,28.59,29.12
1905,29.03,29.56
1906,28.38,28.99
1907,29.20,29.60
1908,29.01,29.49
1909,28.78,29.30
1910,28.01,28.59
1911,29.32,29.75
1912,28.92,29.52
1913,28.76,29.31
1914,28.37,28.99
1915,28.25,28.94
1916,28.62,29.17
1917,28.55,29.05
1918,28.80,29.33
1919,28.88,29.42
1920,28.67,29.24
1921,29.41,29.80
1922,29.02,29.52
1923,28.99,29.50
1924,29.04,29.64
1925,29.20,29.70
1926,29.11,29.67
1927,29.35,29.79
1928,28.75,29.32
1929,29.22,29.75
1930,28.72,29.31
1931,28.68,29.31
1932,29.23,29.78
1933,29.28,29.81
1934,28.99,29.51
1935,28.95,29.45
1936,28.86,29.47
1937,28.95,29.54
1938,29.14,29.62
1939,29.39,29.87
1940,28.40,29.04
1941,28.90,29.50
1942,28.85,29.46
1943,28.87,29.39
1944,29.20,29.65
1945,29.21,29.61
1946,29.62,29.95
1947,29.11,29.63
1948,30.02,30.41
1949,29.81,30.07
1950,29.29,29.59
1951,29.37,29.88
1952,29.36,29.90
1953,29.43,29.92
1954,28.98,29.54
1955,29.20,29.71
1956,29.01,29.59
1957,29.41,30.12
1958,28.67,29.60
1959,29.32,30.12
1960,28.87,29.67
1961,29.28,29.94
1962,29.12,29.84
1963,28.93,29.72
1964,29.13,29.93
1965,29.42,29.99
1966,28.57,29.42
1967,29.28,29.84
1968,28.37,29.14
1969,28.58,29.44
1970,28.68,29.43
1971,29.36,29.79
1972,29.51,29.99
1973,29.11,29.75
1974,29.39,29.77
1975,29.72,30.07
1976,28.60,29.17
1977,28.75,29.38
1978,28.84,29.40
1979,28.96,29.40
1980,29.14,29.72
1981,29.05,29.58
1982,29.64,30.07
1983,28.89,29.58
1984,28.78,29.31
1985,29.18,29.62
1986,29.54,29.90
1987,29.18,29.78
1988,29.16,29.77
1989,29.86,30.19
1990,30.02,30.39
1991,29.91,30.32
1992,29.20,29.77
1993,29.48,29.96
1994,29.83,30.37
1995,29.48,30.12
1996,29.12,29.66
1997,29.61,30.20
1998,29.79,30.36
1999,29.44,29.96
2000,29.42,29.89
2001,29.30,29.83
2002,29.62,30.15
2003,29.68,30.28
2004,29.48,29.98
2005,29.43,29.95
2006,29.58,30.08
2007,29.88,30.35
2008,29.49,29.89
2009,29.75,30.16
2010,28.79,29.38
2011,29.94,30.35
2012,29.47,29.93
2013,29.60,30.14
2014,29.80,30.37
2015,30.49,31.01
2016,29.91,30.45
2017,30.14,30.62
2018,29.89,30.38
2019,30.40,30.88
2020,30.34,30.87
