Variable:,tasmax
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
1901,11.29,11.99,11.99,11.37,11.21,11.28,10.89,10.38
1902,9.05,10.07,9.92,9.11,8.85,8.92,8.63,7.82
1903,11.43,12.25,12.29,11.50,11.31,11.38,11.11,10.24
1904,9.63,10.68,10.42,9.85,9.45,9.49,9.13,8.42
1905,10.48,11.47,11.28,10.68,10.32,10.33,10.01,9.28
1906,11.14,12.02,11.94,11.28,11.00,11.02,10.72,10.00
1907,9.14,10.35,9.88,9.52,8.97,8.98,8.51,7.85
1908,9.36,10.49,10.02,9.72,9.24,9.26,8.68,8.17
1909,9.53,10.56,10.46,9.61,9.33,9.38,9.10,8.28
1910,11.50,12.46,12.19,11.79,11.41,11.43,10.99,10.34
1911,10.32,11.66,10.85,10.91,10.17,10.08,9.53,9.10
1912,9.43,10.58,10.07,9.79,9.30,9.32,8.86,8.23
1913,11.44,12.27,12.21,11.60,11.33,11.43,11.08,10.29
1914,11.01,11.85,11.68,11.26,10.88,10.93,10.58,9.94
1915,10.19,11.40,11.13,10.45,10.01,10.02,9.77,8.61
1916,10.51,11.69,11.19,10.88,10.46,10.53,9.92,9.15
1917,10.05,11.14,10.76,10.40,10.00,10.08,9.50,8.70
1918,11.10,12.20,11.84,11.44,11.05,11.04,10.59,9.72
1919,9.90,10.99,10.50,10.29,9.88,9.92,9.27,8.69
1920,11.18,12.13,11.67,11.52,11.16,11.19,10.61,10.20
1921,11.47,12.56,12.10,11.90,11.48,11.54,10.85,10.14
1922,9.63,10.41,10.55,9.63,9.42,9.46,9.43,8.46
1923,9.99,11.00,11.01,9.99,9.77,9.77,9.69,8.63
1924,9.67,10.50,10.53,9.71,9.46,9.43,9.34,8.58
1925,11.23,12.02,12.11,11.22,11.06,11.08,10.98,10.08
1926,10.27,11.36,11.11,10.46,10.06,10.06,9.83,8.97
1927,9.80,10.78,10.69,9.87,9.60,9.63,9.42,8.56
1928,9.47,10.57,10.13,9.73,9.31,9.32,8.92,8.32
1929,9.39,10.36,10.15,9.54,9.21,9.23,8.99,8.25
1930,10.92,11.97,11.69,11.14,10.71,10.72,10.46,9.72
1931,9.50,10.67,10.29,9.74,9.29,9.33,9.02,8.22
1932,11.01,11.93,11.73,11.15,10.84,10.87,10.64,9.95
1933,8.88,9.84,9.48,9.11,8.70,8.71,8.41,7.90
1934,12.23,13.17,12.96,12.40,12.09,12.09,11.78,11.11
1935,10.49,11.41,11.38,10.58,10.28,10.28,10.18,9.29
1936,11.37,12.22,12.24,11.36,11.17,11.24,11.10,10.24
1937,11.34,12.20,12.19,11.33,11.16,11.17,11.04,10.22
1938,11.76,12.44,12.61,11.68,11.59,11.63,11.59,10.71
1939,11.36,12.38,12.22,11.47,11.16,11.21,11.04,10.05
1940,8.87,9.63,9.71,8.86,8.69,8.85,8.68,7.76
1941,8.29,9.35,9.08,8.46,8.14,8.17,7.83,7.02
1942,8.69,9.99,9.34,9.07,8.59,8.68,8.06,7.34
1943,10.83,11.74,11.54,11.00,10.65,10.66,10.42,9.80
1944,11.03,11.98,11.78,11.14,10.86,10.89,10.70,9.89
1945,9.69,10.89,10.33,10.00,9.52,9.57,9.16,8.46
1946,10.47,11.64,11.35,10.62,10.24,10.28,10.10,9.10
1947,10.13,11.25,10.94,10.30,9.92,10.00,9.78,8.77
1948,11.08,12.10,11.68,11.36,10.93,10.97,10.68,9.95
1949,11.63,12.65,12.13,11.98,11.51,11.52,11.16,10.58
1950,10.63,11.83,11.36,10.94,10.45,10.53,10.10,9.31
1951,10.87,12.09,11.54,11.29,10.73,10.76,10.31,9.53
1952,9.95,10.90,10.85,10.05,9.75,9.79,9.62,8.70
1953,10.41,11.62,10.96,10.98,10.26,10.28,9.76,9.19
1954,9.82,10.67,10.56,9.96,9.67,9.76,9.50,8.69
1955,10.25,11.18,11.15,10.44,10.09,10.13,9.95,8.89
1956,8.72,9.72,9.41,8.99,8.56,8.59,8.25,7.54
1957,11.11,12.07,11.91,11.30,10.95,10.99,10.72,9.88
1958,10.16,11.24,10.94,10.42,10.00,10.05,9.69,8.85
1959,11.01,11.99,11.42,11.47,10.97,11.00,10.43,10.03
