Variable:,tasmax
,Bolivia,Pando,Beni,Chuquisaca,Cochabamba,"La Paz",Oruro,Potosi,"Santa Cruz",Tarija
1901,27.92,31.38,31.69,26.39,25.93,23.48,17.77,17.88,31.98,28.25
1902,27.82,31.37,31.64,26.27,25.82,23.43,17.63,17.72,31.82,28.14
1903,27.46,31.14,31.39,25.83,25.52,23.03,17.24,17.30,31.44,27.56
1904,27.31,31.01,31.24,25.74,25.51,22.94,17.34,17.22,31.20,27.38
1905,27.55,31.30,31.56,25.79,25.67,23.18,17.29,17.10,31.63,27.28
1906,27.56,31.17,31.42,26.08,25.59,22.99,17.26,17.33,31.65,27.89
1907,27.31,31.13,31.33,25.64,25.36,22.83,16.89,16.82,31.40,27.22
1908,27.44,31.13,31.36,25.78,25.51,23.03,17.23,17.12,31.49,27.45
1909,27.30,30.98,31.24,25.63,25.37,22.80,17.05,17.00,31.38,27.34
1910,27.37,31.05,31.32,25.62,25.38,22.79,16.95,16.84,31.61,27.21
1911,27.21,31.33,31.43,25.28,25.31,23.22,17.02,16.78,30.96,26.90
1912,27.35,31.45,31.43,25.64,25.55,23.55,17.43,17.32,30.88,27.47
1913,27.19,31.28,31.19,25.45,25.43,23.51,17.54,17.44,30.59,27.34
1914,27.28,31.46,31.38,25.45,25.47,23.57,17.40,17.25,30.77,27.26
1915,27.50,31.63,31.62,25.72,25.69,23.75,17.46,17.35,31.05,27.43
1916,26.95,30.95,31.14,25.11,25.03,22.74,16.59,16.67,30.76,26.96
1917,26.59,30.90,30.89,24.65,24.69,22.55,16.37,16.29,30.26,26.44
1918,27.24,31.65,31.55,25.27,25.32,23.48,17.07,16.88,30.82,26.84
1919,27.97,32.03,32.16,26.10,26.11,24.17,17.91,17.70,31.58,27.75
1920,27.50,31.73,31.73,25.70,25.72,23.75,17.52,17.35,30.96,27.40
1921,27.36,31.67,31.67,25.48,25.56,23.63,17.33,17.04,30.86,27.03
1922,27.33,31.73,31.60,25.47,25.53,23.73,17.39,17.12,30.74,27.02
1923,27.36,31.83,31.66,25.50,25.58,23.82,17.43,17.17,30.70,27.15
1924,27.42,31.80,31.73,25.60,25.69,23.84,17.45,17.13,30.83,27.15
