Variable:,tasmax
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
1901,30.20,29.88,30.85,29.78,30.58
1902,30.20,29.88,30.85,29.78,30.58
1903,30.20,29.88,30.84,29.73,30.58
1904,30.17,29.87,30.77,29.68,30.53
1905,30.20,29.89,30.84,29.74,30.59
1906,30.20,29.88,30.85,29.74,30.58
1907,30.00,29.70,30.62,29.49,30.37
1908,30.17,29.85,30.81,29.70,30.55
1909,30.13,29.81,30.76,29.66,30.51
1910,30.07,29.76,30.69,29.59,30.44
1911,30.07,29.76,30.69,29.57,30.44
1912,30.06,29.75,30.69,29.59,30.43
1913,30.17,29.86,30.80,29.71,30.54
1914,30.20,29.88,30.85,29.77,30.58
1915,30.21,29.89,30.87,29.80,30.60
1916,30.22,29.90,30.86,29.76,30.61
1917,30.19,29.86,30.85,29.74,30.58
1918,30.15,29.85,30.77,29.66,30.52
1919,30.01,29.69,30.64,29.53,30.39
1920,30.07,29.76,30.71,29.59,30.45
1921,29.98,29.67,30.60,29.47,30.35
1922,30.02,29.71,30.65,29.53,30.40
1923,30.02,29.71,30.64,29.51,30.39
1924,29.99,29.68,30.63,29.51,30.37
1925,30.00,29.68,30.63,29.49,30.37
1926,30.04,29.73,30.67,29.57,30.42
1927,30.12,29.80,30.75,29.66,30.49
1928,30.08,29.77,30.73,29.62,30.46
1929,30.00,29.69,30.62,29.48,30.37
1930,30.07,29.76,30.72,29.62,30.46
1931,30.11,29.79,30.75,29.67,30.49
1932,30.11,29.80,30.75,29.66,30.49
1933,30.06,29.74,30.70,29.60,30.44
1934,30.07,29.76,30.72,29.61,30.45
1935,30.08,29.76,30.72,29.62,30.46
1936,30.07,29.76,30.71,29.62,30.45
1937,30.00,29.69,30.63,29.52,30.37
1938,30.03,29.72,30.67,29.56,30.41
1939,29.99,29.67,30.62,29.51,30.36
1940,30.07,29.76,30.70,29.63,30.44
1941,30.72,30.41,31.36,30.26,31.10
1942,30.20,29.88,30.85,29.78,30.58
1943,30.20,29.88,30.85,29.78,30.58
1944,30.20,29.88,30.85,29.78,30.58
1945,30.20,29.88,30.85,29.78,30.58
1946,30.20,29.88,30.85,29.78,30.58
1947,30.21,29.88,30.89,29.82,30.61
1948,30.19,29.88,30.84,29.75,30.58
1949,30.22,29.90,30.86,29.76,30.60
1950,30.46,30.16,31.09,29.99,30.83
1951,30.57,30.26,31.19,30.09,30.93
1952,30.42,30.12,31.04,29.91,30.79
1953,30.78,30.47,31.39,30.26,31.14
1954,30.54,30.24,31.15,30.07,30.89
1955,30.35,30.03,30.97,29.86,30.72
1956,30.13,29.83,30.75,29.67,30.49
1957,30.55,30.23,31.18,30.10,30.92
1958,30.54,30.23,31.17,30.07,30.91
1959,30.23,29.91,30.88,29.77,30.61
1960,30.36,30.05,31.00,29.89,30.74
1961,30.11,29.78,30.77,29.68,30.50
1962,29.75,29.43,30.41,29.33,30.14
1963,29.67,29.35,30.33,29.24,30.05
1964,29.93,29.61,30.58,29.50,30.31
1965,29.85,29.53,30.50,29.43,30.24
1966,30.23,29.90,30.91,29.83,30.63
1967,30.02,29.69,30.70,29.60,30.42
1968,30.05,29.72,30.72,29.63,30.44
1969,30.12,29.79,30.79,29.69,30.51
1970,29.99,29.66,30.66,29.60,30.38
1971,30.13,29.80,30.79,29.71,30.52
1972,30.64,30.32,31.30,30.19,31.03
1973,30.57,30.25,31.24,30.17,30.96
1974,30.15,29.83,30.81,29.74,30.54
1975,30.24,29.92,30.90,29.82,30.63
1976,29.83,29.51,30.50,29.42,30.23
1977,29.84,29.52,30.51,29.44,30.24
1978,30.17,29.85,30.82,29.76,30.55
1979,30.27,29.94,30.94,29.87,30.66
1980,30.35,30.02,31.01,29.94,30.73
1981,30.55,30.23,31.20,30.11,30.93
1982,30.62,30.30,31.27,30.16,31.00
1983,30.78,30.46,31.44,30.36,31.18
1984,29.96,29.63,30.63,29.55,30.36
1985,30.29,29.96,30.96,29.88,30.69
1986,30.23,29.91,30.90,29.82,30.63
1987,30.51,30.18,31.19,30.11,30.91
1988,30.24,29.91,30.90,29.82,30.62
1989,30.18,29.85,30.84,29.75,30.57
1990,30.53,30.21,31.21,30.14,30.93
1991,30.38,30.06,31.06,29.97,30.78
1992,30.43,30.11,31.10,30.03,30.82
1993,30.31,29.99,30.97,29.89,30.70
1994,30.38,30.06,31.04,29.95,30.77
1995,30.26,29.93,30.94,29.85,30.66
1996,30.19,29.86,30.86,29.77,30.58
1997,30.57,30.25,31.23,30.13,30.96
1998,30.85,30.53,31.50,30.43,31.23
1999,30.43,30.10,31.08,30.00,30.81
2000,30.52,30.19,31.19,30.10,30.92
2001,30.63,30.31,31.29,30.20,31.02
2002,30.78,30.46,31.45,30.36,31.18
2003,30.51,30.20,31.16,30.08,30.89
2004,30.48,30.16,31.13,30.06,30.86
2005,30.64,30.31,31.32,30.22,31.04
2006,30.58,30.25,31.25,30.16,30.98
2007,30.40,30.08,31.05,29.98,30.78
2008,30.18,29.85,30.84,29.78,30.56
2009,30.63,30.31,31.28,30.17,31.01
2010,30.54,30.22,31.19,30.10,30.92
2011,30.48,30.16,31.13,30.05,30.86
2012,30.82,30.49,31.50,30.37,31.22
2013,30.84,30.53,31.48,30.41,31.22
2014,30.68,30.35,31.34,30.23,31.07
2015,30.93,30.60,31.60,30.50,31.32
2016,31.21,30.89,31.87,30.77,31.60
2017,30.86,30.54,31.52,30.44,31.25
2018,31.03,30.70,31.69,30.61,31.42
2019,31.18,30.87,31.83,30.73,31.56
2020,31.06,30.74,31.71,30.64,31.44
