Variable:,tasmax
,"Cote d'Ivoire",Denguele,Savanes,"Vallee Du Bandama",Zanzan,Comoe,"District autonome de Abidjan","District autonome de Yamoussoukro",Gôh-Djiboua,Lacs,Lagunes,Montagnes,Sassandra-Marahoue,Woroba,"Bas Sassandra"
1901,31.83,32.73,32.80,32.29,32.28,31.02,30.31,31.89,30.94,32.08,30.93,31.49,31.73,32.23,30.11
1902,31.71,32.74,32.80,32.16,32.21,30.83,30.12,31.71,30.76,31.88,30.74,31.35,31.56,32.13,29.95
1903,31.77,32.52,32.81,32.29,32.46,31.03,30.31,31.86,30.88,32.08,30.93,31.20,31.55,32.02,30.01
1904,31.60,32.50,32.74,32.12,32.28,30.82,30.10,31.62,30.64,31.85,30.70,31.01,31.35,31.90,29.78
1905,31.74,32.48,32.74,32.26,32.34,31.05,30.35,31.87,30.90,32.07,30.95,31.21,31.57,32.01,30.02
1906,31.82,32.43,32.80,32.35,32.63,31.23,30.44,31.95,30.95,32.22,31.07,31.20,31.58,32.00,30.03
1907,31.65,32.33,32.65,32.19,32.35,31.02,30.29,31.76,30.80,32.01,30.89,31.06,31.44,31.86,29.90
1908,31.72,32.60,32.81,32.23,32.39,30.98,30.24,31.75,30.76,31.99,30.86,31.16,31.49,32.02,29.87
1909,31.89,32.58,32.94,32.49,32.70,31.36,30.61,32.02,30.99,32.33,31.20,31.11,31.61,32.07,29.95
1910,31.91,32.65,32.92,32.44,32.64,31.26,30.49,32.01,31.01,32.26,31.12,31.35,31.70,32.16,30.08
1911,31.65,32.37,32.63,32.16,32.22,30.99,30.27,31.77,30.80,31.98,30.87,31.14,31.47,31.90,29.92
1912,31.72,32.80,32.81,32.10,32.18,30.72,30.00,31.66,30.74,31.79,30.63,31.50,31.61,32.19,30.03
1913,31.62,32.51,32.68,32.07,32.25,30.79,30.02,31.62,30.66,31.81,30.65,31.20,31.44,31.97,29.87
1914,31.80,32.55,32.86,32.31,32.63,31.11,30.29,31.81,30.83,32.08,30.91,31.21,31.54,32.05,29.94
1915,31.68,32.59,32.61,32.09,32.01,30.81,30.13,31.75,30.83,31.88,30.75,31.48,31.64,32.12,30.06
1916,31.71,32.33,32.51,32.18,32.09,31.12,30.40,31.94,30.95,32.11,31.02,31.36,31.66,32.01,30.05
1917,31.74,32.36,32.60,32.28,32.27,31.24,30.49,31.94,30.95,32.20,31.10,31.21,31.60,31.98,29.99
1918,31.54,32.16,32.38,32.05,32.02,31.04,30.32,31.75,30.77,31.98,30.90,31.05,31.42,31.79,29.84
1919,31.69,32.39,32.79,32.29,32.56,31.14,30.38,31.79,30.75,32.09,30.96,30.90,31.37,31.87,29.76
1920,31.78,32.49,32.88,32.38,32.64,31.21,30.45,31.89,30.84,32.18,31.04,31.01,31.48,31.97,29.84
1921,31.75,32.43,32.85,32.35,32.61,31.20,30.43,31.83,30.81,32.15,31.01,30.98,31.45,31.94,29.82
1922,31.69,32.38,32.70,32.25,32.32,31.09,30.35,31.83,30.82,32.08,30.95,31.09,31.49,31.94,29.88
1923,31.66,32.39,32.61,32.15,32.25,30.99,30.32,31.80,30.84,32.00,30.92,31.13,31.47,31.91,29.93
1924,31.77,32.33,32.80,32.38,32.69,31.30,30.55,31.90,30.89,32.24,31.12,30.92,31.45,31.88,29.85
1925,31.45,32.27,32.53,32.00,32.20,30.78,30.06,31.52,30.52,31.79,30.65,30.76,31.18,31.70,29.57
1926,31.72,32.25,32.61,32.22,32.44,31.35,30.66,31.88,30.96,32.16,31.20,31.02,31.47,31.83,30.06
1927,31.15,31.64,31.99,31.67,31.84,30.80,30.14,31.39,30.42,31.62,30.67,30.45,30.91,31.26,29.49
1928,31.10,31.61,32.00,31.65,31.91,30.69,30.00,31.28,30.32,31.58,30.56,30.36,30.82,31.20,29.35
1929,31.21,31.53,32.00,31.77,31.99,30.92,30.32,31.52,30.58,31.80,30.85,30.42,30.96,31.20,29.56
1930,31.38,31.79,32.29,31.96,32.28,31.13,30.40,31.59,30.62,31.92,30.93,30.52,31.06,31.40,29.56
1931,31.90,32.50,32.97,32.54,32.89,31.57,30.74,32.05,30.96,32.43,31.31,30.93,31.54,32.01,29.82
1932,31.82,32.31,32.81,32.48,32.83,31.59,30.74,32.03,30.94,32.40,31.31,30.86,31.47,31.88,29.80
1933,31.79,32.27,32.75,32.42,32.74,31.50,30.67,32.00,30.93,32.34,31.24,30.91,31.47,31.87,29.84
1934,31.99,32.49,32.98,32.64,33.02,31.68,30.83,32.19,31.08,32.56,31.43,31.04,31.65,32.06,29.94
1935,31.98,32.52,33.14,32.70,33.28,31.60,30.70,32.08,30.95,32.50,31.30,30.91,31.52,32.03,29.76
1936,31.73,32.39,32.79,32.34,32.62,31.20,30.47,31.86,30.83,32.16,31.05,30.92,31.42,31.88,29.80
1937,32.46,32.80,33.63,33.29,33.99,32.23,31.20,32.58,31.30,33.12,31.83,31.25,31.91,32.40,30.08
1938,32.31,32.91,33.58,33.07,33.73,31.91,30.87,32.30,31.06,32.83,31.51,31.26,31.77,32.38,29.95
1939,32.07,32.79,33.31,32.77,33.19,31.55,30.62,32.08,30.91,32.51,31.25,31.16,31.62,32.22,29.84
1940,31.88,32.60,32.97,32.48,32.72,31.31,30.54,31.96,30.94,32.27,31.13,31.11,31.58,32.08,29.94
1941,32.19,32.86,33.25,32.75,33.06,31.67,30.92,32.28,31.29,32.59,31.51,31.42,31.87,32.33,30.31
1942,31.93,32.61,33.00,32.50,32.85,31.43,30.63,32.03,30.98,32.34,31.22,31.13,31.59,32.07,29.98
1943,31.50,32.21,32.52,32.03,32.29,30.93,30.19,31.59,30.60,31.86,30.77,30.82,31.21,31.69,29.68
1944,32.09,32.73,33.14,32.68,32.96,31.59,30.83,32.21,31.19,32.52,31.41,31.29,31.78,32.22,30.17
1945,31.93,32.62,32.98,32.49,32.68,31.35,30.65,32.06,31.07,32.32,31.23,31.22,31.67,32.11,30.11
1946,31.61,32.38,32.66,32.14,32.33,30.97,30.29,31.70,30.71,31.94,30.86,30.96,31.35,31.84,29.81
1947,31.85,32.66,33.03,32.43,32.69,31.21,30.44,31.91,30.85,32.19,31.03,31.09,31.53,32.08,29.88
1948,31.49,32.25,32.58,32.05,32.25,30.85,30.14,31.57,30.57,31.84,30.73,30.79,31.21,31.71,29.62
1949,31.81,32.56,32.92,32.37,32.64,31.20,30.44,31.88,30.86,32.16,31.04,31.07,31.50,32.00,29.91
1950,31.51,32.41,32.59,32.01,32.16,30.83,30.12,31.64,30.61,31.82,30.71,30.82,31.26,31.83,29.64
1951,31.95,32.67,33.17,32.61,32.88,31.24,30.48,32.02,30.94,32.26,31.09,31.11,31.68,32.14,29.98
1952,32.00,32.66,33.18,32.68,32.82,31.27,30.53,32.16,31.04,32.38,31.18,31.19,31.79,32.21,30.04
1953,31.96,32.71,33.12,32.61,32.71,31.21,30.48,32.09,31.02,32.30,31.14,31.20,31.75,32.19,30.04
1954,31.63,32.29,32.76,32.30,32.42,30.89,30.17,31.75,30.69,31.99,30.80,30.90,31.45,31.85,29.74
1955,31.56,32.47,32.76,32.17,32.24,30.70,29.99,31.63,30.56,31.82,30.63,30.88,31.39,31.83,29.68
1956,31.62,32.51,32.88,32.26,32.40,30.81,30.09,31.67,30.59,31.91,30.72,30.82,31.36,31.88,29.63
1957,31.88,32.59,33.09,32.57,32.68,31.10,30.37,31.96,30.88,32.19,30.99,31.14,31.67,32.15,29.93
1958,31.92,32.70,33.22,32.60,32.81,31.08,30.36,31.92,30.87,32.19,30.99,31.12,31.61,32.19,29.93
1959,31.90,32.60,33.12,32.62,32.81,31.19,30.44,32.05,30.90,32.34,31.07,30.99,31.59,32.10,29.86
1960,31.81,32.51,32.92,32.46,32.60,31.16,30.41,31.94,30.85,32.23,31.03,31.04,31.55,32.03,29.87
1961,31.81,32.35,32.82,32.48,32.54,31.19,30.47,31.99,30.95,32.24,31.09,31.06,31.62,32.03,29.96
1962,31.62,32.10,32.59,32.26,32.30,31.02,30.32,31.80,30.77,32.03,30.92,30.98,31.48,31.84,29.82
1963,31.99,32.59,33.05,32.63,32.74,31.40,30.67,32.15,31.10,32.41,31.27,31.22,31.76,32.21,30.12
1964,31.44,32.24,32.55,32.01,32.12,30.70,30.03,31.47,30.53,31.71,30.61,30.80,31.22,31.74,29.60
1965,31.52,32.23,32.66,32.18,32.32,30.79,30.05,31.63,30.56,31.88,30.66,30.76,31.27,31.81,29.55
1966,31.93,32.54,32.97,32.55,32.74,31.33,30.61,32.13,31.08,32.37,31.21,31.12,31.66,32.12,30.03
1967,31.46,32.03,32.44,32.06,32.21,30.85,30.13,31.62,30.61,31.86,30.71,30.78,31.24,31.68,29.65
1968,31.68,32.40,32.70,32.26,32.40,31.08,30.36,31.85,30.80,32.07,30.94,30.99,31.45,31.93,29.84
1969,32.07,33.02,33.35,32.70,32.88,31.25,30.51,32.05,31.00,32.32,31.11,31.31,31.75,32.36,30.07
1970,32.02,32.83,33.26,32.68,32.88,31.25,30.51,32.06,31.00,32.33,31.11,31.21,31.72,32.25,30.03
1971,31.22,32.31,32.50,31.74,32.04,30.54,29.79,31.14,30.18,31.46,30.37,30.39,30.83,31.46,29.24
1972,31.41,32.46,32.69,31.96,32.22,30.64,29.85,31.34,30.33,31.64,30.47,30.69,31.05,31.69,29.42
1973,32.03,32.93,33.28,32.60,32.94,31.39,30.62,32.05,31.00,32.36,31.22,31.18,31.63,32.24,30.01
1974,31.38,32.19,32.48,31.90,32.17,30.74,30.01,31.43,30.43,31.73,30.61,30.67,31.04,31.61,29.49
1975,31.31,32.01,32.40,31.90,32.11,30.69,29.96,31.45,30.40,31.72,30.56,30.57,31.04,31.49,29.43
1976,30.93,31.71,32.04,31.49,31.76,30.30,29.52,30.93,29.92,31.26,30.09,30.27,30.63,31.15,29.01
