Variable:,tasmax
,"Congo (Republic of the)",Bouenza,Cuvette,Cuvette-Ouest,Lekoumou,Likouala,Niari,Plateaux,Sangha,Pool,Brazzaville,Kouilou,Point-Noire
1901,29.10,28.46,29.87,28.95,27.81,29.83,28.36,29.14,29.13,28.69,29.48,28.34,28.44
1902,29.20,28.54,29.95,29.10,27.90,29.90,28.47,29.21,29.30,28.75,29.52,28.43,28.52
1903,29.30,28.66,30.03,29.23,28.03,29.95,28.61,29.31,29.40,28.85,29.60,28.57,28.65
1904,29.09,28.42,29.84,28.95,27.76,29.84,28.32,29.10,29.18,28.65,29.43,28.30,28.39
1905,29.36,28.69,30.10,29.31,28.08,30.01,28.66,29.36,29.50,28.87,29.62,28.60,28.68
1906,29.29,28.58,30.04,29.24,27.97,29.98,28.55,29.28,29.46,28.77,29.51,28.49,28.57
1907,29.34,28.65,30.08,29.30,28.05,30.00,28.63,29.34,29.49,28.83,29.56,28.57,28.64
1908,29.06,28.36,29.82,28.93,27.70,29.83,28.27,29.06,29.17,28.59,29.38,28.23,28.34
1909,29.45,28.79,30.19,29.44,28.19,30.07,28.78,29.45,29.61,28.95,29.69,28.71,28.77
1910,29.09,28.49,29.84,28.93,27.81,29.81,28.36,29.13,29.12,28.71,29.51,28.36,28.48
1911,29.36,28.75,30.08,29.29,28.12,29.98,28.70,29.38,29.45,28.93,29.70,28.66,28.75
1912,29.44,28.84,30.18,29.38,28.20,30.04,28.78,29.47,29.54,29.01,29.77,28.75,28.86
1913,29.11,28.48,29.85,28.97,27.81,29.83,28.37,29.13,29.17,28.70,29.48,28.35,28.45
1914,29.37,28.69,30.11,29.32,28.08,30.02,28.66,29.37,29.52,28.86,29.61,28.60,28.67
1915,29.23,28.50,30.00,29.17,27.89,29.95,28.47,29.22,29.38,28.71,29.48,28.40,28.49
1916,29.21,28.44,29.99,29.16,27.85,29.95,28.42,29.19,29.38,28.66,29.43,28.34,28.42
1917,29.24,28.53,30.00,29.18,27.91,29.95,28.49,29.23,29.39,28.73,29.50,28.43,28.51
1918,29.23,28.50,30.00,29.17,27.89,29.95,28.47,29.22,29.38,28.71,29.47,28.40,28.48
1919,29.22,28.49,29.99,29.17,27.88,29.95,28.46,29.21,29.38,28.70,29.46,28.39,28.46
1920,29.23,28.51,30.00,29.17,27.90,29.95,28.48,29.22,29.38,28.72,29.48,28.41,28.49
1921,29.23,28.51,30.00,29.18,27.89,29.95,28.47,29.22,29.39,28.72,29.48,28.40,28.49
1922,29.22,28.49,30.00,29.17,27.88,29.95,28.45,29.21,29.38,28.70,29.47,28.38,28.47
1923,29.21,28.45,29.99,29.16,27.85,29.95,28.43,29.19,29.38,28.67,29.43,28.35,28.43
1924,29.28,28.63,30.02,29.20,28.00,29.95,28.58,29.29,29.39,28.83,29.60,28.53,28.62
1925,29.23,28.51,30.00,29.17,27.90,29.95,28.47,29.22,29.38,28.72,29.48,28.41,28.49
1926,29.24,28.52,30.00,29.18,27.90,29.95,28.48,29.23,29.39,28.73,29.49,28.42,28.51
1927,29.25,28.55,30.01,29.18,27.93,29.95,28.51,29.25,29.39,28.75,29.52,28.45,28.53
1928,29.27,28.62,30.02,29.20,27.99,29.95,28.56,29.28,29.39,28.82,29.59,28.52,28.60
1929,29.20,28.42,29.98,29.16,27.82,29.95,28.40,29.17,29.38,28.64,29.39,28.32,28.39
1930,29.25,28.54,30.00,29.19,27.92,29.95,28.50,29.24,29.39,28.75,29.52,28.44,28.53
1931,29.27,28.60,30.02,29.20,27.97,29.95,28.55,29.27,29.39,28.80,29.58,28.49,28.58
1932,29.19,28.41,29.98,29.15,27.81,29.95,28.39,29.17,29.38,28.63,29.38,28.30,28.38
1933,29.30,28.68,30.03,29.21,28.04,29.95,28.62,29.32,29.39,28.87,29.65,28.58,28.66
1934,29.32,28.72,30.04,29.22,28.07,29.95,28.65,29.34,29.39,28.91,29.69,28.62,28.71
1935,29.26,28.59,30.02,29.19,27.96,29.95,28.54,29.27,29.39,28.79,29.56,28.49,28.58
1936,29.22,28.47,29.99,29.17,27.86,29.95,28.44,29.20,29.39,28.68,29.43,28.37,28.44
1937,29.32,28.75,30.04,29.23,28.10,29.95,28.67,29.36,29.39,28.93,29.72,28.65,28.75
1938,29.26,28.57,30.01,29.19,27.95,29.95,28.52,29.26,29.39,28.77,29.54,28.47,28.55
1939,29.28,28.63,30.02,29.20,28.00,29.95,28.58,29.29,29.39,28.83,29.60,28.53,28.62
1940,29.24,28.54,30.01,29.18,27.92,29.95,28.50,29.24,29.39,28.75,29.51,28.44,28.53
1941,29.88,29.06,30.63,29.79,28.48,30.76,29.03,29.86,30.04,29.30,30.03,28.94,29.02
1942,29.70,28.86,30.46,29.64,28.29,30.56,28.84,29.68,29.89,29.13,29.86,28.73,28.80
1943,29.13,28.33,29.89,29.08,27.73,29.95,28.30,29.09,29.32,28.56,29.32,28.23,28.30
1944,29.72,29.09,30.42,29.63,28.46,30.39,29.03,29.73,29.81,29.27,30.05,29.00,29.09
1945,29.62,28.88,30.33,29.56,28.30,30.37,28.87,29.59,29.78,29.07,29.81,28.80,28.86
1946,29.47,28.62,30.23,29.42,28.04,30.34,28.61,29.42,29.68,28.86,29.59,28.51,28.57
