Variable:,tasmax
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1901,29.22,31.12,27.41,30.36,31.93,31.64,21.02,24.39,24.35,30.32,30.65,24.39,30.79,29.40,30.91,22.75,30.83,30.43,30.36,24.60,31.19,29.69,26.17,26.19,30.00,22.33,25.33,30.20,26.90,32.52,24.56,26.42,30.49,31.29
1902,29.12,31.12,27.37,29.99,31.77,31.47,20.85,24.39,24.34,30.32,30.40,24.39,30.52,29.40,30.84,22.69,30.68,30.08,30.34,24.60,30.98,29.63,26.17,25.89,30.00,22.33,25.33,30.20,26.71,32.38,24.55,26.42,30.48,30.99
1903,29.15,31.12,27.38,30.09,31.81,31.52,20.90,24.39,24.34,30.32,30.46,24.39,30.59,29.40,30.86,22.70,30.71,30.16,30.35,24.60,31.03,29.64,26.17,25.97,30.00,22.33,25.33,30.20,26.76,32.42,24.55,26.42,30.49,31.07
1904,29.15,31.12,27.38,30.13,31.82,31.53,20.91,24.39,24.33,30.32,30.48,24.39,30.61,29.40,30.86,22.71,30.73,30.06,30.35,24.60,31.04,29.65,26.17,25.99,30.00,22.33,25.33,30.20,26.78,32.43,24.55,26.42,30.48,31.09
1905,29.09,31.12,27.35,29.88,31.71,31.42,20.80,24.39,24.32,30.32,30.32,24.39,30.43,29.40,30.82,22.67,30.63,29.99,30.34,24.60,30.91,29.61,26.17,25.79,30.00,22.33,25.33,30.19,26.65,32.34,24.55,26.42,30.48,30.90
1906,29.10,31.12,27.35,29.90,31.73,31.43,20.80,24.39,24.33,30.32,30.33,24.39,30.44,29.40,30.83,22.67,30.64,29.94,30.34,24.60,30.92,29.61,26.17,25.81,30.00,22.33,25.33,30.20,26.66,32.36,24.55,26.42,30.48,30.91
1907,29.17,31.12,27.39,30.19,31.85,31.57,20.94,24.39,24.34,30.32,30.53,24.39,30.65,29.40,30.88,22.72,30.75,30.07,30.35,24.60,31.09,29.66,26.17,26.05,30.00,22.33,25.33,30.20,26.81,32.45,24.55,26.42,30.49,31.15
1908,29.08,31.12,27.34,29.84,31.70,31.40,20.78,24.39,24.31,30.32,30.29,24.39,30.39,29.40,30.81,22.66,30.62,29.85,30.33,24.60,30.88,29.60,26.17,25.77,30.00,22.33,25.33,30.20,26.63,32.33,24.55,26.42,30.48,30.87
1909,29.13,31.12,27.37,30.02,31.78,31.49,20.86,24.39,24.33,30.32,30.42,24.39,30.53,29.40,30.85,22.69,30.69,29.97,30.34,24.60,30.99,29.63,26.17,25.92,30.00,22.33,25.33,30.20,26.73,32.40,24.55,26.42,30.48,31.02
1910,29.13,31.12,27.37,30.03,31.78,31.49,20.87,24.39,24.33,30.32,30.42,24.39,30.53,29.40,30.85,22.70,30.71,29.97,30.35,24.60,30.99,29.63,26.17,25.92,30.00,22.33,25.33,30.19,26.73,32.40,24.55,26.42,30.49,31.02
1911,29.16,31.12,27.38,30.13,31.84,31.53,20.91,24.39,24.34,30.32,30.49,24.39,30.61,29.40,30.87,22.71,30.75,30.04,30.35,24.60,31.05,29.65,26.17,26.00,30.00,22.33,25.33,30.20,26.78,32.43,24.55,26.42,30.49,31.10
1912,29.11,31.13,27.36,29.94,31.75,31.44,20.82,24.39,24.33,30.32,30.36,24.39,30.48,29.40,30.83,22.68,30.68,29.99,30.34,24.60,30.95,29.62,26.17,25.85,30.00,22.33,25.33,30.20,26.69,32.37,24.55,26.42,30.48,30.95
1913,29.21,31.12,27.41,30.32,31.91,31.62,21.00,24.39,24.34,30.32,30.62,24.39,30.75,29.40,30.90,22.74,30.82,30.12,30.36,24.60,31.16,29.68,26.17,26.16,30.00,22.33,25.33,30.20,26.88,32.49,24.56,26.42,30.49,31.25
1914,29.13,31.13,27.37,30.01,31.79,31.48,20.86,24.39,24.33,30.32,30.41,24.39,30.53,29.40,30.85,22.69,30.71,29.99,30.34,24.60,30.98,29.63,26.17,25.90,30.00,22.33,25.33,30.20,26.72,32.39,24.55,26.42,30.48,31.00
1915,29.52,31.14,27.92,30.69,32.34,32.09,21.46,24.55,24.87,30.48,31.03,24.55,31.17,29.71,31.42,23.25,31.07,30.67,30.70,24.87,31.58,30.10,26.21,26.56,30.06,22.79,25.81,30.19,27.34,32.98,25.00,26.75,30.69,31.59
1916,29.35,31.13,27.60,30.56,32.09,31.83,21.20,24.46,24.53,30.38,30.84,24.46,30.97,29.52,31.10,22.93,30.94,30.45,30.49,24.71,31.36,29.84,26.18,26.38,30.02,22.49,25.49,30.20,27.09,32.69,24.72,26.55,30.57,31.46
1917,29.14,31.12,27.23,30.39,31.78,31.49,20.88,24.34,24.17,30.26,30.59,24.34,30.68,29.30,30.72,22.56,30.80,30.14,30.25,24.50,31.05,29.54,26.16,26.12,29.98,22.16,25.16,30.20,26.76,32.34,24.40,26.31,30.42,31.32
1918,29.09,31.11,27.16,30.30,31.69,31.40,20.80,24.31,24.10,30.24,30.51,24.31,30.59,29.26,30.65,22.49,30.78,30.10,30.21,24.47,30.96,29.49,26.15,26.03,29.98,22.12,25.11,30.20,26.67,32.26,24.35,26.27,30.41,31.25
1919,29.13,31.12,27.37,30.04,31.79,31.49,20.87,24.39,24.33,30.32,30.43,24.39,30.54,29.40,30.85,22.69,30.71,30.03,30.34,24.60,31.00,29.63,26.17,25.92,30.00,22.33,25.33,30.20,26.73,32.40,24.55,26.42,30.48,31.02
1920,29.13,31.12,27.37,30.01,31.78,31.48,20.86,24.39,24.33,30.32,30.41,24.39,30.53,29.40,30.85,22.69,30.70,29.96,30.34,24.60,30.98,29.63,26.17,25.91,30.00,22.33,25.33,30.20,26.72,32.39,24.55,26.42,30.48,31.01
1921,28.98,31.11,27.01,30.09,31.51,31.20,20.61,24.28,23.96,30.20,30.31,24.28,30.37,29.20,30.49,22.34,30.66,29.90,30.11,24.41,30.76,29.35,26.15,25.81,29.97,22.00,24.99,30.20,26.47,32.08,24.23,26.20,30.35,31.08
1922,28.89,31.11,26.91,29.87,31.38,31.06,20.47,24.26,23.89,30.19,30.13,24.26,30.19,29.16,30.39,22.24,30.53,29.75,30.06,24.37,30.61,29.27,26.15,25.62,29.96,21.94,24.92,30.20,26.32,31.95,24.17,26.16,30.32,30.89
1923,28.99,30.97,27.14,30.21,31.74,31.45,20.80,24.10,24.05,30.05,30.45,24.10,30.63,29.12,30.67,22.47,30.63,30.18,30.07,24.30,31.01,29.40,25.92,26.05,29.75,22.02,25.02,30.20,26.70,32.30,24.25,26.13,30.26,31.10
1924,29.14,31.08,27.34,30.26,31.83,31.57,20.94,24.31,24.26,30.24,30.55,24.31,30.70,29.32,30.83,22.66,30.70,30.29,30.27,24.51,31.09,29.58,26.09,26.12,29.92,22.24,25.23,30.20,26.84,32.43,24.46,26.34,30.41,31.16
1925,28.92,30.93,27.07,30.12,31.63,31.35,20.70,24.04,23.97,29.98,30.36,24.04,30.51,29.04,30.59,22.38,30.60,30.05,30.01,24.22,30.89,29.32,25.86,25.93,29.69,21.95,24.94,30.20,26.60,32.21,24.17,26.05,30.22,31.05
1926,29.46,31.26,27.68,30.67,32.17,31.92,21.31,24.65,24.62,30.56,30.93,24.65,31.08,29.65,31.16,23.02,30.98,30.61,30.60,24.85,31.45,29.94,26.39,26.52,30.24,22.59,25.58,30.20,27.20,32.77,24.82,26.68,30.67,31.54
1927,29.00,31.06,27.13,30.11,31.63,31.39,20.76,24.21,24.07,30.15,30.38,24.21,30.52,29.17,30.64,22.46,30.59,30.08,30.11,24.38,30.90,29.41,26.07,25.95,29.89,22.06,25.06,30.20,26.65,32.24,24.29,26.18,30.32,31.02
1928,29.14,31.09,27.32,30.30,31.84,31.58,20.95,24.31,24.25,30.24,30.57,24.31,30.72,29.31,30.82,22.64,30.71,30.26,30.26,24.50,31.11,29.58,26.10,26.15,29.94,22.23,25.23,30.20,26.85,32.44,24.46,26.33,30.41,31.19
1929,29.16,31.11,27.36,30.27,31.85,31.59,20.97,24.38,24.30,30.30,30.57,24.38,30.71,29.36,30.86,22.69,30.69,30.16,30.31,24.57,31.10,29.62,26.17,26.15,30.00,22.28,25.28,30.20,26.86,32.46,24.51,26.39,30.45,31.15
1930,29.38,31.15,27.66,30.44,31.94,31.72,21.24,24.75,24.69,30.55,30.78,24.75,30.84,29.74,31.03,23.06,30.83,30.37,30.53,24.96,31.21,29.94,26.50,26.27,30.28,22.70,25.69,30.20,27.09,32.56,24.92,26.79,30.52,31.34
1931,29.40,31.30,27.59,30.59,32.08,31.82,21.17,24.54,24.50,30.47,30.85,24.54,30.98,29.57,31.11,22.88,31.03,30.55,30.53,24.75,31.36,29.85,26.30,26.40,30.14,22.50,25.48,30.22,27.06,32.70,24.72,26.58,30.70,31.52
1932,28.99,30.94,27.03,30.60,32.06,31.68,20.79,23.77,23.78,29.83,30.63,23.77,31.00,28.81,30.75,22.22,30.80,30.68,29.98,23.95,31.37,29.21,25.62,26.39,29.48,21.70,24.70,30.22,26.77,32.54,23.93,25.79,30.29,31.44
1933,29.15,30.92,27.46,30.48,32.20,31.85,21.05,24.11,24.30,30.03,30.68,24.11,31.06,29.25,31.05,22.67,30.69,30.61,30.16,24.34,31.46,29.53,25.87,26.42,29.68,22.23,25.24,30.20,26.99,32.72,24.43,26.26,30.30,31.30
1934,29.40,30.82,27.92,30.67,32.35,32.08,21.49,24.62,24.91,30.31,30.97,24.62,31.24,29.78,31.32,23.25,30.71,30.78,30.37,24.88,31.62,29.95,26.28,26.62,30.04,22.83,25.85,30.23,27.39,32.90,25.04,26.83,30.22,31.41
1935,29.37,30.94,27.81,30.54,32.18,31.94,21.36,24.66,24.80,30.40,30.86,24.66,31.06,29.75,31.21,23.14,30.71,30.52,30.40,24.88,31.44,29.91,26.37,26.47,30.14,22.77,25.77,30.20,27.27,32.77,24.95,26.80,30.32,31.34
1936,29.78,31.10,28.37,30.80,32.44,32.29,21.87,25.38,25.48,30.89,31.22,25.38,31.34,30.43,31.61,23.78,30.89,30.76,30.81,25.60,31.70,30.44,27.01,26.79,30.71,23.47,26.47,30.27,27.74,33.10,25.65,27.52,30.54,31.53
1937,29.51,31.03,27.95,30.66,32.20,32.01,21.51,24.85,24.97,30.58,30.98,24.85,31.11,29.89,31.32,23.32,30.86,30.61,30.60,25.10,31.48,30.10,26.54,26.52,30.31,22.93,25.94,30.23,27.38,32.84,25.14,26.97,30.47,31.48
1938,29.35,30.88,27.72,30.49,31.93,31.77,21.33,24.78,24.76,30.46,30.83,24.78,30.90,29.75,31.06,23.13,30.71,30.41,30.43,24.97,31.23,29.95,26.55,26.37,30.29,22.73,25.72,29.98,27.20,32.58,24.96,26.82,30.30,31.30
1939,29.38,30.71,27.85,30.61,32.10,31.94,21.42,24.80,24.84,30.41,30.91,24.80,31.06,29.84,31.22,23.19,30.72,30.59,30.42,25.00,31.40,29.97,26.52,26.52,30.24,22.81,25.82,30.05,27.32,32.76,25.02,26.89,30.21,31.39
