Variable:,tasmax
,"Cape Verde","Boa Vista",Brava,Cima,Fogo,"Ilheu Branco","Ilheu Raso",Maio,Rombo,Sal,"Santa Luzia",Santiago,"Santo Antao","Sao Nicolau","Sao Vicente"
1901,26.29,26.92,26.88,26.88,24.52,25.68,25.68,27.03,26.88,27.41,25.68,26.41,24.85,26.29,25.83
1902,26.35,27.01,26.88,26.88,24.54,25.71,25.71,27.08,26.88,27.50,25.71,26.47,24.87,26.33,25.85
1903,26.61,27.32,27.09,27.09,24.79,25.88,25.88,27.38,27.09,27.78,25.88,26.74,24.99,26.55,26.00
1904,26.27,26.92,26.83,26.83,24.49,25.66,25.66,27.01,26.83,27.40,25.66,26.39,24.84,26.28,25.80
1905,26.43,27.12,26.97,26.97,24.64,25.77,25.77,27.20,26.97,27.58,25.77,26.56,24.91,26.41,25.90
1906,26.65,27.37,27.10,27.10,24.80,25.91,25.91,27.41,27.10,27.84,25.91,26.77,25.01,26.56,26.03
1907,25.70,26.24,26.43,26.43,23.99,25.30,25.30,26.35,26.43,26.74,25.30,25.82,24.56,25.83,25.47
1908,26.53,27.25,27.02,27.02,24.71,25.83,25.83,27.30,27.02,27.72,25.83,26.65,24.97,26.49,25.96
1909,26.36,27.00,26.92,26.92,24.56,25.73,25.73,27.10,26.92,27.47,25.73,26.48,24.88,26.35,25.87
1910,26.44,27.13,26.98,26.98,24.65,25.78,25.78,27.20,26.98,27.59,25.78,26.57,24.93,26.44,25.92
1911,26.40,27.05,26.93,26.93,24.59,25.78,25.78,27.13,26.93,27.56,25.78,26.52,24.93,26.40,25.92
1912,26.30,26.97,26.88,26.88,24.51,25.71,25.71,27.04,26.88,27.44,25.71,26.42,24.89,26.33,25.86
1913,26.59,27.32,27.08,27.08,24.76,25.90,25.90,27.36,27.08,27.80,25.90,26.71,25.01,26.57,26.02
1914,26.20,26.84,26.79,26.79,24.42,25.67,25.67,26.90,26.79,27.34,25.67,26.32,24.85,26.28,25.81
1915,26.67,27.40,27.14,27.14,24.84,25.98,25.98,27.46,27.14,27.88,25.98,26.80,25.06,26.63,26.09
1916,26.30,26.97,26.87,26.87,24.50,25.75,25.75,27.03,26.87,27.45,25.75,26.42,24.92,26.36,25.89
1917,26.18,26.80,26.80,26.80,24.44,25.62,25.62,26.89,26.80,27.28,25.62,26.31,24.79,26.21,25.76
1918,26.53,27.23,27.06,27.06,24.71,25.85,25.85,27.29,27.06,27.69,25.85,26.66,24.97,26.48,25.97
1919,26.99,27.75,27.38,27.38,25.11,26.13,26.13,27.79,27.38,28.22,26.13,27.11,25.20,26.84,26.24
1920,26.32,26.93,26.93,26.93,24.55,25.70,25.70,27.04,26.93,27.39,25.70,26.45,24.88,26.31,25.85
1921,26.28,26.93,26.85,26.85,24.50,25.70,25.70,27.03,26.85,27.42,25.70,26.40,24.87,26.31,25.84
1922,25.98,26.55,26.65,26.65,24.25,25.49,25.49,26.66,26.65,27.04,25.49,26.10,24.71,26.05,25.65
1923,26.31,27.01,26.85,26.85,24.51,25.73,25.73,27.07,26.85,27.51,25.73,26.43,24.89,26.33,25.87
1924,26.23,26.89,26.83,26.83,24.45,25.68,25.68,26.96,26.83,27.39,25.68,26.35,24.85,26.29,25.82
1925,26.36,27.00,26.92,26.92,24.57,25.74,25.74,27.08,26.92,27.46,25.74,26.49,24.89,26.34,25.88
1926,26.72,27.47,27.18,27.18,24.88,26.01,26.01,27.50,27.18,27.95,26.01,26.84,25.10,26.69,26.13
1927,26.53,27.26,27.05,27.05,24.70,25.93,25.93,27.28,27.05,27.78,25.93,26.65,25.07,26.58,26.06
1928,26.20,26.89,26.77,26.77,24.39,25.68,25.68,26.93,26.77,27.43,25.68,26.31,24.86,26.28,25.82
1929,26.17,26.80,26.79,26.79,24.43,25.64,25.64,26.88,26.79,27.29,25.64,26.29,24.85,26.25,25.79
1930,25.97,26.57,26.63,26.63,24.22,25.48,25.48,26.66,26.63,27.08,25.48,26.09,24.70,26.07,25.64
1931,26.33,26.97,26.86,26.86,24.51,25.64,25.64,27.04,26.86,27.43,25.64,26.45,24.82,26.27,25.79
1932,26.40,27.08,26.90,26.90,24.59,25.75,25.75,27.14,26.90,27.56,25.75,26.52,24.87,26.36,25.88
1933,26.42,27.15,26.93,26.93,24.60,25.78,25.78,27.19,26.93,27.63,25.78,26.54,24.91,26.42,25.91
1934,26.13,26.85,26.70,26.70,24.35,25.57,25.57,26.88,26.70,27.34,25.57,26.25,24.76,26.18,25.71
1935,26.10,26.77,26.69,26.69,24.30,25.54,25.54,26.82,26.69,27.28,25.54,26.22,24.73,26.15,25.69
1936,26.54,27.27,27.00,27.00,24.70,25.82,25.82,27.30,27.00,27.75,25.82,26.66,24.94,26.49,25.95
1937,26.75,27.47,27.19,27.19,24.90,26.01,26.01,27.53,27.19,27.95,26.01,26.88,25.09,26.68,26.12
1938,26.50,27.24,26.99,26.99,24.68,25.81,25.81,27.29,26.99,27.71,25.81,26.63,24.90,26.45,25.93
1939,26.20,26.87,26.75,26.75,24.41,25.57,25.57,26.93,26.75,27.33,25.57,26.32,24.75,26.18,25.72
1940,26.28,26.97,26.81,26.81,24.45,25.63,25.63,27.03,26.81,27.42,25.63,26.40,24.77,26.26,25.76
1941,26.43,27.14,26.93,26.93,24.60,25.73,25.73,27.18,26.93,27.61,25.73,26.56,24.88,26.40,25.87
1942,26.17,26.83,26.76,26.76,24.38,25.56,25.56,26.93,26.76,27.32,25.56,26.29,24.74,26.18,25.71
1943,26.33,27.04,26.86,26.86,24.50,25.74,25.74,27.08,26.86,27.54,25.74,26.45,24.90,26.38,25.88
1944,26.59,27.36,27.07,27.07,24.74,25.89,25.89,27.38,27.07,27.81,25.89,26.71,24.99,26.54,26.01
1945,26.91,27.75,27.28,27.28,25.02,26.11,26.11,27.72,27.28,28.20,26.11,27.04,25.18,26.82,26.22
1946,26.43,27.14,26.92,26.92,24.60,25.76,25.76,27.18,26.92,27.63,25.76,26.55,24.90,26.43,25.89
1947,26.41,27.16,26.91,26.91,24.57,25.75,25.75,27.18,26.91,27.65,25.75,26.53,24.90,26.42,25.89
1948,26.45,27.18,26.94,26.94,24.61,25.82,25.82,27.22,26.94,27.68,25.82,26.57,24.96,26.46,25.95
1949,26.41,27.18,26.89,26.89,24.56,25.77,25.77,27.19,26.89,27.68,25.77,26.53,24.92,26.43,25.90
1950,26.53,27.31,26.99,26.99,24.68,25.88,25.88,27.30,26.99,27.80,25.88,26.65,24.99,26.54,26.00
1951,26.10,26.85,26.70,26.70,24.33,25.58,25.58,26.83,26.70,27.33,25.58,26.22,24.76,26.19,25.72
1952,26.15,26.93,26.75,26.75,24.38,25.68,25.68,26.88,26.75,27.38,25.68,26.27,24.83,26.29,25.82
1953,26.19,26.96,26.76,26.76,24.40,25.68,25.68,26.91,26.76,27.42,25.68,26.31,24.83,26.31,25.81
1954,26.26,27.02,26.82,26.82,24.47,25.72,25.72,27.01,26.82,27.49,25.72,26.38,24.86,26.34,25.85
1955,26.40,27.22,26.90,26.90,24.56,25.82,25.82,27.18,26.90,27.68,25.82,26.52,24.94,26.45,25.94
1956,26.10,26.84,26.70,26.70,24.30,25.60,25.60,26.86,26.70,27.28,25.60,26.22,24.77,26.22,25.74
1957,26.05,26.79,26.63,26.63,24.25,25.58,25.58,26.77,26.63,27.26,25.58,26.17,24.74,26.18,25.72
1958,26.59,27.42,27.03,27.03,24.71,25.93,25.93,27.36,27.03,27.88,25.93,26.71,25.03,26.60,26.05
1959,26.31,27.07,26.83,26.83,24.48,25.74,25.74,27.06,26.83,27.52,25.74,26.43,24.87,26.36,25.86
1960,26.42,27.22,26.93,26.93,24.60,25.81,25.81,27.23,26.93,27.66,25.81,26.55,24.92,26.45,25.93
1961,26.66,27.48,27.08,27.08,24.80,25.98,25.98,27.46,27.08,27.98,25.98,26.78,25.08,26.67,26.10
1962,26.65,27.42,27.08,27.08,24.77,25.94,25.94,27.42,27.08,27.88,25.94,26.77,25.05,26.62,26.06
1963,26.66,27.57,27.12,27.12,24.80,26.02,26.02,27.45,27.12,28.03,26.02,26.78,25.11,26.71,26.13
1964,26.52,27.27,26.98,26.98,24.66,25.85,25.85,27.26,26.98,27.71,25.85,26.64,24.98,26.50,25.98
1965,26.18,26.94,26.75,26.75,24.37,25.68,25.68,26.89,26.75,27.38,25.68,26.30,24.82,26.28,25.81
1966,26.63,27.49,27.08,27.08,24.78,25.98,25.98,27.41,27.08,27.93,25.98,26.76,25.06,26.66,26.10
1967,26.10,26.86,26.68,26.68,24.30,25.63,25.63,26.81,26.68,27.33,25.63,26.22,24.82,26.25,25.78
1968,26.14,26.80,26.69,26.69,24.34,25.55,25.55,26.86,26.69,27.28,25.55,26.26,24.76,26.18,25.70
