Variable:,tasmax
,"Costa Rica",Alajuela,Cartago,Guanacaste,Heredia,Limon,Puntarenas,"San Jose"
1901,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1902,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1903,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1904,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1905,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1906,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1907,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1908,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1909,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1910,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1911,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1912,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1913,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1914,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1915,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1916,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1917,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1918,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1919,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1920,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1921,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1922,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1923,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1924,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1925,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1926,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1927,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1928,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1929,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1930,29.69,30.23,24.76,32.02,29.41,28.73,29.76,28.60
1931,29.76,30.33,24.80,32.13,29.48,28.77,29.80,28.64
1932,29.74,30.30,24.78,32.08,29.46,28.76,29.79,28.64
1933,29.67,30.19,24.75,31.98,29.38,28.71,29.74,28.58
1934,29.69,30.23,24.76,32.01,29.41,28.73,29.76,28.59
1935,29.64,30.15,24.72,31.93,29.34,28.69,29.72,28.55
1936,29.87,30.48,24.89,32.32,29.60,28.85,29.87,28.74
1937,29.76,30.32,24.82,32.13,29.48,28.77,29.80,28.65
1938,29.48,29.93,24.61,31.64,29.18,28.59,29.63,28.42
1939,29.62,30.13,24.72,31.91,29.33,28.68,29.72,28.54
1940,29.61,30.12,24.70,31.86,29.31,28.68,29.71,28.52
1941,29.73,30.16,24.85,31.87,29.43,28.86,29.91,28.66
1942,29.61,30.07,24.75,31.77,29.33,28.73,29.75,28.55
1943,29.35,29.71,24.61,31.32,29.07,28.59,29.59,28.39
1944,29.49,29.90,24.68,31.56,29.20,28.65,29.67,28.47
1945,29.62,30.10,24.74,31.83,29.34,28.71,29.74,28.56
1946,29.66,30.14,24.77,31.87,29.37,28.75,29.78,28.58
1947,29.67,30.19,24.75,31.94,29.40,28.73,29.75,28.57
1948,29.58,30.04,24.73,31.74,29.30,28.70,29.71,28.53
1949,29.48,29.95,24.63,31.64,29.20,28.61,29.61,28.45
1950,29.35,29.77,24.55,31.43,29.07,28.51,29.51,28.36
1951,29.74,30.25,24.85,31.97,29.48,28.82,29.83,28.66
1952,29.82,30.34,24.93,32.06,29.57,28.90,29.88,28.74
1953,29.84,30.39,24.93,32.14,29.59,28.90,29.89,28.75
1954,29.45,29.93,24.57,31.65,29.18,28.56,29.57,28.38
1955,29.49,29.99,24.60,31.72,29.22,28.58,29.60,28.42
1956,29.82,30.32,24.90,32.06,29.52,28.90,29.95,28.70
1957,30.25,30.77,25.32,32.51,29.96,29.31,30.36,29.13
1958,30.48,31.00,25.57,32.77,30.19,29.53,30.56,29.39
1959,30.06,30.63,25.08,32.43,29.79,29.06,30.12,28.92
1960,29.89,30.47,24.89,32.27,29.61,28.88,29.96,28.75
1961,29.68,30.20,24.75,31.97,29.39,28.72,29.76,28.61
1962,29.43,29.95,24.52,31.72,29.15,28.48,29.51,28.37
1963,29.74,30.24,24.83,32.00,29.45,28.81,29.85,28.66
1964,29.71,30.25,24.79,32.02,29.44,28.75,29.77,28.64
1965,29.87,30.40,24.95,32.16,29.59,28.91,29.94,28.80
1966,29.89,30.40,24.97,32.18,29.60,28.94,29.98,28.81
1967,29.47,30.00,24.54,31.78,29.19,28.51,29.55,28.37
1968,29.26,29.79,24.33,31.56,28.97,28.30,29.35,28.14
1969,29.63,30.15,24.70,31.94,29.33,28.68,29.72,28.52
