Variable:,tasmax
,Cuba,Camaguey,"Ciego De Avila",Cienfuegos,"Ciudad De La Habana",Granma,Guantanamo,Holguin,"Isla De La Juventud","La Habana","Las Tunas",Matanzas,"Pinar Del Rio","Sancti Spiritus","Santiago De Cuba","Villa Clara"
1901,29.23,29.73,29.53,29.07,28.45,29.71,28.71,29.46,28.62,28.85,30.06,29.08,28.56,29.12,29.18,28.67
1902,29.91,30.42,30.27,29.86,29.25,30.29,28.91,29.97,29.45,29.67,30.73,29.87,29.56,29.86,29.58,29.44
1903,29.74,30.28,30.08,29.61,29.02,30.16,28.86,29.85,29.22,29.44,30.58,29.62,29.35,29.68,29.47,29.21
1904,29.66,30.18,29.98,29.53,29.03,30.11,28.72,29.78,29.13,29.43,30.53,29.59,29.19,29.58,29.40,29.14
1905,30.17,30.74,30.55,30.09,29.50,30.60,29.13,30.28,29.71,29.93,31.04,30.13,29.66,30.14,29.85,29.69
1906,29.59,30.17,29.91,29.39,28.78,30.11,28.77,29.80,29.06,29.23,30.52,29.40,29.10,29.45,29.41,28.98
1907,30.15,30.65,30.53,30.17,29.62,30.46,28.89,30.08,29.77,30.08,30.93,30.24,29.82,30.16,29.63,29.78
1908,30.04,30.60,30.45,29.99,29.42,30.41,28.90,30.06,29.62,29.87,30.88,30.03,29.66,30.04,29.62,29.59
1909,29.89,30.47,30.26,29.77,29.19,30.31,28.79,29.97,29.45,29.64,30.78,29.80,29.52,29.85,29.53,29.38
1910,29.14,29.64,29.49,29.04,28.41,29.56,28.37,29.25,28.59,28.87,29.94,29.07,28.66,29.09,28.91,28.66
1911,30.33,30.88,30.75,30.35,29.77,30.66,29.02,30.28,29.93,30.21,31.15,30.36,30.04,30.35,29.83,29.93
1912,30.16,30.80,30.52,29.95,29.23,30.78,29.23,30.44,29.56,29.70,31.20,29.92,29.54,30.04,29.99,29.52
1913,29.99,30.54,30.32,29.88,29.23,30.50,28.95,30.17,29.55,29.70,30.90,29.89,29.52,29.88,29.72,29.42
1914,29.65,30.20,29.98,29.51,28.85,30.19,28.83,29.86,29.11,29.27,30.58,29.49,29.09,29.53,29.48,29.07
1915,29.61,30.15,29.91,29.39,28.76,30.18,28.96,29.90,29.03,29.18,30.54,29.39,29.06,29.47,29.53,28.98
1916,29.81,30.29,30.13,29.72,29.21,30.23,28.85,29.91,29.34,29.59,30.64,29.77,29.42,29.72,29.52,29.32
1917,29.59,30.09,29.94,29.52,28.94,30.02,28.63,29.69,29.07,29.37,30.43,29.56,29.13,29.55,29.30,29.13
1918,29.95,30.47,30.30,29.83,29.31,30.40,28.90,30.07,29.44,29.70,30.81,29.87,29.60,29.87,29.65,29.44
1919,30.06,30.59,30.41,29.99,29.42,30.50,29.03,30.17,29.58,29.82,30.93,30.00,29.66,29.98,29.75,29.56
1920,29.88,30.41,30.24,29.77,29.15,30.35,28.96,30.05,29.35,29.56,30.79,29.77,29.36,29.80,29.64,29.35
1921,30.40,30.88,30.80,30.45,30.03,30.67,29.01,30.32,30.03,30.38,31.16,30.50,30.13,30.42,29.85,30.04
1922,30.25,30.80,30.66,30.22,29.76,30.59,28.92,30.23,29.90,30.10,31.07,30.23,30.08,30.26,29.75,29.80
1923,30.17,30.70,30.58,30.14,29.63,30.49,28.99,30.16,29.75,30.01,30.96,30.16,29.86,30.17,29.73,29.73
1924,30.28,30.87,30.66,30.20,29.49,30.72,29.38,30.44,29.75,29.94,31.18,30.18,29.70,30.24,30.02,29.77
1925,30.37,30.93,30.76,30.33,29.70,30.78,29.22,30.45,29.91,30.15,31.25,30.35,29.89,30.34,29.99,29.90
1926,30.21,30.75,30.57,30.12,29.45,30.64,29.32,30.36,29.68,29.92,31.08,30.14,29.65,30.17,29.94,29.72
1927,30.31,30.75,30.65,30.28,29.84,30.58,29.23,30.28,30.03,30.29,31.03,30.38,30.14,30.26,29.85,29.86
1928,29.89,30.38,30.20,29.74,29.18,30.32,29.06,30.03,29.42,29.67,30.73,29.79,29.51,29.79,29.61,29.35
1929,30.34,30.90,30.67,30.15,29.57,30.84,29.31,30.53,29.92,30.09,31.27,30.18,29.94,30.24,30.09,29.75
1930,29.87,30.45,30.24,29.70,29.01,30.37,29.04,30.06,29.33,29.49,30.79,29.69,29.37,29.79,29.64,29.29
1931,29.80,30.30,30.12,29.62,29.04,30.26,29.11,29.97,29.31,29.48,30.66,29.68,29.33,29.69,29.56,29.22
1932,30.32,30.82,30.65,30.18,29.66,30.71,29.34,30.40,29.93,30.13,31.15,30.28,30.00,30.23,29.96,29.78
1933,30.37,30.88,30.71,30.28,29.69,30.73,29.39,30.44,29.96,30.15,31.20,30.32,30.04,30.30,30.01,29.86
1934,30.12,30.62,30.48,30.04,29.53,30.45,29.06,30.13,29.76,30.00,30.92,30.12,29.80,30.08,29.71,29.64
1935,30.07,30.58,30.45,30.01,29.47,30.41,29.00,30.08,29.67,29.93,30.86,30.08,29.75,30.04,29.67,29.61
1936,30.16,30.71,30.50,30.00,29.36,30.64,29.24,30.34,29.68,29.85,31.06,30.03,29.74,30.08,29.90,29.60
1937,30.19,30.74,30.54,30.05,29.42,30.64,29.25,30.34,29.73,29.90,31.08,30.08,29.77,30.12,29.90,29.66
1938,30.25,30.74,30.63,30.24,29.65,30.54,29.08,30.25,29.91,30.12,31.01,30.31,29.97,30.23,29.80,29.82
1939,30.45,30.96,30.85,30.41,29.85,30.73,29.24,30.44,30.14,30.35,31.24,30.49,30.15,30.43,29.97,30.01
