Variable:,tasmax
,"Christmas Island","Administrative unit not available"
1901,30.41,30.41
1902,30.29,30.29
1903,30.33,30.33
1904,30.37,30.37
1905,30.48,30.48
1906,30.43,30.43
1907,30.22,30.22
1908,30.48,30.48
1909,30.37,30.37
1910,30.31,30.31
1911,30.27,30.27
1912,30.48,30.48
1913,30.44,30.44
1914,30.58,30.58
1915,30.60,30.60
1916,30.21,30.21
1917,30.49,30.49
1918,30.43,30.43
1919,30.47,30.47
1920,30.50,30.50
1921,30.28,30.28
1922,30.35,30.35
1923,30.40,30.40
1924,30.58,30.58
1925,30.53,30.53
1926,30.71,30.71
1927,30.63,30.63
1928,30.62,30.62
1929,30.48,30.48
1930,30.69,30.69
1931,30.88,30.88
1932,30.58,30.58
1933,30.57,30.57
1934,30.48,30.48
1935,30.62,30.62
1936,30.70,30.70
1937,30.67,30.67
1938,30.70,30.70
1939,30.65,30.65
1940,30.65,30.65
1941,31.02,31.02
1942,30.98,30.98
1943,30.47,30.47
1944,30.76,30.76
1945,30.80,30.80
1946,31.13,31.13
1947,31.10,31.10
1948,30.93,30.93
1949,30.80,30.80
1950,30.62,30.62
1951,30.73,30.73
1952,30.76,30.76
1953,30.91,30.91
1954,30.78,30.78
1955,30.61,30.61
1956,30.65,30.65
1957,30.91,30.91
1958,30.93,30.93
1959,30.63,30.63
1960,30.48,30.48
1961,30.77,30.77
1962,30.37,30.37
1963,30.64,30.64
1964,30.53,30.53
1965,30.71,30.71
1966,30.84,30.84
1967,30.89,30.89
1968,30.48,30.48
1969,31.14,31.14
1970,30.84,30.84
1971,30.78,30.78
1972,31.44,31.44
1973,31.73,31.73
1974,31.24,31.24
1975,31.43,31.43
1976,31.22,31.22
1977,31.25,31.25
1978,30.97,30.97
1979,31.19,31.19
1980,31.21,31.21
1981,30.97,30.97
1982,31.52,31.52
1983,31.36,31.36
1984,30.63,30.63
1985,30.99,30.99
1986,30.93,30.93
1987,31.35,31.35
1988,30.86,30.86
1989,30.98,30.98
1990,31.13,31.13
1991,31.20,31.20
1992,31.33,31.33
1993,31.25,31.25
1994,31.28,31.28
1995,31.35,31.35
1996,31.23,31.23
1997,31.34,31.34
1998,31.56,31.56
1999,31.20,31.20
2000,31.31,31.31
2001,30.77,30.77
2002,31.05,31.05
2003,31.12,31.12
2004,31.43,31.43
2005,31.10,31.10
2006,31.14,31.14
2007,31.27,31.27
2008,31.14,31.14
2009,31.26,31.26
2010,31.01,31.01
2011,31.11,31.11
2012,31.15,31.15
2013,31.24,31.24
2014,31.12,31.12
2015,31.31,31.31
2016,30.93,30.93
2017,31.23,31.23
2018,31.26,31.26
2019,31.47,31.47
2020,31.07,31.07
