Variable:,tasmax
,"Czech Republic",Jihocesky,Jihomoravsky,Praha,Severocesky,Severomoravsky,Stredocesky,Vychodocesky,Zapadocesky
1901,11.36,11.19,11.85,11.98,11.56,11.03,11.81,11.14,10.75
1902,10.69,10.75,11.14,11.37,10.73,10.16,11.14,10.32,10.30
1903,11.98,11.81,12.42,12.65,12.26,11.60,12.43,11.70,11.48
1904,12.01,11.97,12.40,12.73,12.25,11.45,12.51,11.70,11.60
1905,11.49,11.45,11.95,12.16,11.64,11.10,11.95,11.20,10.92
1906,11.74,11.57,12.14,12.41,12.10,11.31,12.21,11.48,11.20
1907,11.44,11.47,11.87,12.14,11.60,10.86,11.93,11.13,10.98
1908,10.99,10.91,11.48,11.69,11.19,10.56,11.47,10.72,10.39
1909,10.75,10.58,11.30,11.41,10.87,10.48,11.17,10.49,10.10
1910,11.64,11.39,12.14,12.31,11.86,11.40,12.06,11.41,10.98
1911,12.41,12.18,12.80,13.16,12.78,12.01,12.91,12.19,11.90
1912,10.86,10.72,11.27,11.59,11.14,10.40,11.34,10.60,10.40
1913,11.52,11.26,11.90,12.27,11.89,11.13,12.02,11.31,10.99
1914,11.35,11.08,11.68,12.10,11.80,10.95,11.86,11.17,10.85
1915,11.20,11.05,11.70,11.87,11.34,10.91,11.62,10.95,10.63
1916,11.97,11.88,12.54,12.58,11.99,11.70,12.35,11.70,11.29
1917,11.15,10.98,11.66,11.81,11.32,10.86,11.57,10.93,10.50
1918,12.01,11.78,12.41,12.72,12.26,11.69,12.48,11.85,11.40
1919,10.68,10.54,11.20,11.36,10.80,10.40,11.11,10.43,10.06
1920,12.06,11.95,12.46,12.82,12.26,11.60,12.56,11.83,11.56
1921,12.55,12.42,12.88,13.33,12.84,12.04,13.07,12.32,12.14
1922,10.41,10.42,10.94,11.05,10.45,9.99,10.80,10.06,9.89
1923,11.38,11.36,11.92,12.00,11.38,11.02,11.76,11.03,10.89
1924,10.63,10.52,11.04,11.37,10.90,10.16,11.09,10.34,10.19
1925,11.44,11.21,11.87,12.13,11.73,11.15,11.86,11.20,10.88
1926,11.90,11.84,12.38,12.56,12.05,11.51,12.29,11.57,11.41
1927,11.34,11.40,11.92,11.95,11.28,10.96,11.69,10.92,10.87
