Variable:,tasmax
,Djibouti,"Ali Sabieh",Dikhil,Djibouti,Obock,Tadjourah
1901,32.96,32.36,33.15,33.23,33.31,32.57
1902,33.15,32.56,33.38,33.41,33.46,32.76
1903,33.55,32.97,33.87,33.78,33.73,33.14
1904,33.14,32.54,33.39,33.40,33.43,32.74
1905,33.26,32.67,33.48,33.52,33.55,32.87
1906,33.36,32.75,33.64,33.60,33.59,32.97
1907,33.19,32.58,33.50,33.41,33.38,32.78
1908,33.25,32.67,33.47,33.52,33.56,32.86
1909,32.76,32.16,33.00,33.01,33.06,32.37
1910,33.89,33.32,34.28,34.10,33.99,33.47
1911,33.88,33.25,34.23,34.06,34.02,33.47
1912,33.09,32.44,33.33,33.32,33.39,32.72
1913,33.07,32.45,33.30,33.33,33.38,32.69
1914,33.06,32.46,33.29,33.32,33.36,32.67
1915,32.92,32.32,33.09,33.20,33.30,32.54
1916,32.92,32.31,33.08,33.20,33.30,32.53
1917,32.92,32.33,33.09,33.21,33.30,32.54
1918,32.92,32.33,33.09,33.21,33.30,32.54
1919,32.92,32.32,33.09,33.20,33.30,32.54
1920,32.92,32.32,33.08,33.20,33.30,32.53
1921,32.93,32.35,33.10,33.22,33.30,32.54
1922,32.94,32.39,33.11,33.24,33.30,32.53
1923,32.92,32.32,33.08,33.20,33.30,32.53
1924,32.95,32.42,33.14,33.26,33.30,32.54
1925,32.93,32.37,33.11,33.24,33.30,32.54
1926,32.93,32.35,33.11,33.22,33.30,32.54
1927,32.93,32.35,33.11,33.22,33.30,32.54
1928,32.94,32.39,33.14,33.24,33.30,32.54
1929,32.92,32.31,33.09,33.20,33.30,32.54
1930,32.91,32.27,33.07,33.18,33.30,32.53
1931,32.93,32.37,33.11,33.23,33.30,32.54
1932,32.92,32.33,33.09,33.21,33.30,32.54
1933,32.92,32.33,33.09,33.21,33.30,32.54
1934,32.92,32.32,33.08,33.20,33.30,32.54
1935,32.92,32.32,33.10,33.20,33.30,32.54
1936,32.92,32.33,33.10,33.21,33.30,32.54
1937,32.87,32.30,33.02,33.18,33.26,32.48
1938,32.89,32.28,33.05,33.18,33.28,32.51
1939,32.88,32.29,33.04,33.18,33.27,32.49
1940,32.85,32.29,32.99,33.16,33.25,32.46
1941,32.84,32.28,33.01,33.15,33.20,32.43
1942,32.69,32.18,32.87,33.04,33.07,32.26
1943,32.10,31.77,32.26,32.59,32.47,31.59
1944,32.43,32.03,32.59,32.86,32.80,31.95
1945,32.41,31.99,32.56,32.84,32.79,31.95
1946,32.81,32.32,32.96,33.18,33.20,32.38
1947,31.92,31.42,32.11,32.27,32.24,31.49
1948,31.80,31.26,31.95,32.14,32.20,31.39
1949,30.56,29.97,30.73,30.85,30.96,30.17
1950,30.85,30.14,31.00,31.06,31.26,30.51
1951,31.59,31.16,31.89,31.91,31.76,31.14
1952,31.91,31.40,32.21,32.19,32.09,31.49
1953,32.98,32.54,33.21,33.34,33.28,32.53
1954,33.06,32.55,33.29,33.39,33.38,32.62
1955,33.67,33.15,33.81,34.04,34.10,33.24
1956,32.39,31.83,32.58,32.70,32.76,31.98
