Variable:,tasmax
,"Dominican Republic",Azua,Baoruco,Barahona,Dajabon,"Santo Domingo",Duarte,"El Seibo",Espaillat,Independencia,"La Altagracia","Elias Pina","La Romana","La Vega","Maria Trinidad Sanches","Monte Cristi",Pedernales,Peravia,"Puerto Plata",Salcedo,Samana,"San Cristobal","San Juan","San Pedro de Macoris","Sanchez Ramirez",Santiago,"Santiago Rodriguez",Valverde,"Hato Mayor","Monsenor Nouel","Monte Plata","San José de Ocoa","Distrito Nacional"
1901,27.98,25.86,27.58,28.83,28.58,28.91,29.04,28.87,28.94,27.46,29.29,27.05,29.44,25.45,29.54,30.17,29.06,29.50,29.59,28.99,29.76,28.37,26.31,29.33,28.42,26.15,25.06,29.15,29.07,26.96,28.69,25.57,30.09
1902,27.66,25.52,27.29,28.52,28.36,28.55,28.70,28.48,28.66,27.18,28.88,26.80,29.03,25.14,29.22,29.96,28.74,29.14,29.33,28.67,29.40,28.01,26.03,28.94,28.08,25.87,24.79,28.90,28.69,26.61,28.33,25.22,29.71
1903,27.71,25.58,27.33,28.56,28.37,28.62,28.77,28.57,28.69,27.22,28.98,26.82,29.13,25.19,29.28,29.96,28.80,29.22,29.36,28.73,29.48,28.08,26.06,29.03,28.15,25.90,24.82,28.93,28.77,26.68,28.40,25.29,29.78
1904,27.30,25.16,26.94,28.16,28.07,28.15,28.34,28.06,28.31,26.84,28.45,26.49,28.60,24.79,28.84,29.65,28.39,28.75,29.00,28.31,29.02,27.62,25.69,28.53,27.71,25.54,24.48,28.58,28.28,26.24,27.94,24.85,29.29
1905,27.73,25.58,27.35,28.57,28.52,28.59,28.78,28.47,28.74,27.26,28.88,26.92,29.03,25.23,29.29,30.09,28.80,29.18,29.45,28.75,29.46,28.06,26.10,28.95,28.15,25.99,24.90,29.02,28.70,26.68,28.38,25.28,29.72
1906,27.44,25.31,27.08,28.30,28.19,28.30,28.49,28.23,28.44,26.98,28.63,26.62,28.79,24.94,29.00,29.77,28.54,28.89,29.14,28.46,29.18,27.78,25.83,28.70,27.87,25.68,24.60,28.71,28.45,26.40,28.09,25.01,29.44
1907,27.14,25.00,26.81,28.01,28.00,27.97,28.17,27.80,28.15,26.72,28.21,26.41,28.36,24.65,28.67,29.58,28.25,28.54,28.90,28.15,28.82,27.44,25.57,28.29,27.54,25.43,24.38,28.48,28.04,26.08,27.76,24.69,29.08
1908,27.36,25.23,27.01,28.22,28.17,28.21,28.41,28.10,28.37,26.93,28.51,26.58,28.66,24.86,28.92,29.75,28.46,28.81,29.08,28.39,29.09,27.69,25.75,28.58,27.78,25.60,24.52,28.66,28.33,26.31,28.01,24.92,29.33
1909,27.02,24.88,26.71,27.91,27.88,27.83,28.03,27.71,28.00,26.63,28.12,26.28,28.28,24.50,28.53,29.44,28.18,28.45,28.75,28.01,28.69,27.32,25.45,28.19,27.41,25.27,24.22,28.34,27.94,25.94,27.62,24.56,28.97
1910,26.92,24.80,26.59,27.82,27.72,27.78,27.90,27.65,27.88,26.52,28.08,26.14,28.24,24.39,28.41,29.28,28.10,28.39,28.59,27.88,28.59,27.26,25.32,28.13,27.30,25.14,24.10,28.18,27.85,25.86,27.55,24.49,28.93
1911,27.34,25.20,26.96,28.18,28.14,28.19,28.38,28.09,28.34,26.87,28.49,26.54,28.64,24.84,28.89,29.72,28.40,28.78,29.07,28.35,29.07,27.66,25.71,28.56,27.76,25.58,24.51,28.65,28.31,26.28,27.99,24.90,29.33
1912,27.73,25.60,27.37,28.55,28.51,28.59,28.80,28.48,28.77,27.24,28.87,26.92,29.02,25.25,29.31,30.10,28.77,29.15,29.46,28.78,29.49,28.04,26.14,28.95,28.17,26.00,24.91,29.03,28.71,26.68,28.38,25.29,29.72
1913,27.03,24.89,26.70,27.91,27.90,27.85,28.07,27.71,28.07,26.62,28.10,26.29,28.26,24.54,28.57,29.49,28.15,28.44,28.78,28.06,28.71,27.34,25.45,28.19,27.45,25.30,24.25,28.38,27.94,25.98,27.64,24.58,28.98
1914,27.50,25.36,27.10,28.32,28.21,28.40,28.58,28.33,28.50,26.98,28.73,26.64,28.89,24.99,29.08,29.80,28.54,28.98,29.19,28.55,29.28,27.86,25.86,28.80,27.96,25.72,24.65,28.76,28.56,26.48,28.18,25.08,29.55
1915,27.78,25.68,27.40,28.66,28.46,28.70,28.82,28.61,28.74,27.29,29.03,26.88,29.19,25.26,29.31,30.03,28.90,29.30,29.41,28.79,29.53,28.16,26.12,29.09,28.22,25.96,24.87,28.98,28.82,26.75,28.48,25.37,29.87
1916,27.39,25.25,27.03,28.29,28.10,28.28,28.40,28.19,28.36,26.95,28.62,26.54,28.79,24.85,28.91,29.68,28.55,28.91,29.03,28.37,29.11,27.75,25.76,28.67,27.79,25.58,24.51,28.61,28.39,26.33,28.05,24.94,29.46
1917,27.10,24.98,26.75,27.99,27.87,27.95,28.13,27.83,28.08,26.67,28.26,26.29,28.42,24.58,28.64,29.44,28.25,28.59,28.78,28.10,28.81,27.44,25.48,28.32,27.50,25.31,24.24,28.36,28.06,26.03,27.73,24.66,29.12
1918,27.46,25.32,27.05,28.30,28.14,28.38,28.53,28.30,28.45,26.94,28.73,26.57,28.88,24.92,29.03,29.72,28.52,28.99,29.12,28.49,29.24,27.85,25.79,28.76,27.91,25.64,24.56,28.67,28.50,26.44,28.17,25.04,29.53
1919,27.66,25.54,27.26,28.50,28.35,28.56,28.73,28.50,28.68,27.13,28.92,26.77,29.07,25.17,29.25,29.94,28.69,29.17,29.33,28.70,29.45,28.03,26.01,28.96,28.11,25.89,24.79,28.90,28.70,26.63,28.36,25.24,29.71
1920,27.57,25.43,27.15,28.39,28.22,28.52,28.67,28.45,28.59,27.01,28.87,26.65,29.02,25.05,29.18,29.80,28.56,29.08,29.24,28.62,29.39,27.96,25.89,28.92,28.04,25.77,24.66,28.78,28.67,26.56,28.31,25.16,29.66
1921,27.20,25.05,26.84,28.06,28.00,28.07,28.23,27.94,28.19,26.75,28.36,26.41,28.52,24.68,28.73,29.56,28.30,28.69,28.90,28.20,28.91,27.54,25.58,28.43,27.61,25.43,24.36,28.47,28.16,26.13,27.85,24.75,29.22
1922,26.91,24.79,26.56,27.82,27.69,27.81,27.92,27.71,27.87,26.47,28.14,26.09,28.30,24.37,28.42,29.24,28.06,28.40,28.56,27.89,28.63,27.27,25.28,28.20,27.32,25.10,24.02,28.14,27.92,25.86,27.59,24.48,28.97
1923,27.68,25.56,27.26,28.53,28.29,28.64,28.74,28.58,28.64,27.13,29.03,26.72,29.19,25.15,29.26,29.88,28.73,29.23,29.26,28.68,29.50,28.07,25.98,29.06,28.12,25.84,24.73,28.83,28.78,26.65,28.42,25.26,29.82
1924,28.01,25.88,27.64,28.83,28.77,28.87,29.07,28.77,29.05,27.53,29.15,27.20,29.30,25.52,29.59,30.36,29.06,29.45,29.75,29.05,29.75,28.34,26.42,29.24,28.45,26.27,25.21,29.31,29.00,26.97,28.66,25.58,30.00
1925,27.72,25.58,27.33,28.54,28.47,28.60,28.78,28.49,28.76,27.21,28.89,26.88,29.05,25.22,29.30,30.07,28.76,29.21,29.46,28.76,29.46,28.08,26.10,28.97,28.16,25.97,24.90,29.01,28.71,26.69,28.39,25.30,29.73
1926,28.11,25.99,27.73,28.96,28.83,28.99,29.19,28.90,29.13,27.60,29.30,27.26,29.46,25.61,29.69,30.43,29.17,29.59,29.81,29.16,29.86,28.47,26.48,29.38,28.56,26.34,25.27,29.39,29.13,27.09,28.79,25.70,30.13
1927,27.79,25.67,27.39,28.63,28.50,28.70,28.85,28.60,28.79,27.30,29.02,26.92,29.17,25.28,29.36,30.09,28.85,29.27,29.47,28.82,29.55,28.15,26.13,29.07,28.24,26.00,24.92,29.04,28.81,26.76,28.48,25.37,29.84
1928,27.73,25.60,27.34,28.58,28.40,28.66,28.77,28.57,28.73,27.23,28.97,26.84,29.13,25.22,29.29,30.00,28.81,29.25,29.39,28.74,29.50,28.12,26.08,29.05,28.17,25.93,24.84,28.96,28.79,26.71,28.43,25.32,29.82
1929,27.41,25.29,27.06,28.28,28.25,28.25,28.43,28.11,28.42,26.97,28.52,26.64,28.68,24.92,28.94,29.84,28.52,28.84,29.15,28.41,29.10,27.72,25.81,28.60,27.81,25.67,24.61,28.74,28.34,26.35,28.03,24.97,29.39
1930,27.77,25.63,27.35,28.58,28.45,28.70,28.86,28.61,28.79,27.23,29.02,26.87,29.17,25.27,29.37,30.04,28.78,29.24,29.44,28.82,29.56,28.13,26.11,29.09,28.23,25.99,24.90,29.00,28.83,26.75,28.50,25.35,29.85
1931,27.99,25.87,27.60,28.85,28.65,28.91,29.06,28.84,28.97,27.51,29.25,27.10,29.41,25.47,29.55,30.23,29.09,29.51,29.61,29.02,29.77,28.37,26.32,29.32,28.44,26.17,25.08,29.18,29.06,26.96,28.70,25.58,30.06
1932,28.05,25.93,27.62,28.89,28.63,29.04,29.12,28.98,29.00,27.51,29.44,27.09,29.60,25.50,29.62,30.22,29.12,29.63,29.62,29.06,29.86,28.47,26.35,29.46,28.51,26.19,25.09,29.18,29.17,27.03,28.83,25.64,30.22
1933,28.05,25.95,27.70,28.96,28.69,28.97,29.08,28.88,28.99,27.60,29.28,27.16,29.46,25.53,29.57,30.24,29.21,29.61,29.63,29.04,29.78,28.44,26.41,29.38,28.48,26.23,25.13,29.20,29.10,27.01,28.74,25.63,30.16
1934,27.92,25.86,27.57,28.90,28.46,28.93,28.91,28.82,28.77,27.46,29.28,26.96,29.46,25.37,29.39,30.01,29.12,29.59,29.41,28.85,29.66,28.41,26.24,29.33,28.35,26.02,24.92,28.99,29.01,26.93,28.68,25.56,30.13
1935,27.66,25.59,27.35,28.64,28.31,28.58,28.64,28.47,28.55,27.27,28.90,26.80,29.08,25.11,29.11,29.86,28.89,29.28,29.21,28.60,29.32,28.08,26.04,28.98,28.06,25.81,24.75,28.80,28.67,26.62,28.34,25.26,29.76
1936,27.91,25.81,27.57,28.84,28.56,28.84,28.89,28.72,28.81,27.49,29.17,27.04,29.35,25.35,29.38,30.11,29.11,29.49,29.49,28.86,29.59,28.32,26.28,29.22,28.31,26.06,24.99,29.06,28.92,26.88,28.60,25.50,30.02
1937,27.76,25.63,27.37,28.62,28.49,28.66,28.80,28.58,28.73,27.30,29.02,26.92,29.18,25.22,29.30,30.07,28.88,29.26,29.43,28.76,29.51,28.12,26.10,29.06,28.18,25.96,24.91,29.00,28.78,26.71,28.44,25.33,29.82
1938,27.55,25.44,27.23,28.49,28.29,28.42,28.52,28.30,28.47,27.15,28.73,26.74,28.90,25.01,29.01,29.86,28.75,29.06,29.18,28.49,29.18,27.90,25.95,28.80,27.93,25.75,24.70,28.78,28.51,26.48,28.18,25.11,29.60
1939,27.91,25.81,27.54,28.80,28.54,28.85,28.93,28.76,28.85,27.43,29.21,27.00,29.38,25.38,29.42,30.13,29.03,29.44,29.50,28.89,29.64,28.30,26.25,29.26,28.33,26.08,24.97,29.08,28.96,26.88,28.62,25.50,30.05
1940,28.20,26.12,27.84,29.15,28.72,29.20,29.19,29.14,29.05,27.72,29.61,27.22,29.78,25.63,29.66,30.25,29.38,29.84,29.67,29.13,29.93,28.65,26.52,29.63,28.62,26.29,25.19,29.24,29.32,27.18,28.96,25.81,30.43
1941,28.39,26.33,28.02,29.34,28.90,29.39,29.39,29.33,29.27,27.93,29.77,27.42,29.95,25.85,29.88,30.45,29.58,30.04,29.86,29.32,30.14,28.86,26.71,29.83,28.81,26.51,25.40,29.44,29.52,27.39,29.15,26.02,30.60
1942,28.46,26.38,28.07,29.37,28.99,29.44,29.50,29.35,29.37,27.97,29.81,27.49,29.98,25.93,29.99,30.57,29.58,30.08,30.00,29.45,30.22,28.90,26.77,29.85,28.91,26.60,25.48,29.56,29.54,27.45,29.20,26.07,30.63
1943,27.86,25.78,27.53,28.79,28.53,28.78,28.85,28.67,28.78,27.43,29.09,26.99,29.27,25.34,29.34,30.07,29.03,29.43,29.46,28.81,29.55,28.27,26.23,29.17,28.26,26.03,24.92,29.02,28.88,26.83,28.55,25.47,29.94
1944,28.03,25.92,27.63,28.91,28.58,29.02,29.07,28.98,28.95,27.51,29.44,27.06,29.60,25.49,29.57,30.16,29.12,29.62,29.59,29.02,29.81,28.46,26.34,29.45,28.48,26.16,25.04,29.14,29.16,27.02,28.78,25.64,30.22
