Variable:,tasmax
,Egypt,Alexandria,Assiut,Aswan,Behera,"Beni Suef",Cairo,Dakahlia,Damietta,Fayoum,Gharbia,Giza,Ismailia,"Kafr El-Shikh",Kalyoubia,Luxor,Matrouh,Menia,Menoufia,"New Valley","North Sinai","Port Said",Qena,"Red Sea",Shrkia,"South Sinai",Suez,Suhag
1901,29.58,26.01,28.82,33.58,26.46,28.24,27.17,25.79,25.25,28.41,26.59,28.14,26.65,25.54,27.86,32.34,26.75,28.76,27.41,30.91,26.10,27.04,31.05,30.26,26.80,26.09,27.08,29.89
1902,29.11,25.40,28.27,33.06,25.80,27.57,26.38,25.02,24.47,27.75,25.85,27.58,25.82,24.82,27.11,31.84,26.35,28.19,26.69,30.53,25.26,26.21,30.54,29.77,26.01,25.30,26.27,29.37
1903,28.37,24.48,27.24,32.32,24.84,26.56,25.35,24.01,23.43,26.74,24.84,26.64,24.76,23.85,26.08,30.83,25.67,27.20,25.67,29.93,24.19,25.19,29.53,28.98,24.97,24.25,25.23,28.33
1904,28.67,24.98,27.89,32.54,25.38,27.19,26.00,24.61,24.06,27.34,25.42,27.17,25.42,24.39,26.69,31.42,25.94,27.80,26.27,30.09,24.85,25.82,30.10,29.26,25.60,24.89,25.91,28.98
1905,28.96,25.32,28.32,32.63,25.72,27.64,26.38,24.91,24.34,27.77,25.75,27.60,25.73,24.70,27.04,31.72,26.30,28.26,26.60,30.35,25.14,26.11,30.45,29.50,25.92,25.28,26.29,29.37
1906,29.53,25.62,28.91,33.48,26.06,28.16,26.78,25.22,24.66,28.25,26.07,28.05,26.07,24.99,27.39,32.47,26.57,28.79,26.96,30.97,25.51,26.42,31.16,30.26,26.25,25.75,26.72,30.01
1907,28.90,24.96,28.21,32.79,25.41,27.46,26.10,24.55,23.98,27.57,25.40,27.39,25.40,24.34,26.73,31.74,26.01,28.11,26.30,30.39,24.81,25.75,30.44,29.52,25.57,25.05,26.02,29.30
1908,29.13,25.17,28.51,33.00,25.61,27.74,26.30,24.70,24.13,27.85,25.57,27.67,25.56,24.51,26.92,32.01,26.22,28.40,26.50,30.62,25.01,25.91,30.72,29.80,25.74,25.30,26.23,29.60
1909,30.07,26.27,29.56,33.92,26.73,28.83,27.43,25.86,25.29,28.95,26.71,28.73,26.73,25.64,28.07,33.08,27.16,29.46,27.63,31.46,26.18,27.09,31.78,30.75,26.89,26.41,27.36,30.65
1910,29.05,25.21,28.41,32.82,25.63,27.68,26.33,24.78,24.20,27.79,25.64,27.61,25.61,24.58,26.97,31.88,26.24,28.32,26.53,30.50,25.03,25.95,30.60,29.66,25.80,25.26,26.24,29.49
1911,29.08,25.09,28.36,33.09,25.52,27.58,26.22,24.66,24.08,27.69,25.51,27.52,25.49,24.46,26.83,31.93,26.16,28.23,26.41,30.59,24.90,25.82,30.62,29.79,25.67,25.15,26.13,29.47
1912,29.03,25.32,28.37,32.83,25.72,27.66,26.37,24.89,24.33,27.80,25.72,27.61,25.73,24.70,27.03,31.84,26.28,28.29,26.60,30.44,25.14,26.08,30.55,29.62,25.90,25.30,26.27,29.43
1913,28.90,25.29,28.23,32.63,25.70,27.53,26.32,24.89,24.33,27.69,25.73,27.52,25.73,24.69,27.00,31.71,26.24,28.16,26.58,30.28,25.14,26.11,30.41,29.46,25.89,25.21,26.24,29.30
1914,29.57,25.76,28.94,33.53,26.19,28.20,26.89,25.38,24.83,28.32,26.21,28.13,26.23,25.15,27.53,32.52,26.69,28.83,27.10,31.00,25.66,26.59,31.21,30.22,26.40,25.82,26.81,30.05
1915,30.48,26.57,29.94,34.53,27.03,29.19,27.75,26.14,25.57,29.30,27.00,29.10,27.05,25.91,28.33,33.57,27.45,29.84,27.93,31.90,26.49,27.37,32.23,31.26,27.19,26.73,27.67,31.06
1916,30.40,26.85,29.96,34.00,27.31,29.33,28.04,26.53,25.99,29.46,27.35,29.21,27.43,26.28,28.66,33.40,27.61,29.90,28.23,31.68,26.89,27.78,32.11,31.05,27.55,27.01,27.97,31.01
1917,29.90,26.20,29.34,33.72,26.66,28.68,27.37,25.86,25.32,28.81,26.68,28.57,26.76,25.62,28.02,32.92,27.02,29.27,27.57,31.26,26.21,27.12,31.59,30.60,26.90,26.34,27.30,30.43
1918,29.79,26.11,29.18,33.55,26.53,28.49,27.17,25.68,25.13,28.64,26.52,28.45,26.54,25.48,27.82,32.68,27.04,29.12,27.40,31.15,25.97,26.89,31.39,30.41,26.68,26.09,27.08,30.26
1919,30.16,26.41,29.61,34.08,26.85,28.89,27.54,26.00,25.44,29.02,26.85,28.82,26.88,25.77,28.17,33.14,27.26,29.52,27.76,31.53,26.32,27.22,31.85,30.88,27.03,26.49,27.46,30.69
1920,29.38,25.76,28.81,33.05,26.20,28.09,26.86,25.39,24.84,28.25,26.22,28.05,26.25,25.17,27.53,32.36,26.64,28.72,27.10,30.76,25.69,26.62,31.05,29.86,26.41,25.78,26.77,29.91
1921,29.62,25.51,28.93,33.77,25.94,28.09,26.65,25.05,24.48,28.19,25.90,28.02,25.95,24.83,27.24,32.69,26.55,28.75,26.83,31.19,25.40,26.26,31.33,30.30,26.09,25.63,26.57,30.12
1922,30.03,26.33,29.48,33.83,26.76,28.76,27.41,25.89,25.33,28.90,26.74,28.69,26.76,25.68,28.06,33.07,27.23,29.38,27.64,31.40,26.19,27.10,31.75,30.66,26.92,26.35,27.32,30.60
1923,29.88,26.41,29.39,33.48,26.84,28.73,27.48,26.05,25.51,28.89,26.86,28.65,26.88,25.83,28.15,32.85,27.19,29.32,27.74,31.17,26.33,27.26,31.57,30.46,27.04,26.42,27.39,30.44
1924,29.88,26.27,29.31,33.58,26.72,28.65,27.40,25.93,25.40,28.81,26.75,28.60,26.80,25.67,28.06,32.77,27.16,29.26,27.63,31.22,26.23,27.17,31.47,30.44,26.95,26.33,27.31,30.37
1925,29.95,26.36,29.37,33.71,26.79,28.70,27.47,26.03,25.48,28.85,26.85,28.63,26.88,25.80,28.15,32.92,27.17,29.29,27.72,31.30,26.32,27.25,31.61,30.53,27.03,26.40,27.38,30.46
1926,29.64,26.23,29.06,33.22,26.64,28.43,27.25,25.87,25.33,28.58,26.68,28.38,26.70,25.68,27.97,32.46,27.09,29.02,27.52,30.93,26.12,27.11,31.18,30.13,26.85,26.15,27.16,30.09
1927,30.10,26.62,29.52,33.78,27.02,28.88,27.63,26.22,25.68,29.03,27.03,28.83,27.04,26.02,28.31,32.95,27.49,29.49,27.89,31.38,26.46,27.44,31.66,30.69,27.19,26.54,27.54,30.56
1928,30.47,26.79,29.89,34.49,27.24,29.22,27.95,26.44,25.88,29.39,27.27,29.14,27.34,26.18,28.61,33.46,27.58,29.81,28.17,31.79,26.78,27.67,32.14,31.23,27.48,26.88,27.86,30.98
1929,29.91,26.17,29.35,33.79,26.67,28.71,27.47,25.95,25.42,28.82,26.75,28.56,26.90,25.68,28.12,32.88,26.95,29.27,27.64,31.27,26.37,27.24,31.58,30.60,27.01,26.47,27.42,30.43
1930,30.22,26.58,29.67,34.02,27.01,28.97,27.68,26.22,25.66,29.11,27.05,28.91,27.08,25.99,28.36,33.24,27.43,29.60,27.92,31.55,26.52,27.46,31.92,30.91,27.23,26.61,27.61,30.78
1931,30.22,26.45,29.63,34.17,26.89,28.88,27.55,26.08,25.53,29.00,26.91,28.83,26.93,25.87,28.20,33.21,27.34,29.53,27.78,31.61,26.34,27.30,31.88,30.91,27.09,26.49,27.47,30.73
1932,30.15,26.36,29.65,33.97,26.82,28.88,27.52,26.03,25.50,28.96,26.84,28.80,26.89,25.80,28.16,33.22,27.25,29.54,27.72,31.54,26.35,27.26,31.91,30.80,27.04,26.53,27.46,30.76
1933,29.93,25.69,29.29,34.11,26.16,28.41,26.95,25.34,24.78,28.45,26.17,28.34,26.29,25.08,27.56,32.96,26.78,29.13,27.09,31.48,25.75,26.58,31.62,30.69,26.41,26.01,26.93,30.43
1934,30.24,26.42,29.67,34.18,26.84,28.88,27.53,26.05,25.52,28.97,26.86,28.81,26.90,25.82,28.17,33.31,27.33,29.54,27.74,31.66,26.32,27.28,31.99,30.90,27.05,26.50,27.46,30.82
1935,30.19,26.55,29.70,33.95,26.99,28.99,27.66,26.21,25.67,29.09,27.02,28.91,27.07,25.97,28.31,33.24,27.41,29.63,27.88,31.51,26.50,27.43,31.94,30.83,27.21,26.63,27.60,30.80
1936,30.57,26.67,30.05,34.54,27.16,29.33,28.00,26.41,25.87,29.40,27.24,29.18,27.40,26.11,28.59,33.62,27.52,29.95,28.13,31.95,26.88,27.69,32.30,31.34,27.49,27.07,27.98,31.13
1937,30.31,26.80,29.86,33.94,27.26,29.24,28.00,26.52,25.99,29.36,27.33,29.11,27.44,26.24,28.64,33.25,27.55,29.81,28.20,31.56,26.89,27.79,31.98,30.94,27.55,26.98,27.96,30.89
1938,29.73,25.97,29.08,33.61,26.43,28.40,27.12,25.61,25.08,28.55,26.46,28.33,26.52,25.35,27.79,32.63,26.89,29.01,27.35,31.11,25.96,26.85,31.31,30.39,26.65,26.07,27.04,30.17
1939,30.51,26.83,29.99,34.46,27.32,29.34,28.09,26.54,26.00,29.46,27.38,29.22,27.51,26.26,28.73,33.47,27.61,29.92,28.28,31.81,26.95,27.80,32.19,31.25,27.62,27.06,28.03,31.06
1940,30.23,26.37,29.66,34.27,26.86,29.00,27.71,26.09,25.53,29.09,26.93,28.87,27.11,25.79,28.34,33.18,27.21,29.58,27.85,31.58,26.58,27.36,31.90,31.01,27.20,26.71,27.65,30.75
1941,30.24,26.53,29.84,33.96,27.00,29.08,27.75,26.15,25.59,29.18,27.02,29.01,27.11,25.88,28.41,33.34,27.43,29.73,27.94,31.56,26.55,27.40,32.06,30.87,27.24,26.73,27.69,30.92
1942,30.03,26.36,29.54,33.72,26.81,28.84,27.54,25.98,25.43,28.97,26.84,28.78,26.92,25.72,28.21,33.02,27.26,29.47,27.75,31.37,26.34,27.21,31.75,30.65,27.06,26.48,27.46,30.61
1943,29.58,26.04,29.07,33.06,26.47,28.39,27.12,25.63,25.08,28.54,26.48,28.36,26.52,25.38,27.83,32.44,26.99,29.01,27.38,30.92,25.92,26.87,31.17,30.01,26.67,26.01,27.03,30.11
1944,29.67,26.19,29.19,33.14,26.65,28.60,27.42,25.89,25.35,28.75,26.72,28.51,26.86,25.59,28.07,32.50,27.01,29.16,27.61,30.93,26.32,27.17,31.26,30.21,26.97,26.38,27.36,30.22
1945,29.29,25.90,28.70,32.87,26.38,28.18,27.16,25.69,25.14,28.36,26.52,28.04,26.65,25.38,27.85,32.10,26.61,28.66,27.38,30.54,26.07,26.98,30.82,29.84,26.77,26.07,27.09,29.73
1946,29.90,26.64,29.46,33.33,27.11,28.91,27.85,26.38,25.84,29.08,27.22,28.78,27.31,26.08,28.57,32.82,27.26,29.42,28.10,31.12,26.73,27.62,31.55,30.38,27.46,26.75,27.77,30.48
1947,30.41,27.05,29.92,34.16,27.55,29.36,28.34,26.86,26.32,29.53,27.69,29.16,27.85,26.53,29.02,33.48,27.49,29.84,28.55,31.68,27.28,28.13,32.17,30.98,27.96,27.28,28.29,31.01
1948,29.12,25.66,28.55,32.75,26.11,27.95,26.80,25.30,24.74,28.11,26.17,27.84,26.21,25.04,27.51,31.99,26.37,28.50,27.06,30.45,25.62,26.52,30.72,29.65,26.38,25.69,26.71,29.60
1949,29.18,25.56,28.53,33.05,25.99,27.86,26.68,25.17,24.61,28.01,26.04,27.76,26.08,24.91,27.37,32.15,26.28,28.43,26.94,30.59,25.47,26.38,30.83,29.77,26.25,25.56,26.60,29.65
1950,29.53,25.85,29.09,33.22,26.33,28.36,27.10,25.58,25.04,28.48,26.40,28.29,26.54,25.34,27.76,32.37,26.78,29.03,27.29,30.81,26.04,26.93,31.14,30.15,26.65,26.12,27.04,30.10
1951,29.79,26.29,29.22,33.38,26.73,28.53,27.41,26.18,25.68,28.73,26.86,28.55,27.05,25.84,28.08,32.64,27.20,29.12,27.64,31.05,26.49,27.45,31.36,30.24,27.15,26.46,27.35,30.27
1952,29.92,26.38,29.32,33.59,26.81,28.71,27.59,26.23,25.68,28.86,26.97,28.66,27.16,25.89,28.26,32.86,27.28,29.24,27.76,31.17,26.67,27.48,31.53,30.44,27.25,26.60,27.55,30.37
1953,29.29,25.53,28.71,33.08,25.94,27.87,26.67,25.30,24.78,28.03,26.01,27.90,26.22,25.00,27.27,32.34,26.47,28.51,26.85,30.66,25.65,26.59,31.02,29.96,26.30,25.70,26.62,29.85
1954,29.30,25.72,28.70,33.01,26.13,27.99,26.86,25.58,25.08,28.17,26.25,28.01,26.45,25.21,27.52,32.26,26.65,28.57,27.04,30.54,25.94,26.84,30.92,29.98,26.55,25.90,26.81,29.74
1955,30.12,26.54,29.57,33.81,26.95,28.76,27.55,26.34,25.83,28.94,27.03,28.82,27.13,26.00,28.23,33.02,27.52,29.43,27.84,31.44,26.56,27.59,31.73,30.60,27.28,26.55,27.50,30.62
1956,29.69,25.91,29.15,33.50,26.35,28.29,27.05,25.71,25.18,28.41,26.46,28.37,26.53,25.41,27.77,32.68,26.91,29.01,27.30,31.07,25.93,26.98,31.41,30.24,26.71,26.04,26.99,30.34
1957,29.65,26.09,29.13,33.32,26.55,28.48,27.20,25.93,25.37,28.55,26.69,28.43,26.76,25.60,27.93,32.54,26.95,29.08,27.51,30.96,26.12,27.14,31.27,30.14,26.90,26.18,27.16,30.22
1958,29.97,26.52,29.47,33.64,26.97,28.89,27.64,26.35,25.85,28.98,27.09,28.73,27.18,26.02,28.34,32.83,27.28,29.40,27.92,31.21,26.62,27.61,31.57,30.62,27.30,26.66,27.61,30.53
1959,29.07,25.63,28.58,32.70,26.09,28.01,26.75,25.43,24.88,28.15,26.21,27.86,26.27,25.13,27.46,31.98,26.42,28.53,27.04,30.32,25.65,26.67,30.71,29.60,26.41,25.71,26.70,29.63
1960,30.29,26.89,29.85,33.87,27.34,29.26,28.04,26.70,26.17,29.37,27.46,29.13,27.59,26.39,28.72,33.27,27.73,29.78,28.28,31.46,27.07,27.96,31.95,30.83,27.69,27.06,27.99,30.87
1961,28.99,25.75,28.50,32.43,26.16,27.93,26.85,25.45,24.93,28.09,26.25,27.88,26.29,25.18,27.57,31.88,26.57,28.50,27.08,30.17,25.64,26.72,30.60,29.49,26.46,25.63,26.69,29.54
1962,30.24,26.77,29.88,33.78,27.24,29.22,28.07,26.63,26.18,29.29,27.35,29.04,27.64,26.30,28.73,33.29,27.51,29.75,28.20,31.46,27.19,27.99,32.04,30.81,27.71,27.18,28.10,30.94
1963,30.26,26.72,29.73,33.97,27.16,28.97,27.85,26.43,25.91,29.08,27.24,28.95,27.32,26.16,28.50,33.19,27.49,29.63,28.06,31.58,26.76,27.69,31.90,30.82,27.46,26.78,27.80,30.80
