Variable:,tasmax
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
1901,33.44,33.44,35.78,28.29,34.36,34.98,27.39,32.88
1902,32.93,32.76,35.40,27.73,34.35,34.32,26.79,32.33
1903,32.77,32.45,35.31,27.65,34.50,34.07,26.64,32.14
1904,32.85,32.63,35.38,27.71,34.32,34.22,26.75,32.26
1905,32.78,32.57,35.27,27.55,34.39,34.11,26.58,32.17
1906,33.39,33.34,35.80,28.24,34.54,34.79,27.33,32.88
1907,32.90,32.70,35.41,27.81,34.29,34.24,26.83,32.35
1908,32.88,32.69,35.40,27.72,34.40,34.17,26.77,32.34
1909,32.90,32.88,35.34,27.72,34.03,34.30,26.78,32.40
1910,32.96,32.64,35.46,27.83,34.71,34.21,26.82,32.35
1911,33.28,33.05,35.75,28.17,34.82,34.60,27.18,32.70
1912,32.84,32.66,35.46,27.73,34.31,34.09,26.77,32.34
1913,32.70,32.43,35.36,27.62,34.30,33.91,26.64,32.20
1914,33.03,32.90,35.50,27.88,34.32,34.42,26.94,32.48
1915,33.39,33.44,35.80,28.20,34.36,34.81,27.30,32.92
1916,32.62,32.54,35.26,27.33,34.16,33.71,26.43,32.23
1917,32.81,32.69,35.46,27.62,34.25,33.96,26.69,32.40
1918,32.74,32.59,35.38,27.55,34.21,33.94,26.64,32.29
1919,33.26,33.28,35.63,28.03,34.29,34.72,27.14,32.73
1920,32.13,31.78,34.90,26.95,34.11,33.15,25.97,31.65
1921,32.71,32.55,35.29,27.53,34.20,33.93,26.59,32.23
1922,32.74,32.62,35.29,27.53,34.18,33.98,26.59,32.25
1923,32.60,32.45,35.17,27.38,34.15,33.82,26.45,32.10
1924,32.96,32.84,35.44,27.79,34.25,34.34,26.85,32.42
1925,32.78,32.64,35.30,27.59,34.21,34.09,26.65,32.25
1926,32.91,32.75,35.41,27.77,34.26,34.28,26.81,32.35
1927,33.36,33.34,35.78,28.24,34.36,34.83,27.33,32.85
1928,33.61,33.72,35.93,28.41,34.37,35.15,27.56,33.11
1929,32.85,32.77,35.41,27.61,34.21,34.10,26.70,32.39
1930,33.15,33.12,35.70,27.97,34.32,34.39,27.09,32.75
1931,33.34,33.32,35.81,28.21,34.37,34.75,27.30,32.87
1932,32.92,32.81,35.43,27.74,34.26,34.20,26.80,32.43
1933,33.53,33.55,35.87,28.39,34.38,35.07,27.49,33.01
1934,33.02,32.97,35.51,27.81,34.25,34.34,26.92,32.53
1935,33.25,33.17,35.68,28.16,34.36,34.69,27.21,32.73
1936,33.67,33.77,35.98,28.53,34.42,35.22,27.63,33.17
1937,33.00,32.97,35.42,27.75,34.22,34.39,26.84,32.47
1938,33.16,33.11,35.63,28.01,34.28,34.58,27.10,32.66
1939,33.60,33.68,35.90,28.41,34.36,35.20,27.55,33.05
1940,33.64,33.75,35.91,28.44,34.35,35.26,27.59,33.09
1941,32.84,32.83,35.28,27.58,34.06,34.16,26.70,32.37
1942,32.55,32.53,34.97,27.28,33.80,33.84,26.40,32.09
1943,31.36,31.30,33.82,26.03,32.76,32.64,25.19,30.85
1944,32.06,32.03,34.57,26.81,33.33,33.38,25.92,31.58
1945,32.04,31.95,34.60,26.79,33.39,33.35,25.89,31.53
1946,32.35,32.15,34.92,27.20,33.90,33.62,26.23,31.82
1947,31.86,31.86,34.25,26.57,33.04,33.24,25.75,31.36
1948,31.41,31.21,33.94,26.19,33.00,32.68,25.25,30.86
1949,30.53,30.41,32.93,25.28,31.92,31.87,24.32,29.99
1950,31.79,31.96,34.06,26.48,32.50,33.36,25.70,31.28
1951,31.73,31.77,34.13,26.64,32.70,33.18,25.64,31.23
1952,32.32,32.45,34.50,27.09,33.11,33.90,26.21,31.78
1953,32.39,32.16,34.78,27.32,33.91,33.70,26.37,31.82
1954,32.66,32.49,35.00,27.51,34.06,33.97,26.65,32.13
1955,33.07,32.83,35.61,27.85,34.72,34.32,26.99,32.53
1956,32.29,32.19,34.82,27.03,33.63,33.58,26.19,31.81
1957,32.32,32.14,34.96,27.05,33.90,33.57,26.18,31.79
1958,32.53,32.38,35.23,27.24,34.09,33.74,26.38,32.06
1959,32.14,31.77,34.99,26.99,34.14,33.22,26.00,31.60
1960,32.57,32.49,35.10,27.33,33.83,33.93,26.45,32.06
1961,31.52,31.28,34.16,26.40,33.22,32.70,25.45,30.96
1962,32.29,32.15,34.84,27.08,33.83,33.52,26.13,31.76
1963,32.38,32.34,34.95,27.01,33.76,33.66,26.26,31.88
1964,31.52,31.30,34.16,26.35,33.15,32.73,25.36,30.98
1965,32.49,32.28,35.07,27.26,34.04,33.79,26.35,31.93
1966,32.55,32.47,35.07,27.27,33.86,33.90,26.46,32.03
1967,31.65,31.40,34.35,26.52,33.21,32.91,25.52,31.12
1968,31.90,31.70,34.51,26.78,33.35,33.23,25.81,31.35
1969,33.31,33.21,35.73,28.12,34.57,34.70,27.23,32.77
1970,32.82,32.56,35.51,27.73,34.35,34.06,26.80,32.32
1971,32.31,32.01,35.11,27.15,33.99,33.47,26.20,31.83
1972,32.78,32.48,35.50,27.69,34.38,34.03,26.74,32.26
1973,33.41,33.06,36.13,28.32,35.17,34.60,27.38,32.87
1974,32.97,32.67,35.75,27.86,34.67,34.13,26.92,32.47
1975,33.04,32.71,35.89,27.93,34.82,34.15,26.94,32.57
1976,33.38,33.08,36.03,28.31,35.00,34.62,27.35,32.85
1977,33.12,32.77,35.85,28.01,34.84,34.33,27.04,32.58
1978,33.04,32.82,35.56,27.93,34.47,34.40,26.98,32.48
1979,33.15,33.10,35.59,27.98,34.34,34.55,27.06,32.62
1980,33.39,33.26,35.87,28.22,34.73,34.75,27.28,32.85
