Variable:,tasmax
,"United Kingdom",England,"Northern Ireland",Scotland,Wales
1901,11.89,12.69,11.84,10.44,12.08
1902,11.40,12.21,11.48,9.91,11.70
1903,11.48,12.36,11.41,9.90,11.69
1904,11.69,12.58,11.54,10.10,11.89
1905,11.77,12.57,11.78,10.28,12.06
1906,11.95,12.83,11.95,10.33,12.22
1907,11.44,12.30,11.38,9.85,11.69
1908,11.97,12.75,12.07,10.45,12.44
1909,11.27,12.11,11.33,9.69,11.68
1910,11.66,12.54,11.56,10.07,11.86
1911,12.56,13.47,12.39,10.92,12.75
1912,11.71,12.64,11.57,10.01,12.02
1913,12.07,12.97,11.89,10.44,12.31
1914,12.37,13.23,12.32,10.79,12.67
1915,11.54,12.47,11.42,9.81,11.90
1916,11.72,12.64,11.61,10.02,12.00
1917,11.25,12.07,11.22,9.71,11.53
1918,12.01,12.95,11.97,10.28,12.37
1919,11.21,12.08,11.22,9.54,11.65
1920,12.09,12.99,11.95,10.45,12.35
1921,13.13,14.14,13.06,11.21,13.61
1922,11.30,12.13,11.31,9.76,11.63
1923,11.52,12.44,11.44,9.83,11.85
1924,11.62,12.38,11.64,10.23,11.89
1925,11.70,12.56,11.60,10.12,11.98
1926,12.24,13.08,12.21,10.69,12.52
1927,11.62,12.45,11.68,10.08,11.96
1928,12.05,13.01,11.98,10.28,12.43
1929,11.82,12.68,11.84,10.21,12.22
1930,11.80,12.71,11.58,10.20,11.94
1931,11.43,12.26,11.41,9.92,11.69
1932,11.92,12.72,11.90,10.47,12.10
1933,12.44,13.22,12.38,11.01,12.76
1934,12.51,13.44,12.28,10.85,12.71
1935,12.00,12.91,11.86,10.34,12.26
1936,11.86,12.70,11.75,10.35,12.09
1937,11.82,12.76,11.62,10.15,12.09
1938,12.39,13.24,12.24,10.86,12.64
1939,12.09,12.94,11.95,10.56,12.37
1940,11.77,12.58,11.82,10.18,12.34
1941,11.53,12.36,11.54,9.99,11.92
1942,11.69,12.49,11.81,10.17,12.11
1943,12.62,13.47,12.53,11.09,12.84
1944,12.19,13.02,12.28,10.63,12.53
1945,12.91,13.72,12.89,11.43,13.16
1946,12.00,12.74,11.98,10.68,12.21
1947,12.07,13.03,11.85,10.38,12.28
1948,12.56,13.47,12.46,10.90,12.84
1949,13.23,14.15,13.12,11.53,13.56
1950,11.94,12.82,11.80,10.39,12.11
1951,11.71,12.61,11.57,10.10,11.89
1952,11.66,12.56,11.64,10.00,11.95
1953,12.60,13.34,12.56,11.31,12.69
1954,11.58,12.38,11.57,10.16,11.76
1955,12.09,12.90,12.14,10.61,12.34
1956,11.53,12.24,11.73,10.22,11.70
1957,12.48,13.35,12.43,10.89,12.69
1958,11.80,12.60,11.86,10.36,11.94
1959,13.23,14.15,13.09,11.55,13.48
1960,12.19,12.95,12.28,10.82,12.30
1961,12.35,13.28,12.17,10.68,12.58
1962,11.16,11.86,11.46,9.88,11.30
1963,10.89,11.52,11.17,9.69,11.14
1964,11.91,12.67,12.00,10.52,12.10
1965,11.30,12.12,11.46,9.77,11.59
1966,11.66,12.55,11.72,10.02,11.96
1967,11.99,12.80,11.86,10.56,12.06
1968,11.62,12.34,12.04,10.23,11.95
1969,11.69,12.50,11.76,10.22,11.92
1970,11.91,12.84,11.91,10.21,12.16
1971,12.49,13.18,12.64,11.20,12.71
1972,11.76,12.44,11.75,10.54,11.95
1973,12.21,13.08,12.12,10.61,12.53
1974,11.97,12.75,11.94,10.61,12.10
1975,12.59,13.37,12.64,11.13,12.86
1976,12.51,13.43,12.30,10.85,12.80
1977,11.79,12.58,11.94,10.32,12.05
1978,11.69,12.50,11.77,10.18,11.97
1979,11.18,12.03,11.11,9.61,11.45
1980,11.81,12.59,11.82,10.39,12.03
1981,11.72,12.50,11.71,10.31,11.88
1982,12.37,13.24,12.27,10.78,12.61
1983,12.32,13.20,12.29,10.68,12.66
1984,12.33,13.15,12.34,10.77,12.69
1985,11.25,12.05,11.31,9.78,11.49
1986,11.18,12.00,11.08,9.72,11.29
1987,11.49,12.25,11.68,10.05,11.80
1988,12.24,13.06,12.21,10.78,12.42
1989,13.13,14.17,12.73,11.26,13.47
1990,13.13,14.20,12.67,11.21,13.44
1991,12.13,12.89,12.13,10.78,12.29
1992,12.35,13.22,12.12,10.83,12.49
1993,11.82,12.69,11.75,10.23,12.13
1994,12.41,13.41,12.05,10.68,12.57
1995,13.10,14.11,12.85,11.24,13.45
1996,11.80,12.59,11.87,10.37,11.96
1997,13.07,13.97,12.90,11.48,13.24
1998,12.53,13.44,12.47,10.84,12.78
1999,12.83,13.84,12.57,11.01,13.10
2000,12.48,13.39,12.37,10.84,12.67
2001,12.26,13.16,12.26,10.60,12.57
2002,12.75,13.64,12.59,11.16,12.96
2003,13.11,13.98,12.91,11.57,13.28
2004,12.65,13.49,12.62,11.14,12.87
2005,12.67,13.56,12.61,11.06,12.86
2006,12.99,13.86,12.88,11.42,13.15
2007,13.03,13.94,12.96,11.39,13.23
2008,12.51,13.38,12.35,10.98,12.61
2009,12.66,13.53,12.42,11.17,12.70
2010,11.68,12.50,11.60,10.21,11.86
2011,12.98,14.00,12.54,11.24,13.05
2012,12.22,13.12,12.11,10.62,12.35
2013,12.19,13.01,12.13,10.72,12.41
2014,13.32,14.33,12.85,11.61,13.40
2015,12.64,13.65,12.23,10.89,12.80
2016,12.77,13.70,12.53,11.13,12.95
2017,12.97,13.91,12.68,11.33,13.13
2018,12.99,14.05,12.49,11.13,13.19
2019,13.04,14.04,12.65,11.30,13.16
2020,13.17,14.30,12.57,11.24,13.31
