Variable:,tasmax
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
1901,32.17,31.27,31.95,30.53,31.13,30.93,33.22,34.05,33.25,31.73,30.93
1902,32.05,31.08,31.78,30.33,30.93,30.74,33.15,34.10,33.34,31.57,30.73
1903,32.34,31.30,32.04,30.54,31.13,30.93,33.52,34.57,33.75,31.78,30.93
1904,32.15,31.08,31.84,30.32,30.93,30.73,33.34,34.45,33.62,31.59,30.71
1905,32.09,31.18,31.86,30.51,31.02,30.85,33.10,33.99,33.33,31.55,30.93
1906,32.62,31.64,32.36,30.81,31.52,31.28,33.78,34.71,33.82,32.22,31.17
1907,32.31,31.28,31.97,30.54,31.13,30.94,33.49,34.60,33.63,31.79,30.93
1908,32.34,31.26,31.98,30.51,31.11,30.92,33.56,34.75,33.76,31.79,30.89
1909,32.56,31.56,32.27,30.86,31.39,31.22,33.69,34.69,33.87,31.98,31.26
1910,32.63,31.62,32.32,30.82,31.48,31.25,33.81,34.86,33.89,32.16,31.19
1911,32.12,31.22,31.86,30.51,31.08,30.90,33.17,34.10,33.26,31.69,30.90
1912,32.12,31.04,31.76,30.25,30.90,30.68,33.36,34.53,33.58,31.62,30.62
1913,32.34,31.23,31.97,30.38,31.10,30.86,33.65,34.87,33.72,31.89,30.72
1914,32.76,31.63,32.40,30.73,31.52,31.25,34.08,35.27,34.14,32.34,31.06
1915,31.92,31.05,31.70,30.32,30.92,30.73,32.93,33.76,32.92,31.53,30.71
1916,32.05,31.36,31.93,30.65,31.24,31.05,32.91,33.44,32.65,31.79,31.03
1917,32.23,31.49,32.09,30.78,31.37,31.16,33.14,33.73,32.94,31.92,31.16
1918,31.99,31.28,31.85,30.56,31.16,30.97,32.87,33.44,32.64,31.72,30.95
1919,32.45,31.42,32.17,30.66,31.26,31.07,33.62,34.63,33.84,31.90,31.05
1920,32.52,31.50,32.25,30.74,31.33,31.13,33.69,34.71,33.91,31.97,31.13
1921,32.50,31.48,32.23,30.72,31.32,31.11,33.67,34.67,33.88,31.95,31.11
1922,32.25,31.37,32.04,30.63,31.23,31.02,33.30,34.12,33.32,31.83,31.02
1923,32.17,31.23,31.92,30.49,31.09,30.88,33.26,34.15,33.34,31.71,30.88
1924,32.60,31.59,32.36,30.81,31.43,31.21,33.76,34.67,33.88,32.09,31.21
