Variable:,tasmax
,"Gambia, The","Central River","Lower River","North Bank","Upper River","West Coast","Kanifing Municipal Council"
1901,34.31,35.21,34.01,34.07,34.99,32.99,32.38
1902,34.57,35.50,34.26,34.33,35.27,33.21,32.59
1903,34.39,35.27,34.09,34.17,35.03,33.09,32.50
1904,34.12,35.01,33.81,33.88,34.80,32.79,32.18
1905,34.32,35.20,34.03,34.09,34.97,33.03,32.43
1906,34.43,35.31,34.12,34.20,35.06,33.14,32.55
1907,33.68,34.57,33.37,33.43,34.37,32.35,31.75
1908,34.48,35.40,34.16,34.24,35.17,33.14,32.54
1909,34.23,35.14,33.93,34.00,34.90,32.90,32.29
1910,34.45,35.36,34.14,34.20,35.13,33.12,32.53
1911,34.22,35.12,33.91,33.98,34.89,32.90,32.32
1912,34.49,35.42,34.18,34.23,35.22,33.13,32.51
1913,34.47,35.38,34.16,34.23,35.14,33.15,32.55
1914,34.16,35.08,33.83,33.89,34.86,32.82,32.24
1915,34.65,35.55,34.34,34.40,35.34,33.33,32.74
1916,34.15,35.07,33.84,33.89,34.85,32.81,32.22
1917,34.05,34.95,33.75,33.80,34.72,32.73,32.13
1918,34.32,35.21,34.02,34.09,34.97,33.01,32.42
1919,34.67,35.56,34.37,34.46,35.28,33.37,32.78
1920,34.01,34.90,33.72,33.78,34.68,32.70,32.10
1921,33.98,34.88,33.68,33.73,34.66,32.67,32.08
1922,33.67,34.60,33.38,33.40,34.41,32.30,31.67
1923,34.24,35.17,33.91,33.98,34.94,32.88,32.28
1924,33.91,34.81,33.59,33.68,34.57,32.60,32.02
1925,34.08,35.00,33.77,33.83,34.75,32.75,32.18
1926,34.45,35.32,34.13,34.26,35.04,33.19,32.62
1927,34.05,34.92,33.72,33.87,34.61,32.82,32.28
1928,33.77,34.67,33.46,33.54,34.37,32.49,31.93
1929,33.64,34.54,33.33,33.41,34.29,32.35,31.79
1930,33.60,34.51,33.28,33.34,34.31,32.25,31.66
1931,34.23,35.16,33.91,33.98,34.90,32.88,32.28
1932,34.17,35.07,33.86,33.94,34.81,32.88,32.29
1933,34.23,35.12,33.93,33.99,34.90,32.92,32.34
1934,33.99,34.91,33.67,33.73,34.71,32.63,32.01
