Variable:,tasmax
,Greece,"Anatoliki Makedonia Kai Thraki",Attiki,"Dytiki Ellada","Dytiki Makedonia","Ionioi Nisoi",Ipeiros,"Kentriki Makedonia",Kriti,Peloponnisos,"Sterea Ellada",Thessalia,"Voreio Aigaio","Notio Aigaio"
1901,18.75,17.03,21.04,20.24,15.25,20.88,18.61,17.96,21.33,19.63,19.59,19.13,20.59,22.36
1902,18.59,16.57,20.96,20.21,15.18,20.90,18.59,17.72,21.00,19.59,19.50,19.04,20.12,22.00
1903,18.81,17.27,21.04,20.24,15.49,20.91,18.73,18.21,20.55,19.52,19.66,19.27,20.60,21.81
1904,18.74,16.89,21.02,20.27,15.49,20.97,18.75,18.06,20.66,19.55,19.62,19.22,20.29,21.81
1905,18.66,17.01,20.91,20.10,15.31,20.77,18.55,17.99,20.87,19.43,19.50,19.08,20.48,22.01
1906,18.61,17.12,20.81,19.99,15.25,20.63,18.45,18.01,20.82,19.30,19.42,19.01,20.54,22.01
1907,18.35,16.51,20.62,19.85,15.09,20.55,18.33,17.66,20.42,19.14,19.21,18.82,19.94,21.56
1908,18.27,16.39,20.58,19.81,14.91,20.46,18.23,17.50,20.60,19.15,19.15,18.73,19.88,21.64
1909,18.63,16.97,20.87,20.01,15.26,20.64,18.46,17.98,21.22,19.36,19.46,19.03,20.52,22.33
1910,18.86,17.45,21.03,20.20,15.59,20.82,18.72,18.36,20.67,19.45,19.68,19.32,20.76,21.97
1911,18.70,16.84,20.89,20.21,15.51,20.91,18.74,18.06,20.61,19.46,19.54,19.19,20.15,21.73
1912,18.41,16.45,20.71,19.95,15.08,20.64,18.38,17.62,20.84,19.32,19.29,18.85,20.02,21.85
1913,18.53,16.59,20.77,20.14,15.24,20.86,18.60,17.71,20.73,19.46,19.39,19.00,19.98,21.71
1914,18.22,16.43,20.43,19.69,14.88,20.40,18.15,17.50,20.75,19.02,19.03,18.63,19.94,21.78
1915,19.04,17.35,21.30,20.45,15.67,21.09,18.91,18.34,21.49,19.78,19.89,19.47,20.89,22.63
1916,19.59,17.85,21.89,21.04,16.24,21.65,19.45,18.89,22.02,20.41,20.45,20.01,21.40,23.14
1917,18.87,17.04,21.17,20.36,15.50,21.00,18.78,18.14,21.32,19.71,19.74,19.29,20.61,22.44
1918,18.75,17.13,20.99,20.16,15.37,20.82,18.59,18.08,21.30,19.52,19.56,19.12,20.62,22.37
1919,18.85,17.02,21.17,20.31,15.46,20.91,18.71,18.10,21.48,19.70,19.73,19.28,20.66,22.53
1920,18.76,16.61,21.00,20.39,15.52,21.14,18.87,17.94,21.04,19.68,19.63,19.24,20.14,22.00
1921,18.56,16.69,20.74,20.06,15.35,20.82,18.59,17.88,20.73,19.33,19.38,19.02,20.05,21.76
1922,18.86,16.82,21.22,20.45,15.44,21.13,18.80,17.96,21.58,19.86,19.76,19.27,20.56,22.55
1923,19.51,17.95,21.69,20.86,16.18,21.48,19.36,18.95,21.66,20.16,20.34,19.94,21.39,22.90
1924,18.73,16.63,21.02,20.36,15.31,21.05,18.74,17.84,21.37,19.74,19.60,19.16,20.25,22.25
1925,19.07,17.36,21.33,20.53,15.70,21.15,18.95,18.35,21.53,19.88,19.92,19.48,20.86,22.61
1926,19.49,17.69,21.75,20.94,16.16,21.58,19.38,18.82,21.84,20.27,20.36,19.93,21.22,22.93
1927,19.79,17.90,22.09,21.29,16.46,21.93,19.72,19.04,22.19,20.63,20.69,20.25,21.50,23.23
1928,19.12,17.12,21.35,20.69,15.79,21.41,19.12,18.29,21.64,20.02,19.98,19.56,20.75,22.63
1929,18.46,16.73,20.67,19.89,15.09,20.58,18.32,17.80,20.79,19.24,19.29,18.90,20.05,21.78
1930,19.40,17.89,21.58,20.70,16.08,21.37,19.22,18.88,21.62,20.05,20.19,19.86,21.13,22.75
1931,19.16,17.43,21.53,20.63,15.68,21.23,18.94,18.38,21.75,20.05,20.07,19.57,21.01,22.89
1932,19.12,17.52,21.44,20.49,15.67,21.09,18.85,18.46,21.57,19.89,20.00,19.54,21.10,22.87
1933,18.14,16.26,20.46,19.68,14.72,20.33,18.03,17.34,20.70,19.05,19.03,18.56,19.86,21.73
1934,19.91,18.39,22.12,21.21,16.59,21.76,19.69,19.41,22.08,20.53,20.77,20.36,21.77,23.41
1935,19.28,17.68,21.59,20.67,15.89,21.28,19.09,18.59,21.78,20.02,20.14,19.68,21.23,23.03
1936,19.37,17.82,21.58,20.74,15.99,21.38,19.19,18.75,21.74,20.09,20.19,19.75,21.17,22.90
1937,19.81,18.33,22.11,21.15,16.38,21.75,19.55,19.18,22.18,20.52,20.67,20.19,21.81,23.47
1938,19.10,17.56,21.37,20.48,15.71,21.10,18.92,18.46,21.41,19.84,19.95,19.50,21.01,22.59
1939,19.32,17.70,21.64,20.73,15.89,21.35,19.13,18.61,21.81,20.11,20.17,19.69,21.23,22.95
1940,17.93,16.15,20.40,19.49,14.33,20.13,17.73,16.97,20.88,18.94,18.86,18.28,19.99,21.93
1941,18.57,16.80,20.94,20.04,15.08,20.70,18.39,17.77,21.27,19.46,19.46,18.96,20.49,22.31
1942,18.55,16.59,20.88,20.12,15.11,20.86,18.51,17.67,21.14,19.50,19.44,18.97,20.21,22.10
1943,19.04,17.17,21.21,20.57,15.76,21.31,19.05,18.32,21.25,19.87,19.89,19.51,20.50,22.23
1944,18.65,16.96,20.91,20.11,15.25,20.79,18.53,17.92,21.11,19.45,19.48,19.05,20.47,22.19
1945,19.15,17.42,21.40,20.59,15.81,21.29,19.09,18.49,21.36,19.89,20.04,19.62,20.88,22.53
1946,19.51,17.82,21.71,20.92,16.19,21.59,19.40,18.90,21.78,20.22,20.37,19.97,21.26,22.90
1947,19.57,17.83,21.85,21.03,16.15,21.72,19.48,18.85,21.95,20.38,20.46,20.02,21.49,23.18
1948,18.61,16.88,20.71,20.03,15.35,20.81,18.61,18.01,20.77,19.26,19.44,19.10,20.23,21.87
1949,18.58,16.84,20.67,20.04,15.32,20.82,18.60,17.96,20.65,19.28,19.40,19.06,20.15,21.73
1950,20.03,18.43,22.00,21.42,16.85,22.20,20.07,19.54,21.75,20.52,20.85,20.58,21.49,22.92
1951,19.75,17.86,21.89,21.26,16.54,22.04,19.81,19.05,21.93,20.49,20.58,20.24,21.10,22.87
1952,20.21,18.38,22.43,21.74,16.93,22.42,20.20,19.49,22.35,21.00,21.08,20.69,21.73,23.44
1953,18.52,16.59,20.69,20.07,15.27,20.87,18.62,17.78,20.73,19.28,19.36,19.01,19.88,21.66
1954,18.62,16.83,20.98,20.14,15.21,20.84,18.53,17.80,21.12,19.53,19.49,19.01,20.41,22.28
1955,19.44,17.60,21.88,20.95,15.97,21.54,19.24,18.58,22.17,20.42,20.35,19.80,21.30,23.26
1956,18.61,16.56,20.97,20.18,15.25,20.89,18.59,17.74,21.24,19.54,19.50,19.05,20.22,22.21
1957,19.12,17.34,21.26,20.62,15.88,21.42,19.18,18.41,21.29,19.83,19.94,19.60,20.72,22.45
1958,19.43,17.70,21.69,20.90,16.08,21.62,19.35,18.70,21.79,20.23,20.28,19.86,21.11,22.88
1959,18.54,16.68,20.83,20.06,15.23,20.80,18.52,17.75,20.95,19.38,19.40,18.99,20.06,21.92
1960,19.70,17.88,22.09,21.19,16.29,21.85,19.58,18.89,22.32,20.61,20.58,20.10,21.43,23.32
1961,19.64,17.82,21.87,21.16,16.34,21.90,19.65,18.91,21.85,20.45,20.49,20.08,21.16,22.99
1962,19.56,17.79,22.08,21.02,16.00,21.59,19.37,18.68,22.31,20.59,20.47,19.91,21.57,23.51
1963,19.37,17.31,21.88,20.92,15.90,21.46,19.26,18.47,22.11,20.42,20.31,19.77,21.05,23.09
1964,18.76,16.73,21.04,20.35,15.43,21.00,18.76,17.94,21.36,19.63,19.60,19.21,20.21,22.18
1965,18.91,17.01,21.21,20.44,15.52,21.00,18.82,18.17,21.45,19.81,19.75,19.32,20.44,22.32
1966,19.77,18.26,22.02,21.12,16.28,21.65,19.48,19.11,22.31,20.61,20.56,20.16,21.61,23.35
1967,19.03,17.20,21.28,20.52,15.68,21.20,18.93,18.33,21.39,19.88,19.85,19.46,20.55,22.23
1968,19.13,17.36,21.42,20.63,15.69,21.16,18.97,18.35,21.79,20.04,19.95,19.54,20.91,22.71
1969,18.77,16.85,21.19,20.34,15.27,20.88,18.65,17.87,21.52,19.78,19.68,19.17,20.64,22.57
1970,19.15,17.40,21.55,20.65,15.60,21.22,18.95,18.35,21.77,20.11,20.04,19.52,20.97,22.87
1971,18.70,16.86,21.02,20.22,15.27,20.79,18.58,17.92,21.26,19.60,19.57,19.09,20.40,22.29
1972,18.49,16.89,20.68,19.92,15.07,20.50,18.30,17.82,21.11,19.24,19.29,18.86,20.32,22.09
1973,18.56,16.73,20.92,20.01,15.11,20.52,18.31,17.82,21.43,19.46,19.41,18.94,20.54,22.62
1974,18.56,16.79,20.80,19.98,15.16,20.62,18.41,17.86,21.20,19.35,19.38,18.94,20.37,22.32
1975,18.66,16.97,20.88,20.13,15.30,20.76,18.54,17.95,21.02,19.42,19.50,19.10,20.37,22.18
1976,18.01,16.20,20.30,19.48,14.69,20.17,17.93,17.27,20.59,18.81,18.86,18.40,19.81,21.73
1977,19.45,17.71,21.64,20.95,16.13,21.67,19.44,18.79,21.64,20.19,20.28,19.89,21.11,22.93
1978,18.48,16.70,20.78,19.95,15.07,20.67,18.40,17.73,20.94,19.28,19.36,18.88,20.38,22.21
1979,18.93,17.33,21.16,20.34,15.58,21.11,18.84,18.24,21.31,19.65,19.75,19.30,20.91,22.51
1980,18.27,16.47,20.58,19.77,14.87,20.46,18.18,17.45,20.85,19.12,19.13,18.68,20.28,22.02
1981,18.93,17.30,21.17,20.31,15.54,21.01,18.77,18.29,21.42,19.70,19.76,19.31,20.95,22.67
1982,18.58,16.71,20.73,20.12,15.36,20.99,18.68,17.86,20.81,19.28,19.41,19.02,20.19,21.87
1983,18.41,16.86,20.58,19.83,15.09,20.65,18.34,17.77,20.51,19.08,19.23,18.82,20.08,21.68
1984,18.48,16.77,20.88,19.92,15.00,20.60,18.27,17.71,21.02,19.36,19.39,18.85,20.56,22.22
1985,18.86,16.82,21.27,20.37,15.53,21.14,18.82,18.05,21.39,19.77,19.80,19.29,20.70,22.51
1986,19.00,17.17,21.28,20.48,15.68,21.21,18.92,18.26,21.40,19.77,19.90,19.44,20.90,22.71
1987,18.50,16.57,20.65,20.05,15.27,20.83,18.53,17.77,20.80,19.21,19.38,19.00,20.16,21.99
1988,18.87,17.03,21.01,20.39,15.62,21.23,18.92,18.14,21.16,19.59,19.71,19.32,20.46,22.28
1989,18.71,17.22,20.82,20.07,15.41,20.89,18.59,18.11,20.93,19.32,19.51,19.14,20.63,22.21
1990,19.45,18.07,21.53,20.79,16.15,21.59,19.34,18.92,21.58,19.98,20.25,19.86,21.27,22.79
1991,17.94,16.20,20.09,19.41,14.64,20.28,17.94,17.21,20.47,18.66,18.72,18.32,19.69,21.49
1992,18.62,16.98,20.59,20.13,15.44,20.96,18.68,18.02,20.66,19.19,19.38,19.10,19.97,21.60
1993,18.90,17.09,21.04,20.38,15.67,21.22,18.95,18.17,21.43,19.61,19.66,19.31,20.56,22.38
1994,19.73,18.12,21.87,21.16,16.41,21.98,19.71,19.08,22.03,20.41,20.50,20.15,21.51,23.14
1995,18.84,17.23,21.18,20.24,15.39,20.90,18.62,18.12,21.40,19.68,19.68,19.20,20.75,22.46
1996,18.16,16.37,20.46,19.63,14.73,20.35,18.06,17.39,20.88,19.02,18.98,18.50,20.14,22.03
1997,18.43,16.44,20.68,19.96,15.14,20.72,18.43,17.66,20.93,19.27,19.27,18.87,20.05,21.88
1998,19.27,17.47,21.54,20.77,15.92,21.51,19.24,18.43,21.87,20.12,20.11,19.68,21.21,22.98
1999,19.82,18.35,22.14,21.18,16.35,21.86,19.61,19.09,22.40,20.62,20.65,20.14,22.11,23.62
2000,19.78,18.28,21.86,21.20,16.51,22.03,19.79,19.18,21.98,20.37,20.52,20.19,21.62,23.06
2001,19.72,18.36,21.93,21.08,16.27,21.80,19.56,19.03,22.17,20.45,20.48,20.04,21.94,23.46
2002,19.28,17.81,21.49,20.64,15.90,21.37,19.17,18.60,21.78,19.99,20.04,19.62,21.32,22.87
