Variable:,tasmax
,Honduras,Atlantida,Choluteca,Colon,Comayagua,Copan,Cortes,"Francisco Morazan","Gracias A Dios",Intibuca,"Islas De Bahia","La Paz",Lempira,"Name Unknown",Ocotepeque,Olancho,Paraiso,"Santa Barbara",Valle,Yoro
1901,28.10,28.85,30.60,28.98,26.67,26.56,28.83,26.76,29.86,27.09,30.87,27.62,26.73,26.73,26.97,27.86,27.43,27.12,31.24,26.96
1902,28.21,28.99,30.64,29.18,26.76,26.63,28.94,26.84,30.03,27.17,31.16,27.70,26.81,26.81,27.04,27.97,27.48,27.21,31.29,27.09
1903,28.21,28.99,30.65,29.16,26.75,26.64,28.95,26.83,30.02,27.17,31.13,27.69,26.81,26.81,27.05,27.96,27.49,27.22,31.30,27.09
1904,28.13,28.87,30.60,29.05,26.68,26.56,28.85,26.77,29.93,27.09,30.98,27.62,26.73,26.73,26.97,27.89,27.44,27.13,31.24,26.99
1905,28.17,28.94,30.60,29.16,26.68,26.55,28.87,26.77,30.04,27.09,31.14,27.62,26.73,26.73,26.97,27.94,27.44,27.13,31.24,27.04
1906,27.97,28.65,30.51,28.91,26.47,26.31,28.60,26.59,29.87,26.90,30.84,27.45,26.53,26.53,26.76,27.75,27.30,26.88,31.11,26.77
1907,28.05,28.77,30.54,29.02,26.57,26.41,28.70,26.67,29.95,26.98,30.98,27.53,26.61,26.61,26.84,27.82,27.36,26.98,31.16,26.87
1908,28.03,28.75,30.54,28.99,26.56,26.39,28.69,26.66,29.92,26.97,30.95,27.53,26.59,26.59,26.83,27.80,27.35,26.96,31.16,26.86
1909,28.13,28.87,30.58,29.08,26.67,26.53,28.83,26.75,29.96,27.10,31.03,27.63,26.73,26.73,26.96,27.89,27.43,27.11,31.23,26.98
1910,27.55,28.05,30.24,28.45,26.01,25.77,28.01,26.20,29.59,26.47,30.30,27.06,26.05,26.05,26.27,27.36,26.98,26.33,30.80,26.23
1911,28.02,28.74,30.51,29.02,26.51,26.34,28.65,26.63,29.96,26.93,30.99,27.48,26.56,26.56,26.79,27.80,27.33,26.92,31.12,26.84
1912,28.14,28.89,30.56,29.16,26.62,26.47,28.80,26.72,30.06,27.03,31.17,27.57,26.66,26.66,26.88,27.92,27.40,27.05,31.18,26.98
1913,27.89,28.54,30.41,28.88,26.35,26.14,28.45,26.48,29.88,26.76,30.85,27.33,26.37,26.37,26.60,27.68,27.22,26.72,31.01,26.66
1914,27.89,28.55,30.42,28.88,26.36,26.15,28.46,26.49,29.88,26.77,30.83,27.33,26.38,26.38,26.61,27.69,27.21,26.73,31.01,26.67
1915,28.00,28.70,30.50,28.99,26.48,26.32,28.63,26.61,29.94,26.90,30.96,27.45,26.53,26.53,26.76,27.79,27.31,26.89,31.11,26.82
1916,27.94,28.62,30.44,28.93,26.40,26.21,28.53,26.53,29.92,26.82,30.90,27.37,26.43,26.43,26.65,27.73,27.25,26.79,31.04,26.73
1917,28.13,28.87,30.60,29.07,26.67,26.56,28.84,26.76,29.95,27.09,31.02,27.62,26.73,26.73,26.97,27.88,27.43,27.12,31.24,26.98
1918,28.20,28.99,30.61,29.21,26.71,26.59,28.92,26.79,30.08,27.11,31.20,27.65,26.75,26.75,26.99,27.97,27.46,27.17,31.26,27.07
1919,28.08,28.82,30.53,29.08,26.58,26.41,28.73,26.68,30.01,26.98,31.07,27.53,26.61,26.61,26.84,27.86,27.36,26.99,31.16,26.90
1920,28.09,28.83,30.56,29.08,26.59,26.43,28.75,26.69,29.99,27.00,31.04,27.54,26.63,26.63,26.86,27.86,27.39,27.01,31.18,26.92
1921,28.02,28.74,30.49,29.03,26.50,26.33,28.63,26.61,29.97,26.90,31.02,27.46,26.53,26.53,26.76,27.80,27.31,26.90,31.10,26.83
