Variable:,tasmax
,Croatia,Bjelovar-bilogora,Dubrovnik-neretva,"Grad Zagreb",Istra,Karlovac,Koprivnica-krizevci,Krapina-zagorje,Lika-senj,Medimurje,Osijek-baranja,Pozega-slavonija,"Primorje-gorski Kota",Sibenik,Sisak-moslavina,"Slavonski Brod-posav",Split-dalmatija,Varazdin,Virovitica-podravina,Vukovar-srijem,Zadar-knin,Zagreb
1901,14.72,14.96,17.47,14.49,16.16,13.43,14.87,14.28,12.37,14.78,15.68,15.39,13.73,15.51,14.89,15.55,15.94,14.73,15.10,16.02,14.64,14.51
1902,14.64,14.84,17.52,14.52,16.18,13.39,14.49,14.14,12.42,14.41,15.33,15.19,13.68,15.62,14.93,15.33,16.03,14.42,14.88,15.65,14.72,14.52
1903,15.44,15.74,18.00,15.27,16.81,14.12,15.54,15.02,13.14,15.45,16.38,16.12,14.40,16.23,15.69,16.26,16.56,15.42,15.84,16.69,15.39,15.30
1904,15.54,15.76,18.18,15.44,17.14,14.33,15.59,15.20,13.32,15.55,16.25,16.07,14.68,16.40,15.78,16.21,16.74,15.56,15.78,16.54,15.58,15.45
1905,15.05,15.31,17.72,14.93,16.54,13.76,15.18,14.68,12.76,15.12,15.87,15.66,14.06,15.90,15.29,15.81,16.26,15.10,15.36,16.19,15.04,14.94
1906,14.97,15.20,17.60,14.79,16.50,13.70,15.11,14.58,12.68,15.04,15.88,15.60,14.04,15.76,15.16,15.75,16.12,15.01,15.31,16.24,14.93,14.80
1907,15.03,15.23,17.67,14.88,16.57,13.80,15.06,14.65,12.80,15.01,15.80,15.62,14.13,15.90,15.26,15.76,16.23,15.02,15.29,16.11,15.06,14.88
1908,14.55,14.73,17.28,14.41,16.17,13.36,14.60,14.17,12.30,14.55,15.27,15.09,13.72,15.42,14.77,15.24,15.80,14.53,14.78,15.58,14.56,14.41
1909,14.57,14.77,17.46,14.25,15.97,13.26,14.58,14.02,12.31,14.47,15.47,15.24,13.57,15.47,14.74,15.39,15.89,14.42,14.92,15.87,14.60,14.27
1910,15.25,15.48,18.07,14.95,16.54,13.91,15.26,14.69,12.99,15.14,16.26,15.97,14.19,16.09,15.45,16.13,16.50,15.10,15.67,16.65,15.27,14.98
