Variable:,tasmax
,India,"Andaman and Nicobar","Andhra Pradesh",Assam,Delhi,Goa,Gujarat,Haryana,"Himachal Pradesh",Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,"Tamil Nadu",Tripura,"West Bengal","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Administrative unit not available","Arunachal Pradesh",Bihar,Chandigarh,Chhattisgarh,"Dadra and Nagar Haveli","Daman and Diu",Jharkhand,"Madhya Pradesh",Puducherry,"Uttar Pradesh",Uttarakhand
1901,30.26,31.46,32.49,27.52,31.74,30.65,33.20,31.73,15.37,30.87,29.97,30.18,32.60,23.83,25.62,25.52,23.48,30.77,31.24,32.96,10.12,31.47,29.07,30.51,5.06,6.59,12.42,14.88,14.31,12.38,15.41,28.01,23.15,17.59,23.50,30.96,30.09,31.43,31.92,31.08,30.50,31.99,31.77,32.08,19.56
1902,30.53,31.49,32.81,27.29,31.99,31.03,33.73,31.98,15.58,31.18,30.00,30.10,33.17,23.61,25.49,25.40,23.17,30.97,31.48,33.30,10.03,31.47,28.96,30.52,5.17,6.71,12.58,15.05,14.50,12.54,15.61,28.16,23.31,17.75,23.04,31.01,30.34,31.74,32.54,31.67,30.60,32.41,31.81,32.28,19.79
1903,29.96,31.27,32.22,27.44,31.36,30.35,32.73,31.32,14.96,30.62,29.80,30.07,32.29,23.74,25.55,25.44,23.39,30.60,30.80,32.45,10.06,31.29,28.99,30.40,4.46,5.94,11.65,14.26,13.68,11.81,14.77,27.45,22.62,16.90,23.36,30.82,29.73,31.20,31.57,30.68,30.33,31.62,31.57,31.77,19.25
1904,30.03,30.93,32.28,27.33,31.42,30.46,33.12,31.41,15.14,30.65,29.54,29.68,32.51,23.63,25.47,25.35,23.25,30.54,31.00,32.70,9.93,31.02,28.90,30.32,4.91,6.45,12.26,14.72,14.16,12.22,15.26,27.84,22.94,17.43,23.19,30.68,29.81,31.18,31.91,31.07,30.24,31.72,31.36,31.72,19.26
1905,29.87,31.45,32.41,26.81,31.12,30.52,32.78,31.07,14.60,30.81,29.92,30.13,32.41,23.12,24.91,24.84,22.76,30.41,30.51,32.45,9.43,31.42,28.37,29.88,4.23,5.75,11.57,14.08,13.52,11.57,14.65,27.25,22.36,16.80,22.80,30.35,29.34,31.12,31.68,30.72,29.98,31.61,31.71,31.50,18.89
1906,30.11,31.57,32.59,27.36,31.34,30.67,32.85,31.33,15.09,30.95,30.02,30.20,32.55,23.66,25.46,25.38,23.30,30.76,30.90,32.50,10.05,31.53,28.90,30.38,4.94,6.48,12.32,14.74,14.19,12.19,15.29,27.78,22.89,17.44,23.31,30.81,29.75,31.38,31.78,30.80,30.39,31.74,31.83,31.77,19.26
1907,29.99,30.95,32.37,27.39,31.13,30.57,32.96,31.12,14.82,30.77,29.73,29.88,32.53,23.73,25.56,25.49,23.30,30.60,30.64,32.41,9.98,31.22,29.04,30.44,4.51,6.01,11.67,14.27,13.70,11.77,14.81,27.39,22.55,16.92,23.19,30.73,29.51,31.23,31.86,30.95,30.32,31.70,31.55,31.63,19.05
1908,30.04,30.88,32.30,27.83,31.31,30.41,32.64,31.26,15.10,30.65,29.66,29.83,32.38,24.17,26.02,25.92,23.72,30.77,30.83,32.30,10.41,31.16,29.48,30.86,4.87,6.38,12.16,14.69,14.13,12.14,15.24,27.74,22.88,17.35,23.55,31.11,29.73,31.32,31.60,30.62,30.64,31.67,31.47,31.87,19.31
1909,29.93,30.89,32.37,27.76,30.88,30.55,32.63,30.87,14.71,30.77,29.70,29.87,32.47,24.08,25.85,25.78,23.72,30.60,30.44,32.07,10.27,31.18,29.30,30.57,4.75,6.29,12.24,14.53,14.01,11.91,15.12,27.40,22.54,17.25,23.71,30.88,29.30,31.16,31.73,30.65,30.37,31.52,31.49,31.56,18.87
1910,29.81,30.84,32.20,27.33,30.96,30.35,32.59,30.98,14.75,30.60,29.64,29.83,32.29,23.66,25.46,25.37,23.27,30.45,30.54,32.15,9.85,31.13,28.90,30.26,4.59,6.13,11.97,14.39,13.85,11.84,14.96,27.39,22.52,17.08,23.19,30.57,29.43,31.06,31.56,30.57,30.14,31.43,31.44,31.46,18.93
