Variable:,tasmax
,Ireland,Carlow,Cavan,Clare,Cork,Donegal,Dublin,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Munster,Offaly,Roscommon,Sligo,Tipperary,Waterford,Westmeath,Wexford,Wicklow
1901,12.43,12.44,12.36,12.64,12.43,11.40,12.39,12.60,12.40,12.88,12.77,12.82,12.06,12.50,12.72,12.58,12.06,12.77,12.20,12.20,12.89,12.58,12.06,12.52,12.53,12.82,12.59,12.37
1902,12.20,12.16,12.11,12.42,12.23,11.15,12.09,12.37,12.22,12.61,12.50,12.56,11.86,12.29,12.48,12.22,11.88,12.48,11.85,11.85,12.61,12.35,11.87,12.29,12.28,12.57,12.32,12.10
1903,12.11,12.11,11.97,12.34,12.17,11.03,12.01,12.26,12.17,12.52,12.46,12.49,11.73,12.21,12.33,12.14,11.75,12.36,11.76,11.76,12.52,12.23,11.74,12.22,12.23,12.44,12.28,12.03
1904,12.23,12.27,12.11,12.45,12.29,11.12,12.16,12.37,12.26,12.65,12.59,12.62,11.81,12.34,12.48,12.30,11.84,12.51,11.90,11.90,12.65,12.34,11.82,12.36,12.38,12.58,12.43,12.18
1905,12.45,12.46,12.34,12.64,12.49,11.36,12.39,12.62,12.47,12.89,12.78,12.83,12.06,12.53,12.71,12.54,12.09,12.74,12.15,12.15,12.89,12.59,12.07,12.54,12.56,12.81,12.60,12.38
1906,12.64,12.66,12.53,12.85,12.67,11.52,12.59,12.81,12.65,13.08,12.99,13.03,12.24,12.73,12.91,12.72,12.27,12.93,12.31,12.31,13.09,12.77,12.24,12.74,12.75,13.01,12.82,12.59
1907,12.09,12.12,11.95,12.33,12.17,10.94,12.02,12.25,12.14,12.53,12.46,12.49,11.65,12.22,12.32,12.16,11.68,12.37,11.74,11.74,12.53,12.21,11.65,12.23,12.24,12.44,12.27,12.04
1908,12.83,12.86,12.68,13.06,12.91,11.64,12.76,12.98,12.89,13.27,13.20,13.22,12.40,12.96,13.08,12.88,12.41,13.11,12.46,12.46,13.25,12.94,12.39,12.96,12.99,13.18,13.02,12.77
1909,12.10,12.14,11.95,12.34,12.18,10.92,12.02,12.27,12.15,12.52,12.48,12.49,11.66,12.23,12.32,12.13,11.71,12.37,11.73,11.73,12.53,12.21,11.67,12.23,12.26,12.45,12.29,12.04
1910,12.27,12.29,12.11,12.49,12.35,11.16,12.17,12.41,12.34,12.67,12.62,12.64,11.84,12.39,12.49,12.31,11.88,12.53,11.89,11.89,12.67,12.37,11.85,12.38,12.40,12.60,12.45,12.20
1911,13.06,13.14,12.91,13.28,13.13,11.94,13.01,13.19,13.10,13.47,13.45,13.46,12.60,13.18,13.28,13.14,12.63,13.33,12.72,12.72,13.47,13.15,12.61,13.19,13.22,13.39,13.29,13.03
1912,12.35,12.41,12.17,12.58,12.46,11.17,12.28,12.50,12.43,12.78,12.75,12.76,11.88,12.48,12.54,12.39,11.95,12.61,11.96,11.96,12.76,12.44,11.89,12.49,12.51,12.66,12.58,12.31
1913,12.60,12.66,12.44,12.82,12.68,11.46,12.53,12.73,12.65,13.03,12.98,12.99,12.14,12.72,12.80,12.67,12.18,12.85,12.25,12.25,13.01,12.70,12.14,12.72,12.76,12.93,12.82,12.55
1914,12.97,13.02,12.85,13.17,13.01,11.85,12.95,13.11,12.98,13.42,13.34,13.37,12.54,13.06,13.21,13.11,12.56,13.27,12.69,12.69,13.42,13.08,12.52,13.09,13.12,13.34,13.16,12.93
1915,12.29,12.36,12.11,12.56,12.41,10.98,12.23,12.44,12.39,12.73,12.70,12.71,11.81,12.46,12.50,12.29,11.85,12.55,11.86,11.86,12.73,12.38,11.81,12.46,12.49,12.63,12.52,12.27
1916,12.31,12.34,12.16,12.53,12.40,11.16,12.27,12.43,12.38,12.77,12.67,12.71,11.86,12.43,12.54,12.38,11.88,12.60,11.96,11.96,12.74,12.40,11.85,12.43,12.46,12.66,12.51,12.27
1917,11.90,11.91,11.80,12.10,11.94,10.79,11.86,12.07,11.92,12.34,12.24,12.29,11.49,11.99,12.15,12.02,11.52,12.21,11.61,11.61,12.34,12.04,11.49,12.00,12.00,12.28,12.07,11.84
1918,12.71,12.77,12.55,12.95,12.80,11.54,12.67,12.85,12.77,13.15,13.09,13.11,12.26,12.84,12.95,12.78,12.29,13.00,12.35,12.35,13.15,12.80,12.25,12.83,12.87,13.05,12.93,12.68
