Variable:,tasmax
,Iran,Kermanshah,Bushehr,"Chaharmahal-o bakhtiyar","East Azarbayejan",Esfahan,Fars,Gilan,Hamedan,Khorasan,Hormozgan,Ilam,Kerman,Khuzestan,"Kohgiluyeh va boyerahma",Kordestan,"Administrative unit not available",Lorestan,Markazi,Mazandaran,Semnan,"Sistan-o baluchestan",Tehran,"West Azarbayejan",Yazd,Zanjan,Ardebil,Golestan,Ghazvin,Ghom
1901,24.56,21.48,29.59,19.72,16.62,23.57,25.53,20.05,19.17,24.09,30.05,27.32,26.73,30.43,23.97,18.11,24.11,21.50,19.91,20.64,24.43,29.38,19.87,16.70,25.19,16.86,17.04,22.40,18.33,24.14
1902,24.25,21.05,28.95,19.26,15.88,23.25,24.96,19.56,18.75,23.99,29.61,26.92,26.50,29.89,23.42,17.56,23.68,21.09,19.54,20.32,24.16,29.51,19.53,15.90,24.90,16.34,16.38,22.06,17.92,23.82
1903,23.56,20.50,28.01,18.52,15.80,22.55,24.04,19.26,18.19,22.97,28.89,26.33,25.77,29.14,22.62,17.14,23.33,20.50,18.97,19.82,23.48,28.99,19.00,15.82,24.08,15.95,16.27,21.54,17.44,23.25
1904,23.61,20.56,28.41,18.71,15.26,22.68,24.40,18.94,18.22,22.89,29.20,26.49,26.01,29.37,22.88,17.00,22.97,20.63,19.04,19.56,23.26,29.22,18.88,15.34,24.30,15.75,15.74,21.02,17.33,23.29
1905,23.60,20.60,28.28,18.68,15.41,22.66,24.30,19.09,18.25,22.94,29.10,26.47,25.97,29.34,22.83,17.12,23.06,20.61,19.03,19.57,23.24,29.13,18.90,15.52,24.26,15.88,15.88,21.03,17.40,23.28
1906,23.77,20.69,28.26,18.75,15.95,22.79,24.35,19.34,18.33,23.17,29.11,26.52,26.11,29.37,22.88,17.30,23.31,20.66,19.12,19.78,23.48,29.21,19.06,16.01,24.42,16.10,16.40,21.30,17.55,23.39
1907,23.35,20.38,28.12,18.40,15.05,22.41,24.12,18.65,17.99,22.54,28.99,26.27,25.82,29.08,22.57,16.85,22.63,20.39,18.77,19.24,22.94,29.04,18.60,15.16,24.05,15.53,15.50,20.63,17.04,23.01
1908,23.53,20.37,28.72,18.78,14.71,22.69,24.65,18.49,18.01,22.77,29.40,26.38,26.10,29.46,23.06,16.65,22.51,20.53,18.93,19.23,23.05,29.06,18.68,14.88,24.39,15.29,15.16,20.65,17.04,23.18
1909,24.09,21.00,28.98,19.28,15.22,23.22,24.94,19.14,18.70,23.82,29.55,26.90,26.38,29.93,23.47,17.32,23.25,21.08,19.54,20.05,23.94,29.17,19.38,15.40,24.85,15.97,15.64,21.76,17.76,23.78
1910,23.61,20.75,27.91,18.63,15.30,22.68,23.93,19.22,18.42,23.27,28.76,26.52,25.69,29.26,22.66,17.22,23.35,20.69,19.22,20.01,23.70,28.92,19.18,15.48,24.14,15.95,15.76,21.77,17.67,23.46
1911,22.71,19.47,27.26,17.70,13.70,21.78,23.36,17.43,17.00,22.21,28.37,25.53,25.39,28.32,21.82,15.63,21.49,19.60,17.95,18.22,22.18,28.85,17.66,13.86,23.51,14.24,14.13,19.75,15.95,22.23
1912,23.92,21.02,28.25,18.84,16.03,22.87,24.33,19.62,18.66,23.51,29.09,26.76,26.10,29.47,22.91,17.64,23.57,20.89,19.38,20.07,23.72,29.29,19.34,16.12,24.45,16.42,16.48,21.64,17.86,23.63
1913,23.64,20.49,28.05,18.64,15.79,22.71,24.15,19.20,18.21,23.10,28.93,26.32,25.97,29.19,22.72,17.10,23.13,20.50,19.02,19.61,23.37,29.10,18.93,15.83,24.33,15.96,16.24,21.18,17.40,23.31
1914,24.19,21.06,28.63,19.19,16.14,23.24,24.73,19.78,18.80,23.87,29.37,26.85,26.46,29.77,23.29,17.70,23.70,21.05,19.58,20.21,23.98,29.38,19.51,16.18,24.91,16.55,16.65,21.79,18.02,23.85
1915,24.70,21.31,28.95,19.58,16.49,23.66,25.13,20.19,19.09,24.96,29.65,27.10,26.86,30.08,23.66,17.98,24.27,21.33,19.91,20.82,24.71,29.64,20.00,16.51,25.36,16.90,17.00,22.74,18.41,24.23
1916,23.74,21.07,28.56,18.90,16.07,22.74,24.52,19.44,18.62,22.89,29.29,26.88,26.00,29.66,23.07,17.63,23.29,20.95,19.31,19.72,23.24,29.10,19.09,16.21,24.29,16.31,16.44,21.02,17.74,23.47
1917,24.29,21.36,28.74,19.31,16.80,23.27,24.83,20.12,19.04,23.93,29.47,27.10,26.44,29.92,23.39,18.06,24.00,21.26,19.75,20.39,24.04,29.29,19.69,16.82,24.85,16.88,17.25,21.94,18.28,23.99
1918,23.63,20.90,28.38,18.61,15.80,22.57,24.41,19.30,18.49,22.76,29.22,26.64,26.07,29.32,22.78,17.45,23.15,20.72,19.14,19.56,23.12,29.07,18.94,15.92,24.26,16.17,16.23,20.90,17.59,23.34
