Variable:,tasmax
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
1901,15.27,15.14,16.53,18.54,17.16,14.65,12.27,18.41,14.60,11.95,14.62,16.10,12.20,19.11,18.80,19.29,15.90,4.53,15.44,4.63,16.09
1902,15.52,15.42,16.67,18.71,17.35,14.98,12.39,18.68,14.94,12.20,14.89,16.33,12.56,19.23,19.10,19.40,16.27,4.74,15.71,4.96,16.35
1903,15.66,15.73,16.74,18.54,17.39,15.32,12.91,18.92,15.20,12.56,15.27,16.53,12.80,19.38,18.67,18.95,16.54,5.21,16.07,5.18,16.70
1904,16.09,16.11,16.96,18.76,17.72,15.82,13.19,19.35,15.84,13.15,15.64,16.90,13.46,19.60,19.21,19.27,17.02,5.60,16.50,5.86,17.17
1905,15.47,15.49,16.54,18.44,17.21,15.04,12.66,18.69,14.95,12.31,14.97,16.35,12.57,19.19,18.74,19.00,16.23,4.86,15.75,5.00,16.47
1906,15.50,15.38,16.41,18.26,17.07,15.21,12.56,18.65,15.20,12.61,14.97,16.18,12.87,19.05,18.67,18.87,16.34,4.96,15.82,5.31,16.57
1907,15.52,15.49,16.50,18.28,17.17,15.20,12.65,18.74,15.15,12.53,15.02,16.31,12.78,19.12,18.68,18.84,16.37,5.00,15.88,5.20,16.57
1908,15.33,15.14,16.26,18.22,16.95,14.93,12.24,18.45,14.98,12.24,14.70,15.97,12.60,18.82,18.93,18.97,16.15,4.64,15.58,5.02,16.25
1909,15.17,15.18,16.34,18.34,17.01,14.61,11.92,18.47,14.68,11.97,14.57,16.04,12.27,18.97,18.59,18.88,15.92,4.26,15.49,4.69,15.89
1910,15.46,15.64,16.68,18.40,17.32,15.01,12.51,18.80,14.99,12.37,14.97,16.50,12.62,19.36,18.46,18.78,16.21,4.79,15.84,5.04,16.40
1911,16.14,16.07,16.97,18.75,17.71,15.87,13.31,19.34,16.02,13.35,15.64,16.89,13.70,19.64,19.04,19.25,17.02,5.75,16.50,6.18,17.20
1912,15.30,15.28,16.41,18.44,17.13,14.76,12.09,18.56,14.82,12.12,14.69,16.19,12.48,19.06,18.60,19.07,16.07,4.51,15.59,4.94,16.06
1913,15.67,15.64,16.81,18.73,17.55,15.08,12.42,18.92,15.20,12.47,15.00,16.64,12.89,19.46,19.07,19.45,16.38,4.86,15.89,5.38,16.34
