Variable:,tasmax
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
1901,17.70,18.72,16.18,18.05,20.46,18.60,18.73,16.01,17.53,17.97,16.28
1902,17.53,18.55,16.02,17.89,20.28,18.42,18.56,15.83,17.36,17.81,16.11
1903,17.52,18.55,16.06,17.91,20.23,18.40,18.50,15.86,17.33,17.73,16.10
1904,17.64,18.65,16.10,17.98,20.39,18.52,18.67,15.94,17.49,17.92,16.22
1905,17.61,18.63,16.13,17.99,20.35,18.49,18.62,15.93,17.42,17.86,16.18
1906,17.40,18.42,15.86,17.75,20.14,18.30,18.44,15.70,17.22,17.68,15.98
1907,17.24,18.26,15.69,17.57,20.01,18.14,18.30,15.52,17.07,17.53,15.82
1908,17.43,18.46,15.94,17.80,20.18,18.32,18.44,15.74,17.23,17.68,16.00
1909,17.53,18.56,16.01,17.89,20.29,18.42,18.57,15.83,17.35,17.81,16.11
1910,17.35,18.37,15.89,17.73,20.07,18.22,18.34,15.73,17.19,17.57,15.94
1911,17.66,18.66,16.16,18.00,20.38,18.52,18.67,16.02,17.51,17.92,16.24
1912,18.04,19.05,16.65,18.45,20.68,18.88,18.97,16.47,17.88,18.19,16.65
1913,18.20,19.21,16.80,18.60,20.85,19.04,19.14,16.63,18.03,18.37,16.79
1914,18.26,19.28,16.84,18.67,20.92,19.11,19.21,16.68,18.10,18.45,16.87
1915,18.00,19.02,16.54,18.38,20.69,18.86,18.98,16.37,17.82,18.21,16.59
1916,18.03,19.04,16.66,18.45,20.67,18.86,18.96,16.49,17.86,18.18,16.64
1917,17.39,18.41,15.92,17.76,20.11,18.27,18.40,15.74,17.21,17.64,15.96
1918,17.80,18.80,16.30,18.16,20.53,18.67,18.81,16.14,17.63,18.05,16.38
1919,18.12,19.14,16.66,18.48,20.82,18.99,19.11,16.50,17.96,18.34,16.71
1920,18.13,19.14,16.69,18.51,20.80,18.98,19.09,16.54,17.97,18.34,16.73
1921,17.63,18.64,16.19,18.00,20.29,18.48,18.60,16.02,17.47,17.84,16.22
1922,18.16,19.18,16.71,18.55,20.85,19.02,19.13,16.53,17.99,18.36,16.76
1923,18.32,19.34,16.91,18.72,20.98,19.17,19.27,16.73,18.16,18.49,16.93
1924,17.53,18.56,16.05,17.89,20.26,18.41,18.55,15.85,17.37,17.80,16.11
1925,18.02,19.03,16.53,18.37,20.73,18.88,19.02,16.38,17.86,18.26,16.61
1926,18.14,19.17,16.71,18.54,20.82,18.99,19.10,16.54,17.98,18.34,16.74
1927,18.53,19.53,17.11,18.91,21.20,19.37,19.49,16.94,18.37,18.72,17.13
1928,18.06,19.08,16.61,18.44,20.78,18.93,19.03,16.43,17.87,18.26,16.64
