Variable:,tasmax
,Luxembourg,Diekirch,Grevenmacher,Luxembourg
1901,12.40,12.40,12.43,12.43
1902,12.11,12.05,12.15,12.16
1903,12.74,12.75,12.78,12.77
1904,13.05,13.02,13.09,13.08
1905,12.37,12.36,12.41,12.40
1906,12.92,12.93,12.92,12.95
1907,12.60,12.60,12.61,12.63
1908,12.26,12.27,12.27,12.29
1909,12.12,12.11,12.13,12.15
1910,12.94,12.97,12.93,12.96
1911,14.12,14.12,14.14,14.15
1912,12.92,12.95,12.92,12.95
1913,13.34,13.35,13.35,13.37
1914,13.16,13.22,13.15,13.17
1915,12.89,12.90,12.90,12.92
1916,13.06,13.09,13.05,13.09
1917,12.16,12.19,12.14,12.18
1918,13.28,13.30,13.28,13.31
1919,12.37,12.34,12.40,12.41
1920,13.54,13.53,13.56,13.57
1921,14.43,14.43,14.45,14.46
1922,12.17,12.16,12.18,12.20
1923,12.84,12.81,12.85,12.88
1924,12.30,12.31,12.31,12.33
1925,12.73,12.76,12.73,12.75
1926,13.39,13.39,13.39,13.42
1927,12.68,12.65,12.70,12.72
1928,13.53,13.49,13.56,13.58
1929,12.98,12.92,13.02,13.03
1930,13.60,13.56,13.64,13.65
1931,12.56,12.56,12.58,12.59
1932,13.03,13.04,13.05,13.06
1933,12.98,13.01,12.99,13.00
1934,14.21,14.18,14.26,14.24
1935,13.36,13.37,13.38,13.39
1936,13.09,13.08,13.10,13.12
1937,13.52,13.50,13.54,13.55
1938,13.54,13.56,13.56,13.56
1939,13.13,13.15,13.14,13.15
1940,12.22,12.20,12.24,12.26
1941,12.47,12.47,12.49,12.50
1942,12.67,12.61,12.71,12.72
1943,14.15,14.12,14.19,14.19
1944,13.02,13.04,13.02,13.05
1945,14.13,14.10,14.16,14.17
1946,13.30,13.24,13.35,13.36
1947,14.53,14.44,14.60,14.59
1948,14.21,14.16,14.26,14.25
1949,14.83,14.80,14.87,14.87
1950,13.66,13.61,13.71,13.70
1951,13.44,13.40,13.47,13.47
1952,12.97,12.93,12.99,13.01
1953,13.60,13.58,13.62,13.63
1954,12.60,12.57,12.64,12.64
1955,12.63,12.60,12.67,12.68
1956,11.94,11.90,11.97,11.98
1957,13.47,13.43,13.52,13.51
1958,12.95,12.90,13.00,12.99
1959,14.61,14.56,14.65,14.65
1960,13.22,13.19,13.26,13.26
1961,13.88,13.85,13.91,13.92
1962,12.00,11.95,12.03,12.04
1963,11.79,11.76,11.83,11.83
1964,13.21,13.17,13.25,13.25
1965,12.05,12.06,12.05,12.08
1966,13.08,13.04,13.11,13.12
1967,13.44,13.41,13.46,13.47
1968,12.47,12.44,12.50,12.51
1969,12.65,12.64,12.67,12.68
1970,12.51,12.47,12.55,12.55
1971,13.62,13.52,13.69,13.66
1972,12.66,12.59,12.72,12.70
1973,13.23,13.18,13.28,13.27
1974,13.33,13.27,13.38,13.37
1975,13.26,13.22,13.31,13.30
1976,13.92,13.87,13.97,13.96
1977,13.06,13.00,13.12,13.10
1978,12.16,12.12,12.20,12.20
1979,12.42,12.32,12.51,12.48
1980,12.23,12.19,12.28,12.26
1981,12.68,12.61,12.74,12.72
1982,13.66,13.61,13.72,13.70
1983,13.63,13.57,13.68,13.66
1984,12.52,12.49,12.56,12.56
1985,12.14,12.07,12.21,12.19
1986,12.55,12.49,12.61,12.59
1987,11.97,11.94,12.01,12.01
1988,13.47,13.43,13.51,13.51
1989,14.36,14.34,14.40,14.39
1990,14.47,14.45,14.48,14.50
1991,13.39,13.34,13.45,13.43
1992,13.97,13.93,14.03,14.01
1993,13.33,13.27,13.39,13.37
1994,14.47,14.40,14.53,14.51
1995,13.94,13.94,13.94,13.97
1996,12.25,12.22,12.28,12.29
1997,14.01,13.96,14.06,14.05
1998,13.63,13.58,13.67,13.67
1999,14.29,14.28,14.31,14.32
2000,14.47,14.43,14.50,14.50
2001,13.99,13.94,14.04,14.03
2002,14.50,14.44,14.55,14.53
2003,14.97,14.90,15.05,15.01
2004,13.90,13.85,13.95,13.94
2005,14.19,14.16,14.23,14.22
2006,14.59,14.55,14.64,14.62
2007,14.76,14.72,14.79,14.79
2008,14.24,14.20,14.28,14.27
2009,14.39,14.35,14.44,14.43
2010,12.90,12.84,12.95,12.95
2011,15.12,15.06,15.17,15.17
2012,14.18,14.11,14.25,14.23
2013,13.35,13.30,13.39,13.39
2014,15.36,15.32,15.40,15.40
2015,14.97,14.92,15.03,15.02
2016,14.41,14.37,14.45,14.44
2017,14.82,14.77,14.85,14.85
2018,15.71,15.65,15.77,15.75
2019,15.28,15.23,15.33,15.31
2020,15.96,15.92,16.00,16.00
