Variable:,tasmax
,Moldova,Balti,Cahul,Chisinau,Dubasari,Edinet,Gagauzia,Lapusna,Orhei,Soroca,Tighina,Ungheni
1901,14.68,14.68,15.49,14.53,14.30,14.80,15.15,14.97,14.29,14.33,14.66,14.55
1902,13.56,13.58,14.45,13.42,13.14,13.63,14.03,13.86,13.15,13.17,13.54,13.53
1903,15.18,15.25,15.98,14.99,14.75,15.41,15.55,15.41,14.80,14.89,15.08,15.10
1904,13.87,13.99,14.81,13.69,13.36,14.08,14.25,14.16,13.46,13.54,13.75,13.87
1905,14.46,14.49,15.32,14.32,14.05,14.58,14.91,14.75,14.07,14.10,14.45,14.40
1906,14.94,14.97,15.73,14.80,14.54,15.10,15.35,15.21,14.57,14.63,14.92,14.85
1907,13.38,13.48,14.26,13.21,12.91,13.56,13.76,13.64,12.98,13.06,13.28,13.37
1908,13.46,13.52,14.34,13.28,13.02,13.61,13.90,13.75,13.05,13.11,13.42,13.45
1909,14.18,14.14,15.06,14.08,13.79,14.20,14.69,14.50,13.77,13.75,14.23,14.12
1910,14.96,15.03,15.71,14.78,14.54,15.20,15.35,15.20,14.58,14.66,14.86,14.90
1911,13.92,14.13,14.70,13.67,13.40,14.29,14.23,14.14,13.56,13.66,13.65,13.94
1912,13.36,13.37,14.23,13.20,12.94,13.47,13.84,13.65,12.99,12.98,13.31,13.31
1913,14.62,14.62,15.34,14.49,14.25,14.73,15.06,14.90,14.28,14.31,14.57,14.55
1914,13.94,13.97,14.70,13.77,13.56,14.11,14.35,14.18,13.57,13.65,13.87,13.88
1915,14.48,14.50,15.36,14.32,14.08,14.59,14.92,14.74,14.09,14.12,14.47,14.38
1916,14.71,14.77,15.60,14.56,14.23,14.91,15.15,15.01,14.29,14.37,14.64,14.67
1917,14.38,14.39,15.32,14.26,13.89,14.47,14.90,14.73,13.96,13.97,14.35,14.37
1918,14.87,14.90,15.66,14.72,14.45,15.00,15.31,15.17,14.50,14.56,14.83,14.79
1919,14.02,13.93,15.01,13.91,13.64,14.01,14.63,14.38,13.56,13.53,14.15,13.95
1920,14.16,14.33,14.84,13.97,13.64,14.50,14.50,14.40,13.81,13.93,13.94,14.15
1921,14.57,14.69,15.26,14.42,14.11,14.84,14.88,14.84,14.25,14.31,14.38,14.56
1922,13.62,13.59,14.49,13.46,13.26,13.71,14.19,13.89,13.14,13.20,13.75,13.46
1923,15.09,15.06,16.15,14.95,14.62,15.13,15.69,15.46,14.62,14.60,15.15,15.00
1924,13.83,13.89,14.68,13.67,13.37,13.99,14.33,14.14,13.43,13.47,13.78,13.81
1925,14.97,15.04,15.76,14.80,14.54,15.14,15.46,15.27,14.58,14.65,14.88,14.92
1926,14.68,14.80,15.59,14.48,14.18,14.90,15.16,14.97,14.26,14.33,14.56,14.69
1927,14.67,14.70,15.67,14.51,14.20,14.76,15.23,15.00,14.24,14.25,14.64,14.64
1928,13.69,13.80,14.63,13.51,13.18,13.88,14.18,14.00,13.27,13.33,13.57,13.72
1929,13.45,13.44,14.43,13.30,13.01,13.55,14.04,13.78,13.01,13.04,13.48,13.37
1930,15.15,15.24,15.97,14.98,14.67,15.33,15.66,15.47,14.75,14.79,15.02,15.16
1931,13.84,13.88,14.73,13.72,13.37,13.98,14.30,14.15,13.42,13.45,13.81,13.81
1932,14.13,14.22,14.92,13.92,13.67,14.43,14.60,14.41,13.74,13.86,13.95,14.06
1933,12.66,12.70,13.55,12.51,12.20,12.82,13.14,12.97,12.24,12.29,12.60,12.62
1934,15.53,15.65,16.25,15.40,15.02,15.77,15.93,15.84,15.16,15.27,15.36,15.51
1935,14.41,14.48,15.22,14.24,13.99,14.54,14.89,14.69,14.03,14.06,14.32,14.38
1936,15.05,15.11,15.76,14.89,14.66,15.24,15.51,15.32,14.61,14.73,15.07,15.01
