Variable:,tasmax
,Macedonia,Berovo,Bitola,Brod,Debar,Delcevo,"Demir Hisar",Gevgelija,Gostivar,Kavadarci,Kicevo,Kocani,Kratovo,"Kriva Palanka",Krusevo,Kumanovo,Negotino,Ohrid,Prilep,Probistip,Radovic,Resen,Skopje,Stip,Struga,Strumica,"Sveti Nikole",Tetovo,Valandovo,Veles,Vinica
1901,14.81,14.44,14.95,13.38,13.13,14.32,14.92,16.15,12.02,15.31,13.03,15.44,13.91,13.79,15.06,15.09,15.84,13.98,15.08,15.65,15.87,14.22,14.56,16.92,13.93,16.63,16.53,13.10,16.42,15.98,14.79
1902,14.62,14.06,14.86,13.20,13.03,13.94,14.85,15.93,11.86,15.15,12.90,15.18,13.60,13.48,14.99,14.79,15.66,13.93,14.95,15.42,15.62,14.17,14.37,16.74,13.88,16.31,16.36,12.91,16.19,15.81,14.44
1903,15.17,14.75,15.27,13.77,13.49,14.64,15.21,16.45,12.42,15.68,13.39,15.82,14.35,14.23,15.35,15.53,16.19,14.28,15.45,16.06,16.22,14.50,14.97,17.30,14.23,16.90,16.93,13.51,16.72,16.38,15.11
1904,15.08,14.52,15.25,13.71,13.46,14.40,15.22,16.34,12.36,15.60,13.36,15.68,14.19,14.07,15.36,15.38,16.12,14.29,15.38,15.95,16.09,14.51,14.89,17.22,14.24,16.70,16.85,13.44,16.59,16.30,14.90
1905,14.91,14.48,15.05,13.48,13.24,14.36,15.00,16.20,12.14,15.43,13.13,15.54,14.04,13.92,15.14,15.21,15.93,14.08,15.21,15.77,15.95,14.30,14.67,17.03,14.03,16.65,16.64,13.21,16.47,16.09,14.84
1906,14.93,14.57,15.03,13.52,13.24,14.46,14.99,16.23,12.17,15.43,13.14,15.60,14.09,13.97,15.13,15.26,15.95,14.04,15.20,15.82,16.01,14.27,14.72,17.07,13.99,16.72,16.68,13.26,16.51,16.13,14.92
1907,14.66,14.12,14.84,13.26,13.03,14.00,14.81,15.91,11.91,15.17,12.92,15.26,13.76,13.64,14.95,14.94,15.69,13.89,14.96,15.52,15.67,14.11,14.45,16.80,13.84,16.30,16.42,12.99,16.17,15.87,14.50
1908,14.45,13.93,14.65,13.05,12.82,13.81,14.63,15.74,11.69,14.98,12.71,15.04,13.50,13.38,14.77,14.69,15.49,13.69,14.78,15.29,15.47,13.92,14.21,16.59,13.64,16.14,16.19,12.76,16.00,15.63,14.30
1909,14.90,14.46,15.04,13.48,13.23,14.35,15.00,16.21,12.14,15.42,13.13,15.55,14.06,13.94,15.14,15.23,15.95,14.04,15.19,15.79,15.96,14.28,14.67,17.05,13.99,16.64,16.66,13.21,16.48,16.10,14.82
1910,15.34,14.95,15.40,13.94,13.64,14.85,15.34,16.63,12.59,15.85,13.55,16.03,14.57,14.45,15.48,15.75,16.38,14.41,15.59,16.26,16.42,14.63,15.16,17.49,14.37,17.09,17.11,13.70,16.90,16.56,15.31
1911,15.14,14.56,15.29,13.77,13.55,14.45,15.27,16.37,12.44,15.65,13.43,15.74,14.28,14.16,15.40,15.47,16.16,14.38,15.43,16.01,16.13,14.57,14.97,17.26,14.34,16.74,16.90,13.53,16.63,16.35,14.94
1912,14.58,13.98,14.80,13.19,13.01,13.86,14.80,15.86,11.82,15.10,12.88,15.14,13.60,13.48,14.93,14.78,15.61,13.92,14.91,15.40,15.56,14.10,14.35,16.70,13.88,16.23,16.32,12.89,16.12,15.78,14.36
